tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 08:25:41+00:00,GE,Georgia,113986349,2010-02-13 18:14:27+00:00,stevdoradze,Twitter for Android,False,590,452,725,False,"1st ever personal tweet:
Get to know: this is my #Mom, Marina Sisvadze, #pediatrician,with 35 years of experience.Along profession she's my #hero &amp; proves it not only during outburst of #COVID19 but every single day,from holding #newborn first mnts of life #YouAreMyHero #მადლობა https://t.co/wFSLCBEcKu"
2020-03-29 21:36:15+00:00,GE,Georgia,15108711,2008-06-13 16:13:31+00:00,onewmphoto,Twitter for iPhone,True,8752,7730,2182,False,"“For the past few years, far-right supporters of President Trump have regularly vilified those whom they see as opposing him.”

Medical Expert Who Corrects Trump Is Now a Target of the Far Right https://t.co/sJTNgucrVI #Coronavirus #COVID19 #Misinformation #Disinformation"
2020-03-29 17:19:41+00:00,GE,Georgia,398634711,2011-10-26 10:18:48+00:00,marikasra,Twitter for iPhone,False,2043,245,1445,False,"“Everybody, who will cross the occupation line in need of medical care will receive the assistance.” said PM while visiting the multi-profile hospital in Rukhi, near occupied Abkhazia. #Covid19 #StayHome #TogetherInThis https://t.co/5MGlw2pUtR"
2020-03-29 14:07:37+00:00,GE,Georgia,1026420680227741697,2018-08-06 10:52:14+00:00,Zourabichvili_S,Twitter for iPhone,True,504,9597,234,False,We’re now entering a much more difficult stage of this epidemic. It will get worse before it gets better. Everyone must follow every recommendation. The best thing you can do in this fight against #COVID19 is to #StayHome. https://t.co/8rKggtybV5
2020-03-29 10:28:59+00:00,GE,Georgia,1062038516350271494,2018-11-12 17:44:48+00:00,IRANinBATUMI,Twitter for Android,False,1482,447,105,False,"بنی آدم اعضای یکدیگرند 
As the global village continues to fight against #COVID19, the Iranian nation has to fight a second battle: THE US SANCTIONS
Our message to all the world leaders:Let's fight against virus
NOT against the nations
  #StopIranSanction
https://t.co/p8lDUMEY70"
2020-03-29 15:50:15+00:00,GE,Georgia,2278967100,2014-01-06 11:43:00+00:00,MakaMeshv,Twitter for iPhone,False,912,1481,530,False,"#Covid_19 projections for #Georgia - with 10% less social contacts,the peak is expected in mid June,w/ 20% - end of June, w 30% - early August. If social distancing is not exercised, the peak will be reached in mid May w/highest number of projected cases.Stay at home if you can! https://t.co/hm9uDEDkY1"
2020-03-29 22:17:34+00:00,GE,Georgia,392045000,2011-10-16 13:41:40+00:00,OtoDalakishvili,Twitter for Android,False,10591,644,931,False,The #Coronavirus Crisis Reveals New York at Its Best and Worst @NewYorker https://t.co/uZXgXz4ye6 via @NewYorker
2020-03-29 08:11:45+00:00,GE,Georgia,113986349,2010-02-13 18:14:27+00:00,stevdoradze,Twitter for Android,False,590,452,725,False,"It's proved,most valuable,social health of mankind doesn't rest upon utterly rich business owners but on oftenly underpaid #doctors,#nurses, #Physicians,#pediatritians etc.Take a moment,say #ThankYou &amp; embrace them for tireless efforts in these hardtimes.#StayAtHome stop #COVID19"
2020-03-30 20:37:00+00:00,GE,Georgia,239504214,2011-01-17 19:42:56+00:00,thekehindeoguns,Twitter for iPhone,False,5786,2314,4428,False,Funniest thing i have seen today 😂😂😂 #COVID19 https://t.co/sZbuN07IBt
2020-03-31 06:19:58+00:00,GE,Georgia,603659525,2012-06-09 14:48:33+00:00,AnyaChernyshova,Twitter for iPhone,False,1771,322,281,False,A great move by #UNDP to repurpose US$20 million to fight #COVID19 https://t.co/NYQLEdGe1h
2020-04-01 06:14:45+00:00,GE,Georgia,76974404,2009-09-24 16:06:27+00:00,skemmdar,Twitter for Android,False,34,46,641,False,Empty Streets #COVID19 #emptystreets https://t.co/MOrb8aicYw
2020-04-01 17:24:33+00:00,GE,Georgia,82044628,2009-10-13 08:22:14+00:00,jgerenaial,Twitter for Android,False,92,124,435,False,"#Georgia #priests bless #Tbilisi city in bid to contain COVID-19 

@AlJazeera

#coronavirus #COVID19 #Church #religion #god  #AlJazeera #news https://t.co/z3g5en201U"
2020-04-01 08:39:34+00:00,GE,Georgia,392045000,2011-10-16 13:41:40+00:00,OtoDalakishvili,Twitter for Android,False,10598,644,931,False,"#Coronavirus cases reach 115 in #Georgia, 22 patients have recovered https://t.co/dsrHRZZsb8"
