tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 16:43:52+00:00,TT,Vessigny Beach,499978490,2012-02-22 17:40:36+00:00,themarquesbruce,Twitter for Android,False,1125,350,386,False,"Think about it like this, if you die you won't be able to go here #throwback #Covid_19 #StayAtHome https://t.co/Cnxfhlen3D"
2020-03-29 17:16:54+00:00,TT,Trinidad and Tobago,4191410353,2015-11-10 14:56:40+00:00,onh110,Twitter for Android,False,288,21,126,False,"I wonder how many young millionaires are created from insurance payouts because of this pandemic? Will health insurance premiums increase also?
#Covid_19 #lifeinsurance"
2020-03-29 21:06:46+00:00,TT,Trinidad and Tobago,3137612587,2015-04-03 19:43:37+00:00,tenilleclarke1,Twitter for iPhone,False,34889,4030,4173,False,"I’m not sure why the @MOH_TT hasn’t posted this on their official Twitter account as yet, but here’s the latest press update. 2 new cases have been confirmed; no new deaths or persons discharged. Let’s continue to work together. 
#Covid_19 #coronavirus #update #FlattenTheCurve https://t.co/7FBno7X9SL"
2020-03-29 18:20:43+00:00,TT,Trinidad and Tobago,47700723,2009-06-16 18:28:19+00:00,trinifido,Twitter for iPhone,False,467,267,760,False,Would you take the #coronavirus vaccine  when made available?
2020-03-29 02:00:55+00:00,TT,Trinidad and Tobago,1902084338,2013-09-24 23:05:45+00:00,ONeilLaurel,Twitter for Android,False,16486,188,107,False,"It's already a leap year, we are dealing with #covid19 &amp; now we may have to deal with an increase in #sti &amp; #stds . This ain't the #vision2020 we was looking forward too.. Sighhhh..😔 https://t.co/XIQ9AxS5n0"
2020-03-29 15:14:52+00:00,TT,Trinidad and Tobago,65455171,2009-08-13 20:11:37+00:00,NikoliEdwards,Twitter for Android,False,471,519,895,False,"Preparation is key! 

One of the impacts of #CoronaVirus has been to reorganise our priorities. While the @progressivestt is unable to hit the campaign trail as we would want to, we are still ensuring that post-coronavirus we are able to hit the trail running. 

#SanFernandoWest https://t.co/WGZyBZXu8p"
2020-03-29 17:52:54+00:00,TT,Trinidad and Tobago,283809979,2011-04-18 02:25:58+00:00,hotboy1kjd,Twitter for iPhone,False,211,127,360,False,"We planning for something? Great strides being made to assist with our situation. Thank you.
#Covid_19 #Truvalusupermarket https://t.co/dVt3vdhhIa"
2020-03-29 21:15:02+00:00,TT,Trinidad and Tobago,63836070,2009-08-07 21:55:06+00:00,AizenSousukee,Twitter for Android,False,26442,648,1018,False,Battle to end the coronavirus #Covid_19 #coronavirus https://t.co/aFa12qYq9U
2020-03-30 22:05:18+00:00,TT,Trinidad and Tobago,303136399,2011-05-22 10:50:47+00:00,Multi9628,Instagram,False,13819,282,665,False,"Ministry Of Health COVID-19 Update # 59
#StayHomeStaySafe 
#COVID19 @ Port of Spain, Trinidad and Tobago https://t.co/F5qxMrvmsr"
2020-03-30 09:40:54+00:00,TT,Trinidad and Tobago,628542990,2012-07-06 15:16:12+00:00,DjHills868,Instagram,False,107,84,65,False,#StayHome #RealMeme #covid_19 @ Trinidad and Tobago https://t.co/Udbyq4qn7E
2020-03-30 12:27:16+00:00,TT,Trinidad and Tobago,65455171,2009-08-13 20:11:37+00:00,NikoliEdwards,Twitter for Android,False,471,519,895,False,"*Dating in 2020*

Me: Yuh on Skype or Zoom?

#CoronaVirus #COVID19 #LockDownTrinidadAndTobago"
2020-03-30 09:48:13+00:00,TT,Trinidad and Tobago,63836070,2009-08-07 21:55:06+00:00,AizenSousukee,Twitter for Android,False,26448,650,1018,False,Let's go avengers #Covid19 #coronavirus https://t.co/5kUY5BkoxO
2020-03-30 11:42:58+00:00,TT,Trinidad and Tobago,65455171,2009-08-13 20:11:37+00:00,NikoliEdwards,Twitter for Android,False,471,519,895,False,"Good morning Trinidad and Tobago, especially those who are essentially outside! #CoronaVirus"
2020-03-30 14:16:45+00:00,TT,Trinidad and Tobago,3137612587,2015-04-03 19:43:37+00:00,tenilleclarke1,Twitter for iPhone,False,35049,4036,4193,False,"We predominantly have imported cases of #coronavirus. The Chief Medical Officer revealed that he believes that there are a few cases of our first instance of local spread, which is NOT the same as community spread. Would be great if @MOH_TT can produce an infographics on this."
2020-03-30 13:21:42+00:00,TT,Trinidad and Tobago,292090733,2011-05-03 02:45:38+00:00,GabbixKimmy,Twitter for iPhone,False,3813,638,705,False,Coronavirus: Spain now has more cases than China #Coronavirus https://t.co/ROfoQGTlbo
2020-03-30 19:07:53+00:00,TT,Trinidad and Tobago,189408068,2010-09-11 04:57:44+00:00,claudette2540,Instagram,False,78,77,696,False,"Be active during this Covid-19 outbreak. 

Let's Hold on, stay at home and practice proper hygiene.

#coronavirus #covid_19 #whoint #lockdown #stayathome #besafe #hygiene #beactive… https://t.co/NsCPU4Kcsz"
2020-03-30 02:29:58+00:00,TT,Trinidad and Tobago,97035773,2009-12-15 18:45:22+00:00,jason_sureshot,Twitter for iPhone,False,16892,664,458,False,"For anyone interested in seeing the numbers #Covid19 

https://t.co/TW5u3wMYFJ"
2020-03-30 23:18:57+00:00,TT,Trinidad and Tobago,3278495299,2015-07-13 11:46:23+00:00,Tech4agri,Instagram,False,1044,1530,1915,False,"#behindthescenes @tech4agri 
&gt;&gt; The landlord took it upon himself to plant my lil seedlings provided by agrinationtt 👨🏾‍🌾👀! 

#pepper #tomatoes #parsely #chive #local

#covid19 cannot stop #food #agriculture… https://t.co/SEMuMTYQmO"
2020-03-31 16:23:32+00:00,TT,Trinidad and Tobago,169089942,2010-07-21 14:33:28+00:00,DavynTT,Twitter for Android,False,1010,279,509,False,"With #Microsoft #Office365, businesses of all sizes can work anywhere together, work easier and worry less. Davyn's #Cloud team members are always available to demo Office 365 to your #Business at any time. https://t.co/se5sSQcyRb #WorkFromHome #COVID19 #Coronavirus #DavynTT https://t.co/sNvFHOXTWo"
2020-03-31 02:22:02+00:00,TT,Trinidad and Tobago,1244756662558380033,2020-03-30 22:41:37+00:00,RealTimeNews10,Twitter for Android,False,1,0,75,False,Covid figure goes up by two. Press conference at 10:00am Tuesday 31st March 2020 #TrinidadandTobago #Covid_19 #Coronavirustruth #TheLockdown #CODVID19 #COVID19 #coronavirus
2020-03-31 10:06:29+00:00,TT,Trinidad and Tobago,933399811,2012-11-08 01:43:06+00:00,Adrivoicetalent,Twitter for Android,False,3385,256,709,False,"@expressupdates CONGRATULATIONS to the beautiful couple and a huge JOB WELL DONE! to the reporter @kimoyonthego who brought this story to life. Congratulations and continue the AWESOME WORK over there, the country needs much more feel good stories. #Weddings #COVID19 #LoveIsLovely #AdrianOnTheGO"
