tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 00:06:55+00:00,SV,"Aguilares, El Salvador",797027034,2012-09-01 22:50:42+00:00,princesareyes21,Twitter for Android,False,1196,296,621,False,"Agree!!! Our children must play music.

Sicilian twins Mirko and Velerio from Agrigento play Viva la Vida by @coldplay while in quarantine 🇮🇹🎻 

#coronavirus 
#StayHome https://t.co/DGZdp9oawY"
2020-04-06 00:03:01+00:00,SV,"Antiguo Cuscatlan, El Salvador",157445480,2010-06-19 21:04:16+00:00,titoaph,Twitter for iPhone,False,18026,288,4318,False,New Mac Mini 🖥 by #apple ⚖️⚖️⚖️☕️🍩🍪🏡🏡🌎😷 #covid19 #music #macmini #applemusic #itunes #office https://t.co/dJIcykLI84
2020-04-08 13:18:29+00:00,SV,El Salvador,984183792184320000,2018-04-11 21:37:56+00:00,LarisaNinel,Twitter for iPad,False,199,102,216,False,My loyal companion during the quarantine. She keeps me busy but happy all day long! #stayhome #quedateencasa #bestfriend #doglover #socialdistancing #nosalgas #COVID19 #illustratorlife #surfacedesign #besafe #chihuahua #pet #larisahernandez @chilaquilachihuahua @Procreate https://t.co/R9P0yb5Puc
2020-04-08 04:36:04+00:00,SV,"Ciudad Arce, El Salvador",310075076,2011-06-03 04:41:25+00:00,ppgarciaferreir,Twitter for iPad,False,3158,2013,1510,False,"#Coronavirus
A deadly virus spreads around the globe, killing &amp; infecting thousands....
 @Reuters #StayHome #Everydaycounts https://t.co/4cPaxb86c0"
2020-04-10 14:16:18+00:00,SV,"Ciudad Arce, El Salvador",310075076,2011-06-03 04:41:25+00:00,ppgarciaferreir,Twitter for iPad,False,3166,2017,1508,False,"@DrTedros @WHO to @CarlosAlvQ 🇨🇷 
Muchas gracias.....

As of today Friday, April 10th 2020
#CoronavirusPandemic 
Cases : 539
Recovered: 30
Deaths : 3 https://t.co/nSqAdHaHQm"
2020-04-15 03:13:32+00:00,SV,"Nuevo Cuscatlan, El Salvador",69934541,2009-08-29 18:53:51+00:00,monicataher,Twitter for iPhone,False,83386,58928,942,False,"In the fight against the #Coronavirus , The Centers for Disease Control (U.S.), Singapore’s Health Ministry and Shanghai’s Provincial Government, among others, are advising #ElSalvador ‘s Government on how to handle and counteract the pandemia

#COVID19 #COVID__19 #CoronavirusUSA https://t.co/eE8C1FTOPe"
2020-04-15 14:20:46+00:00,SV,"Ciudad Arce, El Salvador",310075076,2011-06-03 04:41:25+00:00,ppgarciaferreir,Twitter for iPad,False,3193,2022,1507,False,"#COVID19Pandemic ...
2M confirmed cases 
...within 30-day world cases have increased almost 10 times!

#StayHomeStaySafe 🌎 https://t.co/EFDJqGqsCj"
2020-04-15 00:19:39+00:00,SV,"Ciudad Arce, El Salvador",310075076,2011-06-03 04:41:25+00:00,ppgarciaferreir,Twitter for iPad,False,3190,2020,1506,False,"@moderna_tx 
CanSino Biologicals + Beijing Biotechnology Institute 🇨🇳 
@InovioPharma
Shenzhen Geno-Immune Medical Institute 🇨🇳 are ones of more advanced among 19 Labs developing #COVID19 💉 https://t.co/vmY9yMh3Iq"
2020-08-02 19:08:39,SV,El Salvador,,2016-04-28 19:13:42,Jorge Milla,Twitter Web App,False,1446,287,816,False,"The best information of #COVID19 
#Canada versus #USA .

Just for your information. https://t.co/4EmlCwscNN"
2020-08-09 03:33:15,SV,El Salvador,,2016-04-28 19:13:42,Jorge Milla,Twitter Web App,False,1459,290,786,False,"Report warns that the US may be facing the most severe housing crisis in history
#COVID19 
#HousingCrisis https://t.co/1DntTt22c6"
2020-07-28 03:10:03,SV,El Salvador,,2016-04-28 19:13:42,Jorge Milla,Twitter Web App,False,1444,288,810,False,"#Australia 
Experts have all dismissed claims that Australians have a right to ignore health related orders during… https://t.co/MfqI88PJPG"
2020-08-09 03:45:40,SV,El Salvador,,2016-04-28 19:13:42,Jorge Milla,Twitter Web App,False,1459,290,786,False,"#Australia 

 Growing number of coronavirus cases in Victoria acquired from an unknown source

#COVID19 https://t.co/gnl4LSLHoj"
