tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 11:47:52+00:00,IT,"Rome, Lazio",132477980,2010-04-13 10:22:37+00:00,massilanzi,Twitter for Android,False,9717,323,1172,False,"Albania helps Italy. Thanks!

#coronavirus https://t.co/n0urQdfJ3Z"
2020-03-29 08:00:27+00:00,IT,"Campania, Italy",47071556,2009-06-14 10:40:06+00:00,Ogilvie_CJ,Twitter for iPhone,False,9525,914,2691,False,"🇫🇷 ""If there’s no change to this impasse, we are condemned to death."" 

 105 French pensioners are on board this cruise liner which wanders off the coast of Panama, unable to dock, and on which 4 tourists died from #coronavirus #JT13h 
 https://t.co/sswAb4cNiN"
2020-03-29 19:29:36+00:00,IT,"Pisa, Tuscany",1224642359041888256,2020-02-04 10:34:33+00:00,emanuela984,Twitter for iPhone,False,442,6,61,False,This doctor in Varese plays “Don’t stop me now” by Queen after his job’s turn in hospital 💪🏻 #Covid_19  #coronavirus #italy #italystaystrong #FermiamoloInsieme https://t.co/4zh17S0ssL
2020-03-29 17:11:51+00:00,IT,"Florence, Tuscany",1355467351,2013-04-15 22:07:51+00:00,intravelservice,Twitter for Android,False,57,633,1935,False,Please support my GoFundMe campaign #covid19 https://t.co/tmilYXuDkc @gofundme https://t.co/w5eufMupjF
2020-03-29 17:10:02+00:00,IT,"Rome, Lazio",1028551478,2012-12-22 13:54:59+00:00,josechopparinho,Instagram,False,6625,108,382,False,"Italian men really out here achieving requiem😳
-
-
-
Hashtags-
#jojokes  #jojosbizarreadventure #jojo #jojomemes #giornogiovanna #giorno #diavolo #part5 #mista #trish #josephjoestar #jotarokujo #covid_19 #corona @… https://t.co/fS6LRPDy7m"
2020-03-29 11:14:18+00:00,IT,"Cantagallo, Toscana",322883674,2011-06-23 22:16:34+00:00,CiaoLapo,Twitter for iPhone,False,6738,2255,848,False,Please keep in Mind #humanrights in #childbirth also during #COVID19 pandemic https://t.co/CLqK8DfcIX
2020-03-29 04:59:16+00:00,IT,"Veneto, Italy",1463546293,2013-05-28 01:12:06+00:00,crownyolla,Twitter for iPhone,False,1484,813,797,False,"Five weeks into lockdown, stay at home, complete social distancing and home alone
And I have not gone crazy yet 

Thank God 🙌🏽🙌🏽

#Italia #StayAtHomeAndStaySafe #ItalyCoronavirus #Covid_19 #adidas"
2020-03-29 13:38:44+00:00,IT,"Rivoli, Piemonte",263070052,2011-03-09 09:30:41+00:00,niik2011,Twitter for Android,False,183,17,24,False,"I know that the models are not intelligent, but in this moment of emergency have respect for the dead and for your people! 👌#coronavirus #NYC #koronawirus #nature #modelworld #kosamui #miamibeach https://t.co/Kvk3EIDiiV"
2020-03-29 20:34:31+00:00,IT,"Milan, Lombardy",370668796,2011-09-09 12:35:34+00:00,MviVitale,Twitter for iPhone,False,835,247,178,False,"For each stupid tweet from @realDonaldTrump there is a more stupid reply from @JoeySalads .I really don’t catch the relevance, especially in such tough times #coronavirus #Covid_19 #TrumpVirus  #TrumpLiesAmericansDie https://t.co/z84htEtHhC"
2020-03-29 20:01:06+00:00,IT,"Rome, Lazio",1043099688,2012-12-28 20:41:36+00:00,profluigimarino,Instagram,False,126683,2012,1230,False,"... take care of yourself, protect your heart, love yourself. We love in trust.  #StreetArt #Art #Heart #Love #Coronavirus #Hope #Graffiti #Poetry #beauty aimo_oculisti ministerosalute luca.menabuoni @ Ospedale… https://t.co/pniQpEpKep"
