tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 11:22:20+00:00,MC,Monaco,362381198,2011-08-26 09:15:26+00:00,MissNARossi,Instagram,False,2,81,104,False,Pampering time! #nailpolish #coral #colours #nailkit #brighteninglife #pampering #sunday #lockdown #shadesofpink #hands #feet #nails #toes #colourful #indooractivity #spring #covid_19… https://t.co/0o4hJ42KHO
2020-03-30 16:38:34+00:00,MC,Monaco,362381198,2011-08-26 09:15:26+00:00,MissNARossi,Instagram,False,2,81,103,False,Upgrade! #fabricfacemask #homemade #sewed #fabric #elasticband #shadesofpink #covid_19 #newlook #newfashion #safetyfirst #everylittlehelps #lockdown #afternoonactivity @ Monaco https://t.co/JxfsmzAKz5
2020-03-31 12:20:24+00:00,MC,Monaco,265542602,2011-03-13 18:43:13+00:00,orlovjewelry,Instagram,False,49,86,12,False,"STAY HOME 
Photo by dylandon_ 
.
.
.
.
.
#orlov #jewelry #monaco #stayhome #stayathome #staysafe #covid_19 @ Monte-Carlo, Monaco https://t.co/4oZxcKkadL"
2020-04-04 18:53:04+00:00,MC,Monaco,3055597885,2015-03-02 08:46:49+00:00,Edwrightimages,Instagram,False,118,92,87,False,#monaco🇮🇩 #covid19 #mask pastorrealestate monacovoyage monacolife_ @forbesmonaco #sneakers #walk #socialdistancing #opportunity #photoderue #streetphotography #staysafe #frenchriviera #reseaumalizia ©️EdwrightImages… https://t.co/52SJlTaUbr
2020-04-05 08:13:05+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,77,897,1869,False,"#sundaydetails
On our last #qemagazine cover we display #sasprincealbert just before he left #palaisprincierdemonaco. Since the beginning of #covid19 pandemic crisis, on 66 persons declared positive just 3 are… https://t.co/RvioXKQTr2"
2020-04-05 08:15:52+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,77,897,1869,False,"#sundaydetails
On our last #qemagazine cover we display #sasprincealbert just before he left #palaisprincierdemonaco. Since the beginning of #covid19 pandemic crisis, on 66 persons declared positive just 3 are… https://t.co/izcUHVvT3I"
2020-04-05 08:16:51+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,77,897,1869,False,"#sundaydetails
On our last #qemagazine cover we display #sasprincealbert just before he left #palaisprincierdemonaco. Since the beginning of #covid19 pandemic crisis, on 66 persons declared positive just 3 are… https://t.co/BQjfAfiCQY"
2020-04-08 15:53:14+00:00,MC,Monaco,271854805,2011-03-25 09:34:32+00:00,panthera_s,Twitter for iPhone,False,1760,4937,107,False,"Thoughtful interview with Ivan Krastev.
#COVID19 @zeitonline 
https://t.co/pqrWDKt5at"
2020-04-09 13:07:46+00:00,MC,Parc Princesse Antoinette,271854805,2011-03-25 09:34:32+00:00,panthera_s,Twitter for iPhone,False,1756,4939,99,False,"„We now project that over 170 countries will experience negative per capita income growth this year.” ⁦— ⁦@KGeorgieva⁩ ⁦/ @IMFNews⁩

Speaking notes: „Confronting the Crisis: Priorities for the Global Economy“

#COVID19  https://t.co/3RZQq92Ppw"
2020-04-12 07:56:48+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,81,900,1870,False,"#sundaydetails
It's just #easter time during this season so difficult for everyone. #covıd19 is still between us and #pandemia is yet so far to finish.
Let me share with you 3 pics taken by #qemagazine hoping that… https://t.co/uA8ayROoS3"
2020-04-12 08:00:04+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,81,900,1870,False,"#sundaydetails
It's just #easter time during this season so difficult for everyone. #covıd19 is still between us and #pandemia is yet so far to finish.
Let me share with you 3 pics taken by #qemagazine hoping that… https://t.co/Od6ZREG77Q"
2020-04-12 08:01:45+00:00,MC,Monaco,515938698,2012-03-05 22:38:38+00:00,AMPMonaco,Instagram,False,81,900,1870,False,"#sundaydetails
It's just #easter time during this season so difficult for everyone. #covıd19 is still between us and #pandemia is yet so far to finish.
Let me share with you 3 pics taken by #qemagazine hoping that… https://t.co/dmlHC1dXFj"
2020-08-30 07:17:45,MC,Monaco,,2019-04-27 02:07:31,Finance ASMR,Twitter for iPhone,False,52262,441,915,False,And plenty more dead fro #COVID19 https://t.co/o1yT3ocA1g
2020-07-26 09:25:00,MC,Monaco,,2020-03-16 20:42:03,The Stallion,Twitter for Android,False,8188,393,21,False,"😷😷😷😷😷😷😷😷😷😷
Bolting the stable door after the horse has Bolted 🏇💨
😷😷😷😷😷😷😷😷😷😷
#CoverYourFace #racingblogger… https://t.co/tvzHFdf1Rv"
2020-08-18 18:01:41,MC,Monaco,,2020-05-22 17:11:21,Stefano Vaccarono,Hootsuite Inc.,False,2,33,14,False,"For fine art shippers in the era of the #COVID19 pandemic, the path forward is both fraught and filled with potenti… https://t.co/tTPNm4QwZc"
