tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-08-04 06:54:01,SS,South Sudan,,2014-01-10 07:30:48,SouthSudan NGO Forum,Twitter Web App,False,274,8350,308,False,Children and Women Hope Organization has conducted a two day training for GBV volunteers selected from Juba’s Suk Z… https://t.co/veUXGGLg2X
2020-07-26 09:00:18,SS,South Sudan,,2011-12-19 13:59:47,Juliana Siapai 🇸🇸,Twitter for iPhone,False,5092,4658,2964,False,"My #SouthAfrican Friend who used to work in #Abyei went back to SA &amp; Succumbed to #Covid19 

Rest with Angels 
Lizwe 😞 😞😞"
2020-07-25 07:37:00,SS,South Sudan,,2010-05-05 11:36:02,UNHCR South Sudan,TweetDeck,False,90,231,105,False,"Together, we defeat #COVID19.

Art by Nesime,16, an Afghan living in Greece, for @Refugees' #COVID19 #artcontest. https://t.co/EV6nGoiLi1"
2020-08-12 09:48:46,SS,South Sudan,,2011-09-21 13:18:43,Medair South Sudan,Twitter Web App,False,1301,4291,1501,False,"A peek into one of our clinics in Renk during times of #COVID19. 

We had to make quite some changes to how we oper… https://t.co/Af8jLLNqh0"
2020-08-17 06:29:04,SS,South Sudan,,2020-01-12 10:46:19,Archer International - South Sudan,Twitter Web App,False,64,21,146,False,"14 Aug 20 #SouthSudan #COVID19. Guop Thon from the Ministry of Health reported two more positive cases, bringing th… https://t.co/4AlyRNlqmi"
2020-07-27 05:03:00,SS,South Sudan,,2010-05-05 11:36:02,UNHCR South Sudan,TweetDeck,False,90,233,105,False,"To beat #COVID19 everyone needs access to accurate, reliable information. https://t.co/3XNETZVFd2 https://t.co/YTPioFK5eu"
2020-07-25 08:45:55,SS,South Sudan,,2011-12-19 13:59:47,Juliana Siapai 🇸🇸,Twitter for iPhone,False,5054,4635,2950,False,The other side of rain season that nobody talks about in #Juba &amp; #SouthSudan #heavyrainalert #COVID19 #flood2020 https://t.co/ZqsWlmpMpf
2020-08-11 09:13:10,SS,South Sudan,,2014-05-08 13:02:10,@Monodanga22,Twitter Web App,False,2325,439,1826,False,@undpsouthsudan @unmissmedia @KamaluddeenKK @UN_SouthSudan @UNFPASouthSudan @UNDPAfrica @ASteiner @EvelynEdroma… https://t.co/F3BC3cFKYA
2020-08-17 05:52:24,SS,South Sudan,,2014-01-10 07:30:48,SouthSudan NGO Forum,Twitter Web App,False,281,8415,310,False,“Serving my people is my pride.” Meet Rebecca. She is one of the #RealLifeHeroes dedicating their lives to saving o… https://t.co/RLxqlYEiFc
2020-07-25 11:13:46,SS,South Sudan,,2011-05-27 01:29:19,cecil laguardia,Twitter for iPhone,False,13555,1356,1341,False,#SaturdayVibes: Our #mountain haven is blooming. Nothing beats nature for a refreshing weekend. Can’t wait to enjoy… https://t.co/EE0PO15vlb
2020-07-27 06:12:00,SS,South Sudan,,2014-01-10 07:30:48,SouthSudan NGO Forum,Twitter Web App,False,273,8297,306,False,"“Today I give advice, and tomorrow I find that someone has adapted.” Every Monday to Friday, Nile Hope’s 42 Communi… https://t.co/QSjdebhoJm"
2020-07-26 09:30:24,SS,South Sudan,,2012-01-13 12:44:05,Patrick Godi,Twitter for iPhone,False,351,521,237,False,Report by @Mo_IbrahimFdn COVID 19 in Africa: what does it mean for young people? #Covid19 #NowGeneration #Africa… https://t.co/rDO5LgVQub
2020-07-27 06:06:00,SS,South Sudan,,2011-05-27 01:29:19,cecil laguardia,Twitter for iPhone,False,13602,1355,1344,False,Listen to your people’s voice Mr. President. The people have enough suffering &amp; pain. We have to heal the country n… https://t.co/JWjOgHPhiL
2020-07-25 06:47:14,SS,South Sudan,,2011-05-27 01:29:19,cecil laguardia,Twitter for iPhone,False,13555,1356,1341,False,#ThrowbackWeekend: There are lessons we can use even in desperate conditions unleashed by #COVID19. “Communicating… https://t.co/MvEMKYeRMt
2020-07-25 05:45:30,SS,South Sudan,,2011-05-27 01:29:19,cecil laguardia,Twitter for iPhone,False,13555,1356,1341,False,@LucyMurunga Terrible indeed! #COVID19 has brought too many misery for children.
2020-07-25 10:08:55,SS,South Sudan,,2015-06-24 11:32:17,Modi Eyobo,Twitter Web App,False,237,38,374,False,"As the fight against this pandemic continuous, Women have been in the front-line to reduce the spread of this pande… https://t.co/ubm29n6sVC"
