tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 04:44:37+00:00,RU,"Moscow, Russia",824325992827252736,2017-01-25 18:40:06+00:00,francska1,Twitter for Android,False,1598,293,1240,False,"Surprise surprise - lots of Russians seem to be treating Putin's #COVID19 'non-working week' like a holiday. This video was apparently filmed yesterday in Serebryany Bor, a park in Moscow's western suburbs. https://t.co/MwP0N2Darm"
2020-03-29 17:44:16+00:00,RU,"Moscow, Russia",869491889698951169,2017-05-30 09:53:15+00:00,JuliaBethwaite,Twitter for iPhone,False,803,172,386,False,"And now it has happened here, too: only trips to grocery stores and pharmacies are allowed. No more running outside or doing stroller walks with the baby. Hope these measures will help to slow down the virus outbreak in #Moscow. Stay healthy and well! #covid19 https://t.co/gRhRd2V3m9"
2020-03-29 09:22:16+00:00,RU,Международный аэропорт Шереметьево / Sheremetyevo International Airport (SVO),2903205633,2014-12-03 02:49:27+00:00,joshualevy84,Twitter for Android,False,9,14,92,False,"Everyone is wearing masks on this flight from Moscow to Stavropol, Russia. The aircraft seems empty. #COVIDー19 #CoronaUpdate #coronavirus @BBCNews @DailyMailUK https://t.co/U5z1k8yRSf"
2020-03-29 17:50:42+00:00,RU,"Приозерский район, Россия",64953234,2009-08-12 05:46:45+00:00,Chernayvsky,Twitter for Android,False,6799,539,90,False,"#COVID19
Bombs already not scary at all o_o"
2020-03-29 06:19:38+00:00,RU,"Ekaterinburg, Russia",547904132,2012-04-07 20:56:33+00:00,drskharlamov,Instagram,False,51650,1631,4996,False,"The main thing is not to stay awake... (Russian Ministry of Health) #covid19 #mordorlive @ Yekaterinburg, Sverdlovskaya Oblast', Russia https://t.co/jLDhZK6hS2"
2020-03-29 20:24:48+00:00,RU,"Moscow, Russia",846036733603008512,2017-03-26 16:30:50+00:00,FielComandante1,Twitter for Android,False,2068,86,1028,False,#breaking @jguaido tests positif to #coronavirus. Venezuelan authorities to bring him under health custody. @PartidoPSUV
2020-03-29 04:48:18+00:00,RU,"Ekaterinburg, Russia",547904132,2012-04-07 20:56:33+00:00,drskharlamov,Instagram,False,51650,1631,4996,False,"What is interesting about #covıd19 in Russia that a mortality rate is still about 0.40%... with 1,264 cases totally at this very moment #mordorlive @ Yekaterinburg, Sverdlovskaya Oblast', Russia https://t.co/rOfLVabQCp"
2020-03-29 17:58:36+00:00,RU,"Moscow, Russia",118197802,2010-02-27 22:30:59+00:00,thinkler1,Instagram,False,447,98,398,False,While sitting on quarantine #Moscow #covid_19 #sh60seahawk #1_72scale #dioramas #migjimenez #tamiya #2020 @ Moscow https://t.co/nCyY4FJKEU
2020-03-29 05:25:08+00:00,RU,"Ekaterinburg, Russia",547904132,2012-04-07 20:56:33+00:00,drskharlamov,Instagram,False,51650,1631,4996,False,"Reincarnation of Sauron imposed a ’week off work’ instead of lockdown from March 30th to April 3rd across the Mordor. This is not a nationwide lockdown, and many people will be working despite the #covıd19… https://t.co/oSgBcU0BJl"
2020-03-29 20:22:20+00:00,RU,"Saint Petersburg, Russia",837579452645322752,2017-03-03 08:24:37+00:00,vduct,Twitter for iPhone,False,28,7,169,False,"1. Eat healthy and nutritious diet, it helps your immune system to function properly  
2. drink responsibly: limit your alcohol consumption and avoid sugary drinks
3. don’t smoke: smoking can increase your risk of developing severe disease, if you become infected with #COVID19"
