tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 12:58:38+00:00,EG,"Port Said, Egypt",1235272570364145674,2020-03-04 18:35:24+00:00,iamusamanabil,Twitter for Android,False,19,33,34,False,"CURFEW IN PORT SAID, EGYPT 
#coronavirus #COVID19 #Covid_19 #Egypt #Curfew #كورونا #وزارة_الصحة #فيروس_كورونا #CoronaUpdate #خليك_بالبيت #الحجر_الصحي https://t.co/PoJif2ncHy"
2020-03-29 05:47:28+00:00,EG,"El Daqahlia, Egypt",989460599649329152,2018-04-26 11:06:05+00:00,eslamabed32,Twitter for Android,False,1650,190,559,False,"FACT: #COVID19 is NOT airborne. 

The #coronavirus is mainly transmitted through droplets generated when an infected person coughs, sneezes or speaks.

To protect yourself:
-keep 1m distance from others
-disinfect surfaces frequently
-wash/rub your 👐
-avoid touching your 👀👃👄"
2020-03-29 14:07:39+00:00,EG,"El Behera, Egypt",2707384129,2014-08-04 20:16:23+00:00,Mo_Farouk07,Twitter for Android,False,950,4568,3605,False,"Stay at home or these guys will carry you with some hype song 
#StayAtHomeAndStaySafe 
#coronavirus https://t.co/0vJK46RKxn"
2020-03-29 18:44:01+00:00,EG,"Cairo, Egypt",86688422,2009-11-01 09:04:53+00:00,hkbarjatya,Twitter for Android,False,1991,1381,335,False,"The good old days before #COVID19
Memories of Greece!!
https://t.co/M6vEf2LLhc"
2020-03-29 12:42:15+00:00,EG,"Cairo, Egypt",19108742,2009-01-17 12:29:21+00:00,WildJunket,Instagram,False,1260,82441,26965,False,"Where’s the first place you plan to go after this #coronavirus pandemic? We still hope to go on our Egypt trip in May, Lithuania/Belarus/Moldova in June and the Galapagos in July. But we shall see how the pandemic… https://t.co/qvXI3zUdSK"
2020-03-29 07:37:04+00:00,EG,"Cairo, Egypt",968314327,2012-11-24 16:19:15+00:00,AAElgheriany,Twitter for iPhone,False,316,168,483,False,"For so long, we tried to diffuse a win-win mindset. Lesson from #coronavirus to all business leaders! You can’t just win alone, either a win-win or a lose-lose. 
#lockdownthoughts #COVID19"
2020-03-29 18:15:20+00:00,EG,"Cairo, Egypt",15967606,2008-08-24 09:15:19+00:00,seifleih,Twitter for iPhone,False,144,5685,3706,False,How would you feel if u woke up one morning to the news that 38 Airbus 380 aircraft crashed killing al those on board? #COVID19
2020-03-29 10:07:28+00:00,EG,"Cairo, Egypt",86688422,2009-11-01 09:04:53+00:00,hkbarjatya,Twitter for Android,False,1992,1381,335,False,"We might have realized now, that it's not nuclear power but the healthcare and human resources which makes nations powerful. Respect for nature and it's beings is the only way out. #COVID19 #HumanityFirst #nature  #ventilators #PPE"
2020-03-29 18:06:10+00:00,EG,"Giza, Egypt",450979031,2011-12-30 22:10:31+00:00,MohamedELMasr68,Instagram,False,5,83,416,False,"#٤ #حالات #وفاة #جديدة #و #٣٣ #اصابة #بفيروس #كورونا #وفق #بيان #وزارة #الصحة #المصرية 
#فيروس_كورونا 
#مصر #egypt #corona #virus #coronavirus @ 6 October City https://t.co/7n5whYpF6l"
2020-03-29 03:14:44+00:00,EG,"El Monofia, Egypt",14964160,2008-05-31 16:08:00+00:00,Ghanim01,Twitter for Android,False,680,655,699,False,My poster design for the Imaginary #Covid_19 Documentary. #CoronaUpdate #COVID19 https://t.co/7OWs4dNkCl
