tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 14:44:07+00:00,KR,"Dongdaemun-gu, Republic of Korea",3430022338,2015-08-18 14:50:05+00:00,ozgryldz_,Twitter for iPhone,False,1875,192,180,False,WHO said this? 😄 @WHO #COVID19 https://t.co/XwGdQk5tlA
2020-03-29 16:30:19+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@mafrakorea 

Shut Down #WetMarkets, Before We Are Hit With Another Plague Like #COVID19
#dogandcatmeatfreekorea https://t.co/fAmp9YbMlp"
2020-03-29 16:09:31+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@moonriver365

Must shut down #WetMarkets immediately from selling UNREGULATED #DogMeat in #SKorea. You are endangering the public's health by selling LIVE #dogs from unregulated farms for slaughter on demand! #DogMeatTrade #coronavirus #COVID19 #pandemia #코로나바이러스 https://t.co/YQJqPNHkU6"
2020-03-29 13:47:06+00:00,KR,"Ulju-gun, Republic of Korea",176860826,2010-08-10 16:49:59+00:00,DolsotDan,Twitter for Android,False,4196,593,443,False,"Horrible news from the #ALeague as Ulsan Hyundai's #ACL2020 opponents @PerthGloryFC are struggling to stay afloat during the #coronavirus outbreak

#KLeague https://t.co/919W2txP4C"
2020-03-29 16:27:05+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@park_wanju 

Shut Down #WetMarkets, Before We Are Hit With Another Plague Like #COVID19
#dogandcatmeatfreekorea https://t.co/6MDWOT9esl"
2020-03-29 16:55:13+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@mevpr 

Shut Down #WetMarkets, Before We Are Hit With Another Plague Like #COVID19
#dogandcatmeatfreekorea https://t.co/YBchg5CGYT"
2020-03-29 09:56:39+00:00,KR,"Buk-gu, Republic of Korea",2476407194,2014-05-04 05:10:46+00:00,TASwithJD,Twitter for iPhone,False,7676,405,1756,False,Any contacts in #newzealand or #Oceania ? #fiji #samoa #covid19 #coronavirus https://t.co/pKql1ke6mo
2020-03-29 16:31:37+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@TheBlueHouseKR 

Shut Down #WetMarkets, Before We Are Hit With Another Plague Like #COVID19
#dogandcatmeatfreekorea https://t.co/OipgMWtyOF"
2020-03-29 01:30:36+00:00,KR,"Jung-gu, Republic of Korea",38456507,2009-05-07 15:54:27+00:00,chrisgeorgiev,Twitter for iPhone,False,2808,4852,1865,False,Another milestone for #southkorea #covid19 https://t.co/eksx9CtTab
2020-03-29 16:11:33+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@mafrakorea

Must shut down #WetMarkets immediately from selling UNREGULATED #DogMeat in #SKorea. You are endangering the public's health by selling LIVE #dogs from unregulated farms for slaughter on demand! #DogMeatTrade #coronavirus #COVID19 #pandemia #코로나바이러스 https://t.co/wTK8dRf73M"
2020-03-29 00:56:49+00:00,KR,"Yuseong-gu, Republic of Korea",99757780,2009-12-27 18:34:48+00:00,elsa2smile,Twitter for Android,False,402,54,60,False,@mainedcm why so pretty 😍 Natural beauty 😍 Galing naman! 👏👏👏 #JackEmPopoy  Thank you @KapamilyaTFC ❤ #teamabroad #TFC #COVID19 #covid19days #CoronaVirus #StayHome https://t.co/34cDRVQNnX
2020-03-29 16:12:39+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@TheBlueHouseKR

Must shut down #WetMarkets immediately from selling UNREGULATED #DogMeat in #SKorea. You are endangering the public's health by selling LIVE #dogs from unregulated farms for slaughter on demand! #DogMeatTrade #coronavirus #COVID19 #pandemia #코로나바이러스 https://t.co/ymdZTyCw4A"
2020-03-29 16:08:12+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@park_wanju

Must shut down #WetMarkets immediately from selling UNREGULATED #DogMeat in #SKorea. You are re endangering the public's health by selling LIVE #dogs from unregulated farms for slaughter on demand! #DogMeatTrade #coronavirus #COVID19 #pandemia #코로나바이러스 https://t.co/8tD4k55yEu"
2020-03-29 18:19:16+00:00,KR,"Gwanak-gu, Republic of Korea",100113862,2009-12-29 02:47:49+00:00,javiercha,Twitter for Android,False,3555,643,552,False,"I don't wear a mask when I'm outdoors alone. I do wear a mask at all times when I'm indoors speaking to the admin staff. Even that I've limited to once a week

Absolutely wear a mask when you're anywhere crowded: e.g., public transit. For others more than yourself. #COVID19 https://t.co/qSIE33oNIi"
2020-03-29 16:28:16+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@moonriver365 

Shut Down #WetMarkets, Before We Are Hit With Another Plague Like #COVID19
#dogandcatmeatfreekorea https://t.co/rjchpkGRBx"
2020-03-29 16:49:44+00:00,KR,Republic of Korea,912951056019181568,2017-09-27 08:04:28+00:00,EevaPaavilainen,Twitter for Android,False,38673,1115,192,False,".@mevpr 

Must shut down #WetMarkets immediately from selling UNREGULATED #DogMeat in #SKorea. You are re endangering the public's health by selling LIVE #dogs from unregulated farms for slaughter on demand! #DogMeatTrade #coronavirus #COVID19 #pandemia #코로나바이러스 https://t.co/G9TZswyfGD"
2020-03-29 04:06:31+00:00,KR,"Yongsan-gu, Republic of Korea",717294576684371969,2016-04-05 10:15:28+00:00,nayancom51,Twitter for Android,False,676,1205,209,False,Every single penny counts. Come forward and contribute in relief emergency fund to contain #COVID19. https://t.co/VNVfJNBS3Y
2020-03-29 05:25:24+00:00,KR,Republic of Korea,1243935197067763712,2020-03-28 16:17:30+00:00,sebastian__kim,Twitter for iPhone,False,0,0,0,False,"the moment we need a bullet in the damn fucking head

#corona #COVID19 #korea #shincheonji #bitch #crazy #코로나 #신천지 #대구 #확진자 #미친년 https://t.co/zKa4y4nyTh"
2020-03-30 01:29:20+00:00,KR,"Jung-gu, Republic of Korea",38456507,2009-05-07 15:54:27+00:00,chrisgeorgiev,Twitter for iPhone,False,2821,4852,1866,False,USA is getting significant surge in #covid19 cases https://t.co/ly49zRSyCd
2020-03-30 01:53:18+00:00,KR,"Jeonju-si, Republic of Korea",366547934,2011-09-02 11:21:09+00:00,BipeenD,Twitter for Android,False,10886,5453,4982,False,"@bini_bihani @bini41207443 #Good morning have a nice monday 😀
#Stay_at_home !
#bestrong !
#StaySafe !
#COVID_19"
2020-03-30 11:03:45+00:00,KR,"Chungju-si, Republic of Korea",3320018802,2015-08-19 13:49:19+00:00,n0shortcuts,Instagram,False,828,30,52,False,"Take 2!

A slightly different recipe

Will post results ^^

#n0shortcuts 
#tatertots #totwaffle #totwaffles
#hashbrownwaffles #potatowaffles 
#crispy #stayathome #coronavírus #coronacooking #isolation @ Chungju https://t.co/nXCN7V7JtS"
