tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 17:54:17+00:00,HT,Haiti,811483364,2012-09-08 18:47:13+00:00,lynsonnenberg,Twitter for iPhone,False,3600,858,360,False,"Water. A daily source of life, yet such a chore for so many in the world today. In 2004, I took this photo while a resident physician in the area. I love the little girl leading and the irony of their #PhysicalDistance during this #Covid_19 outbreak. #lynksonnenbergphotography https://t.co/8UMBpCJ9AV"
2020-03-29 03:46:06+00:00,HT,Haiti,323431504,2011-06-24 20:29:45+00:00,Pwoteksyonsivil,Twitter for iPhone,False,509,73444,266,False,@TilouJeanPaul @MsppOfficiel @Eddyjalexis #Coronavirus: #Haiti |105 cas suspects| Prudence https://t.co/NFLrn7EKil
2020-03-29 19:03:28+00:00,HT,Haiti,35014380,2009-04-24 19:31:12+00:00,djecee,Twitter for iPhone,False,2993,12701,892,False,"Dedicated to all New Yorkers out there! 

The city that never sleeps is now tirelessly fighting 24/7 to overcome the #covid19. Fòs 💪🏾

After the storm comes the sunshine. NYCity will be great again.

Big up to my son, friends &amp; relatives in the Big Apple.

https://t.co/MTqV93RS4C"
2020-03-29 22:08:49+00:00,HT,Haiti,14979774,2008-06-02 13:18:44+00:00,johnengle,Instagram,False,1120,1595,883,False,Helping Haitian families prepare for and prevent COVID-19. #covid_19 #covıd19 #coronavirus #haiti #haïti #prevention #education @ Haiti https://t.co/qtrmQ1qXTS
2020-03-30 04:13:00+00:00,HT,Haiti,2891162931,2014-11-24 19:14:40+00:00,d45besto1ne,Instagram,False,312,256,104,False,"I think 🤔 we should do that #corona #covid_19 #quarantine #stayhome #retlakaynou #lavemennou #washyourhands #coronavirusisnotajoke #koronavirissepayonjwèt #d45besto1ne #sjb #shunertjb @ Morne Hercule, Ouest, Haiti https://t.co/ThU29smPC3"
2020-03-30 01:28:35+00:00,HT,Haiti,552500719,2012-04-13 07:22:15+00:00,wilkensssstraka,Twitter for iPhone,False,9563,8226,1621,False,@jamesmozart LMAO Let’s focus on #COVID19 koz it’s real 🙌🏼💯
2020-03-30 01:49:52+00:00,HT,Haiti,35014380,2009-04-24 19:31:12+00:00,djecee,Twitter for iPhone,False,2993,12701,892,False,@samsmith literally kills it in a cappella. What a voice! #iHeartConcertOnFox #Covid19
2020-03-31 22:52:32+00:00,HT,Haiti,35014380,2009-04-24 19:31:12+00:00,djecee,Twitter for iPhone,False,3038,12718,894,False,"#DYI: Making a Face shield to protect yourself from #COVID19

https://t.co/sVN5Xyj1oc"
2020-03-31 22:44:18+00:00,HT,Haiti,35014380,2009-04-24 19:31:12+00:00,djecee,Twitter for iPhone,False,3041,12724,894,False,"“In China, one of the earliest alarms about the mysterious new #Coronavirus was raised by a doctor in an online chatroom in late December. He was reprimanded and forced to sign a police statement that the post was illegal. He later contracted the disease from a patient and died.”"
2020-04-01 17:30:45+00:00,HT,Haiti,32959729,2009-04-18 18:03:00+00:00,jenmusa,Twitter for iPhone,False,194,53,139,False,Health for Haiti @sunybroome congratulates families in Grande Saline for trying to maintain safe #SocialDistancing while waiting in line for clean water. 💧#COVID19 https://t.co/AKGzzbEVRj
2020-04-02 21:56:21+00:00,HT,Haiti,187229709,2010-09-05 16:57:46+00:00,Makout57,Twitter for iPhone,False,26172,1877,1009,False,#6ix9ine is the positive case of the #CoronaVirus
2020-04-02 22:11:39+00:00,HT,Haiti,509224734,2012-02-29 20:51:54+00:00,DjJackPanfire,Twitter for Android,False,895,21815,73,False,My current #status all day all night 😆 #coronavirus #washyourhands #socialdistancing https://t.co/KWWTG5FkwA
2020-04-03 13:41:27+00:00,HT,Haiti,24840267,2009-03-17 04:36:43+00:00,WilliamLavant,Twitter for iPhone,False,1849,1237,1520,False,"@guymichelmusic 🎻🇭🇹🔥 Killed This!!! #FireFriday

- Channel: https://t.co/AFQ2JLAC6j
- Song: https://t.co/YkKX14uAEh

#COVID19Pandemic #haiti
#StayHomeSaveLives #China 
#day8oflockdown #coronavirus 
#orchestra #9MinutesForIndia 
#youtube https://t.co/QBFy78PHJ7"
2020-04-04 02:47:52+00:00,HT,Haiti,1200833257492926465,2019-11-30 17:47:09+00:00,BeaubrunJoes,Twitter for Android,False,619,22,528,False,"So in a country where people already aren't prone to believe until they see, Louko Desir, a #Haiti radio personality, said #coronavirus doesn't exist. Today he was arrested by police and now a crowd has gathered outside of the Petionville police station demanding his release."
2020-04-06 17:32:00+00:00,HT,Haiti,2557206026,2014-06-09 17:09:47+00:00,BuildHealthIntl,Twitter for iPhone,False,2174,605,674,False,Every day counts! The team at @StBonifaceHaiti Hospital worked through the weekend putting up walls and pouring walkways with appropriate drainage 🧰💧 #healthequity #construction #COVID19 https://t.co/ZImWVd5xmR
2020-04-06 02:13:23+00:00,HT,Haiti,259502999,2011-03-02 01:31:08+00:00,Stenwow,Twitter for iPhone,False,47614,3123,829,False,Can i get back to life after #Covid_19 pleaseeee 🤦🏾‍♂️😩
2020-04-07 22:25:52+00:00,HT,Haiti,21024684,2009-02-16 20:41:01+00:00,sassyves,Twitter for iPhone,False,680,169,281,False,In #Haiti #Midwives are advocates for the health rights of women and their families.  Today on #WorldHealthDay2020 let’s remember the decisive role they play in preserving the #health of their communities.  #COVID19 @UNFPA @unfpa_lac https://t.co/ByiWkz49Sb
