tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 11:09:19+00:00,DK,"Rudersdal, Danmark",60674916,2009-07-27 18:45:02+00:00,SteveGPickering,Twitter for Android,False,5382,572,1718,False,"#AerLingus are flying medical supplies from #China to #ireland, 1st flights for them to Asia. Hope they are not fetching dodgy #Covid_19 testing kits! https://t.co/GiiNUecFyV"
2020-03-29 19:07:50+00:00,DK,"Arhus, Denmark",1486716685,2013-06-06 03:21:00+00:00,jacobsherson,Twitter for iPhone,False,1161,773,411,False,"My son play testing our upcoming @sciathome #COVID19 #citsci #game, Corona-Minister allowing the player to explore the complex trade offs between spread of virus and impacts on the economy, privacy invasions and the general mental health during a sequence of interventions https://t.co/bijGDHMSOI"
2020-03-29 13:47:52+00:00,DK,"Brønderslev, Danmark",62802288,2009-08-04 12:20:58+00:00,Klaestrupgaard,Twitter for iPhone,False,1414,106,1217,False,Starting to watch #TheWalkingDead in the middle of a global pandemic was of course bound to cause nightmares on #covid19 mutations and other worst case scenarios. 😱😳 #corona
2020-03-29 10:15:11+00:00,DK,"Rudersdal, Danmark",498331261,2012-02-20 23:00:11+00:00,MNWvdL,Twitter for iPhone,False,853,860,134,False,This is so satisfying to watch! #magneticclay #StayHome #lockdown #coronavirus #boredinquarantine https://t.co/ebyZmr8pca
2020-03-29 20:11:47+00:00,DK,"Copenhagen, Denmark",17509184,2008-11-20 10:53:08+00:00,Dunia_Duara,Twitter for Android,False,16864,7430,3400,False,"""Policymakers need tailored rather than uniform approaches to tackling #Covid19 in informal settlements. Here are eight ideas for doing it differently"". Thanks @mailandguardian for good, constructive articles 
https://t.co/wfIZxAVU6U"
2020-03-29 05:30:40+00:00,DK,"Copenhagen, Denmark",701328360547467264,2016-02-21 08:51:26+00:00,pooyan_razian,Twitter for Android,False,3350,181,429,False,Let's stay home and slow down #coronavirus. 🙏 https://t.co/KxFugC3rpK
2020-03-29 21:25:21+00:00,DK,"Albertslund, Danmark",1238591752254226433,2020-03-13 22:24:38+00:00,Esmooms,Twitter for iPhone,False,88,3,96,False,The days are only getting better lately with all this stay at home all day suddenly been socially acceptable #Covid_19 #StayAtHomeAndStaySafe
2020-03-29 16:47:51+00:00,DK,"Copenhagen, Denmark",67640602,2009-08-21 15:54:30+00:00,camillaengelby,Twitter for iPad,False,27614,4455,4410,False,"They tried to make me clap for Boris.
But I said, “No, no, no” … 👏🚫

NB. I do wish him well. But the true heroes are health professionals all over the globe, working round the clock to keep us safe from #COVID19. I’ll clap for them any day!

And remember #StayAtHomeSaveLives https://t.co/XB6oBcc4I7"
2020-03-29 20:45:25+00:00,DK,"Hvidovre, Danmark",46202987,2009-06-10 19:35:22+00:00,AllanJP_DK,Twitter for Android,False,3111,267,482,False,"Just finished the old Danish series called ""Matador"" and have now given in to HBO and their series ""Chernobyl""... Only 2 episodes ind and we're hooked #series #hbo #chernobyl #Covid_19"
2020-03-29 10:09:43+00:00,DK,"Høje-Taastrup, Danmark",1244196134685421569,2020-03-29 09:34:49+00:00,jesperamundsen0,Twitter for iPhone,False,0,0,8,False,"155 new cases of #coronavirus in Denmark, more reason we need to  maintain our borders and stop all immigration and go back to basic fundamentals of a proper Danish society built and made for Danish men, woman and children."
2020-03-29 16:20:25+00:00,DK,"Copenhagen, Denmark",17509184,2008-11-20 10:53:08+00:00,Dunia_Duara,Twitter for Android,False,16875,7428,3400,False,"#Albania, #Cuba and now Somalia: #Somalia sending 20 doctors to help fight #coronavirus in Italy. 

https://t.co/PYuxq4UKuh"
2020-03-29 17:17:54+00:00,DK,"Silkeborg, Danmark",862611864,2012-10-05 06:36:02+00:00,jennyporlando,Twitter for iPhone,False,2208,507,1264,False,"An elderly lady with the loveliest smile braving the freezing forest today in Jutland, #Denmark. 

What’s wonderful is warmth that this is bringing out in many. People say hello. People smile more. 

Another week. Happy Sunday. #StaySafe.

#Covid_19 #LoveInTheTimeOfCoronavirus https://t.co/y45QUyYrHg"
2020-03-29 11:05:26+00:00,DK,"Copenhagen, Denmark",257034215,2011-02-24 15:49:10+00:00,bigred3xxx,Instagram,False,4249,188,684,False,Nice easy ride for Day #2 “no coffee”! #strava #nocaffeine #cervelo #rideitout #rgtcycling #wahoo #wahookickr #stayhome #covid_19 #corona #danishlockdown  #socialdistancing #copenhagen @ Copenhagen https://t.co/WJPKYQT69e
2020-03-29 23:28:12+00:00,DK,"Glostrup, Danmark",132031946,2010-04-12 02:51:27+00:00,CharlauBeauty,Twitter for iPhone,False,3426,197,297,False,"@Fly_Norwegian hey, i got the choice to cancel my flight for cash points due to COVID-19. You guys cancelled my booking, and I have received no cash points? Ive lost nearly 5000kr.....? #norwegian #COVID19"
2020-03-29 12:40:11+00:00,DK,"Copenhagen, Denmark",67640602,2009-08-21 15:54:30+00:00,camillaengelby,Twitter for iPad,False,27617,4456,4410,False,"Now that we’re all stuck at home due to #COVID19, with no plans &amp; all the time in the world, I’ve started to compile a list of good reading materials.

What’s at the top of your reading list?

Here’s my No 1: The Russia Report 🇷🇺 
#ReleaseTheRussiaReport https://t.co/Mr5keyTxtd"
2020-03-29 07:53:09+00:00,DK,"Rudersdal, Danmark",498331261,2012-02-20 23:00:11+00:00,MNWvdL,Twitter for iPhone,False,852,861,134,False,South Korea ánd US had there first domestic Corona infection at the same time; “The missing six weeks: how Trump failed the biggest test of his life”  #coronavirus #Covid_19 #CoronavirusPandemic https://t.co/ADY0EKGicO
2020-03-29 15:19:14+00:00,DK,"Copenhagen, Denmark",67640602,2009-08-21 15:54:30+00:00,camillaengelby,Twitter for iPad,False,27614,4455,4410,False,"Lack of smell &amp; taste is now believed to be a symptom for “hidden carriers” of #COVID19 despite not having the usual signs of a cough or fever.

Professor Nirmal Kumar, head of ENT UK, has urged Britons to self-isolate if they have this symptom.
https://t.co/hpkJBTzGPy"
2020-03-29 11:19:55+00:00,DK,"Copenhagen, Denmark",1182774650427838464,2019-10-11 21:47:47+00:00,ZaccagniSarah,Twitter for iPhone,False,401,112,228,False,Lessons from Italy’s response to #Covid_19. Great summary @raffasadun https://t.co/hA5Pn1HvVT
2020-03-29 15:07:21+00:00,DK,"Copenhagen, Denmark",701328360547467264,2016-02-21 08:51:26+00:00,pooyan_razian,Twitter for Android,False,3361,181,430,False,"Summer holidays in #2020 be like ...

#coronavirus
#COVID19 
#COVIDー19 
#Quarantine https://t.co/i7NhjHKJz1"
2020-03-30 21:34:49+00:00,DK,"Aalborg, Danmark",2151498765,2013-10-24 20:08:14+00:00,GPacyk,Twitter for iPad,False,4827,874,1012,False,"#COVID19: what treatments are being investigated? #remdesivir, #chloroquine; #lopinavir and #ritonavir;  #interferonβ; #tocilizumab; #favipiravir: https://t.co/PJHWGmk6n3"
2020-03-30 21:20:18+00:00,DK,"Aalborg, Danmark",2151498765,2013-10-24 20:08:14+00:00,GPacyk,Twitter for iPad,False,4827,874,1012,False,The evidence to date is not strong enough to support advising against all use of #NSAIDs in #COVID19: https://t.co/hvdc74w3iI
2020-03-30 18:16:28+00:00,DK,"Copenhagen, Denmark",1449848432,2013-05-22 20:37:23+00:00,RebAdlerNissen,Twitter for iPhone,False,2788,5420,4353,False,"If nothing else makes you stay awake tonight 😱, this news should work:

The Hungarian Parliament has voted by 137 to 53 to accept the government's request for the power to rule by decree during #coronavirus emergency

👉 The law contains no time limit 👈

https://t.co/zA8Y6H6sQV"
2020-03-30 15:22:56+00:00,DK,"Copenhagen, Denmark",16744473,2008-10-14 19:44:47+00:00,climate_ice,Twitter for iPhone,False,15463,17863,3015,False,Deterioration of democracy in the US and elsewhere is another threat probably far more powerful then #coronavirus
2020-03-30 16:59:08+00:00,DK,"Aalborg, Danmark",459325126,2012-01-09 14:52:42+00:00,Jakob_Hammer,Twitter for Android,False,1802,86,453,False,"PSA: Clean your coffe machine.. also the parts you don't see. I am truly embarrassed about the former state of mine. He is now ready for more Java!

You got all the sparetime anyway ☕🧼👩‍🔧 #coronavirus #Covid_19 #Quarantine #QuarantineActivities https://t.co/DyOvrBhDHg"
2020-03-30 15:19:13+00:00,DK,"Copenhagen, Denmark",16744473,2008-10-14 19:44:47+00:00,climate_ice,Twitter for iPhone,False,15463,17863,3015,False,Far more dangerous than #coronavirus is the growing destabilization of Earth’s climate due to human caused excess CO2 in our atmosphere and oceans.
2020-03-30 07:51:54+00:00,DK,"Copenhagen, Denmark",17509184,2008-11-20 10:53:08+00:00,Dunia_Duara,Twitter for Android,False,16872,7430,3400,False,"""#Portugal to Treat #Migrants as Residents During #Coronavirus Crisis"" 
https://t.co/L1H7ccxpwb"
2020-03-30 11:23:46+00:00,DK,"Copenhagen, Denmark",18188979,2008-12-17 13:49:11+00:00,Ragglock,Twitter for Android,False,406,37,388,False,"Our fearless leader, witch I have an crush on, pressmeeting today, in danish sorry.
#coronavirus https://t.co/fq3iNcY3aC"
2020-03-30 09:46:33+00:00,DK,"Hillerød, Danmark",3825423867,2015-09-30 16:04:15+00:00,s_hvilshoej,Twitter for iPhone,False,1123,14063,14998,False,"Full credit to the Danish Health Sector. Friday 78% O2 in my blood &amp; 40C fever. Emergency check for #coronavirus (#positive!). Antibiotics, extra O2 &amp; care. Hopefully leaving tomorrow with lungs extracting O2 from the air I breathe. Touch 2 weeks of #COVID19dk fever &amp; diarrhea https://t.co/pPeSRkXuk7"
2020-03-30 16:15:28+00:00,DK,"Copenhagen, Denmark",67640602,2009-08-21 15:54:30+00:00,camillaengelby,Twitter for iPad,False,27722,4457,4414,False,"Denmark is currently succeeding in flattening the #Covid_19 curve. Despite the positive signs, the elderly &amp; other vulnerable groups should expect to adapt to the risk of infection for some time to come.

“We ask the weakest to be the strongest”
– Danish PM Mette Frederiksen. https://t.co/TRikgVb8vU"
2020-03-30 14:43:04+00:00,DK,"Helsingør, Danmark",824529102182944768,2017-01-26 08:07:11+00:00,PVC4Pipes,Twitter for iPhone,False,345,474,289,False,"Factsheet: #COVID19 Virus - Water, Sanitation and #WastewaterManagement https://t.co/KltxN79bP0 #coronavirus"
2020-03-30 06:41:27+00:00,DK,"Arhus, Denmark",45649387,2009-06-08 19:38:33+00:00,lais_fmartins,Twitter for iPhone,False,1876,359,1887,False,"Important: For the first time, Twitter has deleted posts from Bolsonaro's account in which he went directly against WHO recommendations about #COVID19 https://t.co/JLcnJ20Qsy"
2020-03-30 13:51:03+00:00,DK,"Copenhagen, Denmark",18188979,2008-12-17 13:49:11+00:00,Ragglock,Twitter for Android,False,406,37,388,False,"@3gerardpique reaction to his girlfriend taking online cause in philosophy from Penn uni, is the best ever, and I don't even play or watch soccer.
#coronavirus #StayAtHome #QuarentineLife
https://t.co/JXqBqe6fup"
2020-03-30 09:32:01+00:00,DK,"Haderslev, Danmark",1244342240450920451,2020-03-29 19:14:59+00:00,DelPontiac,Twitter for Android,False,0,1,20,False,"https://t.co/l8EQthd1Aw

Terrible.. 

#coronavirus"
2020-03-30 09:48:03+00:00,DK,"Copenhagen, Denmark",18188979,2008-12-17 13:49:11+00:00,Ragglock,Twitter for Android,False,406,37,388,False,"You Don't want to miss out on the ""florence pugh cooking show""
Except next time you can safely hit the gym.
https://t.co/y8FH3xShy7

#coronavirus #QuarantineLife #florencepugh https://t.co/lBPsIg9YMR"
2020-03-30 11:43:36+00:00,DK,"Copenhagen, Denmark",18188979,2008-12-17 13:49:11+00:00,Ragglock,Twitter for Android,False,406,37,388,False,"While I was looking through my bookmarks, from the last month, I came over this, I don't know what happened, do #coronavirus attack the brain?, my best explanation, thanks @DAVID_LYNCH inspired Filmmakers every where.
#QuarantineLife https://t.co/ynDQR8nPLq"
2020-03-30 06:06:54+00:00,DK,"Odense, Danmark",1158773783332839424,2019-08-06 16:16:13+00:00,SigneBanke,Twitter for iPhone,False,211,76,146,False,"New #COVID19 morning routine: Walking my coffee every day 7:40-8:00 around the block, fresh air &amp; coffee without my phone. Appreciating @SSTSundhed’s mental heath advice below. So important. How do you induce some sanity these days? @imm_samf @SAMF_SDU https://t.co/godUOqN9GO"
2020-03-30 20:34:57+00:00,DK,"Copenhagen, Denmark",15621444,2008-07-27 16:49:04+00:00,jerrymahers,Twitter for iPhone,True,8363,271879,39,False,"Yemenis are suffering from the relentless aggressive acts of Houthis who are breaking the int'l cease fire treaty and targeting civilians in AlRiyadh with missiles, instead of fighting the #CoronaVirus pandemic, forcing the coalition to respond and bring about military operations"
2020-03-30 19:02:21+00:00,DK,"Copenhagen, Denmark",393257263,2011-10-18 08:07:58+00:00,jonastogotells,Twitter for iPhone,False,685,153,47,False,We salute you and everyone out there making a difference. Thank you for helping the world when we need it the most♥️ #Covid_19 https://t.co/gf6CR4iR7E
2020-03-31 12:48:12+00:00,DK,"Rudersdal, Danmark",498331261,2012-02-20 23:00:11+00:00,MNWvdL,Twitter for iPhone,False,859,861,134,False,"I just looked up some famous speeches from Presidents and leaders that led trough a major crisis,  not one of them talks about himself or demands praise; they talk about; we, together, courage inspiration and care....#COVID19 #CoronaPandemic #coronavirus #Covid19usa #CNN"
