tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 06:56:52+00:00,DZ,Algeria,131242231,2010-04-09 18:07:42+00:00,karimouamane,Twitter for iPhone,False,1529,442,801,False,"Whatever the context is, any #waste management policy should consider regular and exceptional streams. It’s the case for waste generated during #COVID_19 outbreak. #Covid_19 #COVID19dz #COVID19"
2020-03-29 19:13:27+00:00,DZ,"Tizi Ouzou                                                                                          , Algeria",125750336,2010-03-23 19:12:27+00:00,rabia_hakim,Twitter for Android,False,6142,1338,601,False,"Everyone panicking about coronavirus #Covid_19 

Me and my brother arguing about this :

Me:                         My bro:
Seven.                    eleven. https://t.co/eQ4o1ar1n7"
2020-03-29 01:19:51+00:00,DZ,"El Kseur                                                                                            , Algeria",1123278644,2013-01-26 22:05:33+00:00,HocineRemini,Twitter for iPhone,False,6630,452,1113,False,Substantial undocumented infection facilitates the rapid dissemination of novel #coronavirus (SARS-CoV2) https://t.co/liA5afYEkQ
2020-04-01 20:06:50+00:00,DZ,"Tlemcen                                                                                             , Algeria",1166750820647538688,2019-08-28 16:34:19+00:00,AmineLallam,Twitter for Android,False,48,33,373,False,"#Ankara #Turkiye help #UnionEuropeenne #ue in this moment of crisis #COVIDー19 #coronavirus but where are the other relation #diplomatic where is she #Qatar where are #UAE or they know only financing #football and #ChampionsLeague ?
I think that's time for all a #word be an union"
2020-04-03 18:26:51+00:00,DZ,"Larba                                                                                               , Algeria",1035567389218357248,2018-08-31 16:38:00+00:00,OuamarWalid,Twitter for Android,False,322,12,201,False,"Design : Asr'Art 
#photo  #photooftheday #peace #algerie #alger #design #photoshop #illustrator #blida #خطوط #Corona #covid_19 https://t.co/fT5hLQEU8M"
2020-04-04 20:42:35+00:00,DZ,"Dar El Beïda                                                                                       , Algeria",1238636841387069446,2020-03-14 01:27:57+00:00,ArchiThruUnivS,Twitter for Android,False,117,31,29,False,"🔴 On March 27th, 2020, British-American Architect Michael McKinnell died of #Coronavirus
#Architecture #Design https://t.co/hYDMnxBDb1"
2020-04-05 07:41:16+00:00,DZ,"Oran                                                                                                , Algeria",1235846927196901378,2020-03-06 08:37:42+00:00,MustaphaBenab11,Twitter for iPhone,False,0,0,3,False,"Hello everyone, this prayer could be very affective with sincerity say: I believe in and only in you my Creator then include your asking. #coronavirus"
2020-04-05 12:50:36+00:00,DZ,"Alger                                                                                               , Algeria",1069972390313103360,2018-12-04 15:11:11+00:00,Maliko44287663,Twitter for Android,False,699,788,2386,False,"Boom 
.
#Flowers #ريح_في_داركم #COVID19fr #coronavirusalgerie #coronavirus #coronavirusafrica #coronavirusafric #PHOTOS #photooftheday https://t.co/ZcuiWuUqYK"
2020-04-08 22:33:28+00:00,DZ,"Béchar                                                                                             , Algeria",1242806642015637504,2020-03-25 13:34:13+00:00,AbdennourBenao4,Twitter for Android,False,235,10,90,False,"During these difficult times and the pandemic we still hitting the world hard it's difficult to concentrate on doing anything ,the best to do though is to get your mind off of all the insanity going on ✌🏼 #lilbrotha #Covid_19 #CoronaPandemie https://t.co/60TaM2nDXn"
2020-04-09 11:22:36+00:00,DZ,"Mechtat Ouled Fadel                                                                                 , Algeria",814776914787311616,2016-12-30 10:15:29+00:00,sonia_btl,Twitter for Android,False,174,15,27,False,#COVID19 what are your expectations about this virus ?
