tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 09:47:30+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda:

Ministries of ICT &amp;Innovation and Education would like you to help them to list all educational websites so that they can be made freely accessed by students amid #coronavirus lockdown in #Rwanda🇷🇼

|@Rwanda_Edu @RwandaICT https://t.co/Mh8k4Xp5cr"
2020-03-29 13:48:22+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2313,1927,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

One of #coronavirus patients in #Rwanda🇷🇼shares video on social media dancing in quarantine under treatment in Kigali

He recently tested #COVID19 POSITIVE on his arrival from #Dubai,#UAE🇦🇪

|@Baker_Reports #StayAtHome https://t.co/uzgeNt4qCf"
2020-03-29 09:49:50+00:00,RW,Rwanda,2573827444,2014-05-31 12:55:54+00:00,iamkamaliivan,Twitter for Android,False,2353,96,284,False,"@eddykenzoficial #Ugandan Let's Fight #coronavirus 
#staysafe 
#RetweeetPlease https://t.co/p7l63hw6T4"
2020-03-29 18:49:58+00:00,RW,Rwanda,366024467,2011-09-01 12:52:05+00:00,ntizimira,Twitter for iPhone,False,39605,1849,484,False,I like “Physical distance and Social connection “ than “Social distancing” Great example in #Rwanda #COVID19 #coronavirus #pallicovid #comcomcovid @IAHPC @whpca @PHPalCare #PalliativeCare #hpm #RwOT https://t.co/BbRCDXP3Yp
2020-03-29 01:13:39+00:00,RW,Rwanda,630285053,2012-07-08 15:15:14+00:00,AbelMuberuka,Instagram,False,1185,379,1503,False,"Just isolating myself from thinking what was on my mind vs planning #2020..🇷🇼🇷🇼🇷🇼❤ #engineeringlife #Stayhome #COVID19 season will pass! #godfromdayone👆👆 @ Kigali, Rwanda https://t.co/KEd3ef5sex"
2020-03-29 12:43:28+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2313,1927,0,False,"@AfricaFactsZone #FactsOnRwanda
#CoronavirusInRwanda

Take a look at how clean #Rwanda🇷🇼 is amid the #coronavirus lockdown👇🏽

https://t.co/cP6kccaOnt"
2020-03-29 22:47:51+00:00,RW,Rwanda,594449596,2012-05-30 09:11:22+00:00,nganjiRF,Twitter for Android,False,777,1283,952,False,German state financial minister kills himself over #coronavirus #Covid19  'despair' https://t.co/ih0Xegl1is via @nypost
2020-03-29 09:26:45+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

At least 1,200 people have tested for #COVID19 in #Rwanda🇷🇼 since Feb 2020

Having Successfully contained #Ebola outbreak in #DRCongo🇨🇩, This's how Rwanda is aggressively fighting #coronavirus.

https://t.co/dbLfxBzCJb"
2020-03-29 21:57:57+00:00,RW,Rwanda,3005133853,2015-01-31 16:44:49+00:00,mahirweinnshady,Twitter for Android,False,294,136,268,False,"Everywhere I look people have accumulated lots of toilet papers , i don't know what #Covid19 has to do with pooping?? https://t.co/lfWQm9FLZy"
2020-03-29 09:40:59+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

""I came here immediately on the same day of my arrival, So I arrived in the morning here in #Kigali🌄🌇 and in the evening I was here""

Meet #coronavirus patients in #Rwanda🇷🇼.

|@rbarwanda @RwandaHealth #RwOT https://t.co/KtTB8Ma8UO"
2020-03-29 13:39:03+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2313,1927,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

One of #coronavirus patients in #Rwanda🇷🇼 shares video on social media dancing in quarantine under treatment in #Kigali🌄🌇

|@Baker_Reports #RwOT
|#StayAtHome #COVID19 https://t.co/uzgeNt4qCf"
2020-03-29 09:37:25+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

#Rwanda🇷🇼 took part in the first ever #G20VirtualSummit

World leaders met via video conferencing from their respective countries to discuss #coronavirus aftermath &amp; coordinated efforts to fight its spread

|@IGIHE  https://t.co/wMyT3DoquP"
2020-03-29 09:32:12+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

#Rwanda🇷🇼 helped stranded nationals &amp; legal residents who're facing travel difficulties around the world as a result of restrictions imposed by different countries

READ:https://t.co/VMu8Z5E9bD

|@NewTimesRwanda #RwOT #COVID19 #coronavirus https://t.co/HekjCIcNHa"
2020-03-29 15:13:10+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2325,1984,0,False,"#FactsOnRwanda
#CoronavirusInRwanda
#RwandansVsLockdown

#Thread⤵️

Meet #Rwanda🇷🇼's minister of Sports in yellow jersey and her family coping with #coronavirus lockdown.

|@AuroreMimosa @Rwanda_Sports
|#GumaMurugo #StayAtHome
https://t.co/G7bqLZ9Mif"
2020-03-29 11:28:57+00:00,RW,Rwanda,790301365717331968,2016-10-23 21:18:23+00:00,ikazerwanda,Twitter for Android,False,1792,360,257,False,"Is there any easier way to escape uncertainty than feeding our mind with positive messages of hope &amp; faith?
_____
#THIS_TOO_SHALL_PASS_SOON
#stopcoronavírus #covid19 
#hope #faith #brightfuture 
#IKAZERWANDATOURS"
2020-03-29 09:43:06+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

At least 60 people have tested #Covid19 POSITIVE in
#Rwanda🇷🇼 but among them, no one is in bad conditions

Lets check inside the #coronavirus treatment facility in the outskirts of #Kigali🌄🌇

|@rbarwanda #StayAtHome  https://t.co/DR7dFYF6EG"
2020-03-29 16:53:44+00:00,RW,Rwanda,326109455,2011-06-29 11:44:30+00:00,EgidieBibio,Twitter for Android,False,10422,10947,474,False,"Oh nooooo😭
I think #coronavirus must teach the world that we are one. #italy U can do better

#StayAtHomeAndStaySafe https://t.co/GoPlDGlgrs"
2020-03-29 09:18:19+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#CoronavirusInRwanda

#Thread⤵️

How #Rwanda🇷🇼 has been fighting #coronavirus before and after recording its first Confirmed #COVID19 case.

#FactsOnRwanda👇🏽

《#Rwanda🇷🇼 is stepping up efforts to contain COVID-19 before recording its confirmed case》 https://t.co/Vy2Yu1zVTy"
2020-03-29 19:07:40+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2325,1985,0,False,"#FactsOnRwanda

In 2009 as the world was coping with Global Economic Crisis which experts compare to what #coronavirus pandemic aftermath could look like, 

This's what president @PaulKagame of #Rwanda🇷🇼 had to say about being a Friend to #America🇺🇸 &amp; doing business with #China🇨🇳 https://t.co/8x6Mfm33Dl"
2020-03-29 21:11:33+00:00,RW,Rwanda,347254730,2011-08-02 14:23:11+00:00,PKamasa,Twitter for iPhone,False,1669,7876,359,False,#COVID19 ten new cares @JadosNet1 https://t.co/S5hUmOOBAa
2020-03-29 09:50:07+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1932,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

In his first address to the nation since first #COVID19 case,

president @PaulKagame has promised rwandans &amp; residents that the Government is going to do everything possible to help them amid the nationwide #coronavirus #lockdown.

|#Rwanda🇷🇼 https://t.co/Px0WMIMn42"
2020-03-29 17:16:44+00:00,RW,Rwanda,422072690,2011-11-26 19:32:01+00:00,isatitou,Twitter for Android,False,12017,2850,2978,False,"I am trying to find accurate info on that, @VkneeM @MarieMaxime11 or @liraduku any of you know if the #Covid_19 can be transmitted through breastmilk? The CDC doesn't list breast milk as a body fluid but in light of the recent cases (even in #Rwanda) is that still the case? https://t.co/mFL2YoIYnf"
2020-03-29 21:14:57+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2320,1980,0,False,"#FactsOnRwanda
#CoronaVirusInRwanda

#COVID19 cases in #Rwanda🇷🇼 rise to 70 (29 Mar 2020)

The New 10 cases:

Travelers from:
• 6 #Dubai,#UAE🇦🇪
• 2 #SouthAfrica🇿🇦
• 1 #Nigeria🇳🇬
• 1 #EastAfrica🇧🇮🇷🇼🇹🇿🇰🇪🇸🇸🇺🇬
(all have been in isolation)

|@RwandaHealth #coronavirus
|#StayAtHome https://t.co/VzQXcJocNQ"
2020-03-29 11:55:07+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1930,0,False,"#FactsOnRwanda
#CoronavirusInRwanda

Bloomberg regrets publishing #FakeNews.

They have later corrected what trended on internet that Police in #Rwanda🇷🇼 has shot dead 2 men for defying #Lockdown measures

READ: https://t.co/sJXAnHAhVo

|@business @Rwandapolice #coronavirus #RwOT https://t.co/zqOf5SG0nZ"
2020-03-29 07:30:55+00:00,RW,Rwanda,899337326840754176,2017-08-20 18:28:22+00:00,RwandaToWorld,Twitter for Android,False,2314,1934,0,False,"#FactsOnRwanda
#CoronavirusInRwanda
#G20

#Rwanda🇷🇼 took part in the first ever #G20VirtualSummit

World leaders met via video conferencing from their respective countries to discuss #coronavirus aftermath &amp; coordinated efforts to fight its spread

|@IGIHE https://t.co/wMyT3DoquP"
2020-03-29 16:57:13+00:00,RW,Rwanda,422072690,2011-11-26 19:32:01+00:00,isatitou,Twitter for Android,False,12013,2846,2973,False,"@kagire A 17y was the youngest to die in the US and recently a 3-week-old baby was announced the youngest coronavirus patient 😥
I have been wondering if the Coronavirus can be transmitted through breastmilk. Haven't read about that yet. #Covid19 does not discriminate by age or race"
2020-03-29 08:34:00+00:00,RW,Rwanda,788856554657312769,2016-10-19 21:37:13+00:00,KayleMosha,Twitter for iPhone,False,2959,580,844,False,His Excellency @PaulKagame  is a milestone leader indeed . He brings the incapables to capabilities . I strongly affirm that . @RwandaGov  @RwandaHealth @PrimatureRwanda @RwandaLocalGov will try to sweep 🧹 away from his pandemic thing #Covid_19  #Stayhome #staysafe https://t.co/1LfeiPkF9H
