tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 17:30:43+00:00,LB,Lebanon,914885966,2012-10-30 15:32:49+00:00,LeGrayBeirut,Twitter for iPhone,False,3064,1188,817,False,"All the love❤️ and respect 🙌🏻 from us all on duty #atlegray or on lockdown at home to all the medics, doctors, nurses, volunteers, and all of you who are in the frontline against the #coronavirus fight. Thank you❤️ https://t.co/k1CDxCxiTY"
2020-03-29 18:42:46+00:00,LB,Lebanon,419883946,2011-11-23 22:30:40+00:00,pierrey2k,Twitter for Android,False,6184,46,90,False,"We always work for a better tomorrow, but when tomorrow comes, instead of enjoying it, we again think of a better tomorrow!!! 
Let's have a better today ⚘
#Covid_19
#the_one 
#think_positive"
2020-03-29 18:40:14+00:00,LB,Lebanon,1173120463356256257,2019-09-15 06:24:58+00:00,IDinBeirut,Twitter for iPhone,False,513,234,220,False,a new virus a pandemic isn’t time to move fast drop the dogma accept the facts and admit that we are operating in the dark. max caution. max protection. max energy #Covid_19 #facts #pandemic
2020-03-29 21:38:40+00:00,LB,Lebanon,1173120463356256257,2019-09-15 06:24:58+00:00,IDinBeirut,Twitter for iPhone,False,513,234,220,False,Not a laboratory warfare ... stop #ConspiracyTheory #drama this is a normal virus #Covid_19 https://t.co/jivQhNbszs
2020-03-29 11:03:41+00:00,LB,Lebanon,4205304493,2015-11-11 21:05:51+00:00,badoursa,Twitter for iPhone,False,998,109,210,False,"I’m sick of people complaining about staying home! It’s surely not easy, for most, and it’ll only get harder with time.. But think of the alternative and be thankful for the blessing you call home! #StayHome #COVID_19"
2020-03-29 15:47:35+00:00,LB,Lebanon,61041699,2009-07-28 22:42:26+00:00,_jokerwashere,Twitter for iPhone,False,151,1366,757,False,"Do NOT get rid of your pets out of fear they will transmit #Covid_19 to you or your family. They don't.
Keep your pets, they're safe, and they'll help you overcome the isolation caused by the lockdown and the quarantine, and pets are awesome. @RedCrossLebanon @WHOLebanon https://t.co/vuBOqvgxR8"
2020-03-29 02:58:54+00:00,LB,Lebanon,610024092,2012-06-16 12:16:25+00:00,AKAA1998,Twitter for iPhone,False,12595,346,635,False,Only positive thing amidst all this #PremierLeague #Covid_19 https://t.co/olHYc13lkw
2020-03-29 19:04:12+00:00,LB,Lebanon,95019178,2009-12-06 15:41:02+00:00,RamiShamma,Twitter for iPhone,False,1332,1445,1040,False,"The ultimate respect to all front-liners who are risking their lives to support persons affected with COVID-19. Know that your dedication, commitment, support and passion is well appreciated and thanked!
#LebaneseRedCross
#Doctors
#Nurses
#HealthWorkers
#COVID_19"
2020-03-29 23:05:46+00:00,LB,Lebanon,1223562549976801280,2020-02-01 11:04:02+00:00,MichelHayek12,Twitter for iPhone,False,292,114,384,False,"Rest in Peace Free Hugs 1996-2020
#CoronavirusUSA #CoronaUpdate #WhenCoronaVirusIsOver #Covid_19 https://t.co/8k0tMJQv2K"
2020-03-29 13:42:11+00:00,LB,Lebanon,100898267,2010-01-01 04:10:30+00:00,kareem_nasser,Twitter for Android,False,6968,744,735,False,"Let's dive in!

@OmarTamo19 @Mohdfaour89 @wael_atallah @dgheim @AzarsTweets 

Thank you @LbciLebanon we hope you keep the support ongoing!

#خليك_بالبيت #Lebanon #لبنان #Covid_19  #COVID19 #economy #Finance #Dollar https://t.co/1MPpaowpUU"
