tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 11:19:14+00:00,AT,"Vienna, Austria",134895559,2010-04-19 19:22:50+00:00,sirlancelot25,Twitter for iPad,False,383,103,195,False,In #covid19 Times its more than every important to have leaders not a boss in your team. As a 20 year veteran in the #homeoffice I know what I am talking about #stayhome #flattenthecurve Consult us for #transformyourbusiness because #peoplematters #poweredby #futurebuilt https://t.co/5u1xW0DUgp
2020-03-29 13:03:48+00:00,AT,"Vienna, Austria",1217175848417140744,2020-01-14 20:05:26+00:00,HacklOli,Twitter for iPhone,False,3,6,40,False,Current situation 😂 thanks @alexxbirdd #Covid_19 #COVID19 #CoDWarzone https://t.co/sZuUn1EFFT
2020-03-29 13:28:59+00:00,AT,"Graz, Austria",15620114,2008-07-27 13:57:38+00:00,Elouise1979,Twitter for Android,False,1793,152,265,False,"Austria, start testing more. this is not funny anymore. #COVID19"
2020-03-29 13:52:21+00:00,AT,"Vienna, Austria",974379740,2012-11-27 18:07:52+00:00,June26Jasmine,Twitter for iPhone,False,97164,935,1224,False,This is a short version .. I cried through .. we can do this together ..! Enjoy 😉.! #COVID19 luv peace n laughter https://t.co/zWkaehFmQR
2020-03-29 14:27:30+00:00,AT,"Klagenfurt am Wörthersee, Austria",336219960,2011-07-15 23:03:06+00:00,bettstetter,Twitter for iPhone,False,3868,2049,164,False,"The number of confirmed new COVID infections in Austria is now declining. Raw data from the Sozialministerium, 3 pm. Made moving average over four days for each bar. #sarscov2 #covid19de #covid19 https://t.co/leXaCN1JYl"
2020-03-29 16:00:24+00:00,AT,"Hallein, Österreich",3903079812,2015-10-15 13:32:23+00:00,meredithove,Twitter for iPhone,False,38687,821,2099,False,Let’s go to nightshift 4/4 ... follow the leader #nurse #nightshift #elderlycare #coronavirus #salzburg https://t.co/D4YpNO09Vn
2020-03-29 16:43:08+00:00,AT,"Graz, Austria",53195617,2009-07-02 21:35:24+00:00,jkonski,Twitter for iPad,False,2448,163,598,False,This is my home and my castle. No Virus will get me and my beloved ones. #Covid_19 #procreate #ProcreateCarePack #2 where I live https://t.co/cQFMQcfAsh
2020-03-29 20:09:39+00:00,AT,"Vienna, Austria",634592313,2012-07-13 11:48:56+00:00,RalphC92,Instagram,False,3335,312,585,False,▶️ What to do in #quarantine due to #COVID19? Find a #new #hobby like do #Dot-to-Dot #images of #landmarks in #Paris #France. #onedayatatime #pinoyig #panorama #europe #new2020 #photography #instamoment… https://t.co/QGcgPPhoFm
2020-03-29 08:07:33+00:00,AT,"Sankt Andrä, Österreich",155281220,2010-06-13 17:48:58+00:00,sanneweber,Twitter for iPhone,False,282950,4990,5475,False,"🇪🇺🎼United in Diversity.🎼🇪🇺
🇪🇺🎼United against Adversity.🎼🇪🇺 #myEurope #EU #EuropeanUnion #EuropeforCulture #Beethoven #OdetoJoy #stayhome #CreativeEuropeathome #covid19 https://t.co/S9Xz9Gce41"
2020-03-29 10:17:32+00:00,AT,"Vienna, Austria",36637021,2009-04-30 10:53:40+00:00,AAMills,Twitter for Android,False,11610,2634,4002,False,"One day, when this is all over, I shall go to Kansas City.

You?

#COVID19"
2020-03-29 14:54:32+00:00,AT,"Vienna, Austria",24547123,2009-03-15 16:40:45+00:00,deadbeathero,Instagram,False,114,526,887,False,"“Stay Positive.” 

•••

Things might suck now but it will get better: just remember we are all going though this together.

•••

#deadbeathero #deadbeatheroart #austrianaut #staypositive #coronastreetart #covid19… https://t.co/7nr6O4ZXMn"
2020-03-29 16:09:13+00:00,AT,"Vienna, Austria",18530585,2009-01-01 16:40:09+00:00,thomasseifert,Twitter for iPad,False,9751,5364,3795,False,"Fauci Says 200,000 Deaths in the U.S. Are Possible: Virus Update #covid19US #covid19 #SARSCoV2  https://t.co/uqIH34kUHt"
2020-03-29 05:48:46+00:00,AT,"Vienna, Austria",1880621851,2013-09-18 19:24:13+00:00,RupertRoniger,Twitter for Android,False,513,789,405,False,"#UK #Senegal partnership to trial 10-minute Pocket-sized
 #coronavirus test: potential lifesaver for poorer countries battling to contain pandemic
@AfricaCDC @WHOAFRO @DFID_HealthRes @USAIDGH @infdisease_news @PIH @MSF @Oxfam @ICRC
@FT
https://t.co/quQFUKbsP0"
2020-03-29 02:21:20+00:00,AT,"Vienna, Austria",974379740,2012-11-27 18:07:52+00:00,June26Jasmine,Twitter for iPhone,False,96862,935,1223,False,Like in Austria 🇦🇹.. and other #neoliberals Countries..! Not enough Testing .. no Quarantine no protection clothing 4 Doctors and Nurses ..!  #COVID19 https://t.co/9Jq78mEZEf
2020-03-30 10:49:06+00:00,AT,"Vienna, Austria",1052646812874625024,2018-10-17 19:45:32+00:00,NotAMooPoint,Twitter for Android,False,11465,104,185,False,"Austria has made use of masks at supermarkets mandatory. And have strongly instructed to not touch anything. Anything one touches, one must buy.

#coronavirus #Covid_19 #StayAtHomeAndStaySafe https://t.co/WAPVBtUtvF"
