tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 15:38:33+00:00,CI,Ivory Coast,71482677,2009-09-04 07:44:45+00:00,LdeBassompierre,Twitter for iPhone,False,8388,2224,2650,False,A sixth cabinet minister in #BurkinaFaso has tested positive for #COVID19 https://t.co/GCIl8kMuL4
2020-03-29 07:15:49+00:00,CI,Ivory Coast,1173064544,2013-02-12 20:55:32+00:00,SUVCW,Twitter for iPhone,False,1091,584,916,False,#SUVCW General Order 21 issued on 03.28.2020 provides Departments and Camps with guidance on conducting meetings and other events electronically in light of #Covid_19. Keep safe and healthy! https://t.co/2iKDdvOfdt
2020-03-29 10:34:51+00:00,CI,Ivory Coast,101528233,2010-01-03 17:26:31+00:00,Suma2000,Twitter for iPhone,False,849,540,125,False,Beautiful! Smashing! #Isolating #coronavirus #COVID19 #StayAtHomeAndStaySafe https://t.co/5WU9SOSfzn
2020-03-30 20:26:37+00:00,CI,Grand Marche Bouafle,1238943908240994305,2020-03-14 21:44:01+00:00,SyllaMo23002943,Twitter for Android,False,18,0,14,False,#COVID19 Stop 🤧 https://t.co/0kz9rVitn9
2020-03-30 15:26:37+00:00,CI,Ivory Coast,716702380956450818,2016-04-03 19:02:18+00:00,NitzanArny,Twitter for Android,True,3464,9711,368,False,"The #coronavirus outbreak has led to a massive shortage of face masks. Many tailors around the world are taking initiative and help out by providing masks to their family, friends &amp; communities https://t.co/Uhxx7YMIJS"
2020-03-30 10:29:19+00:00,CI,Ivory Coast,1605608330,2013-07-19 10:17:45+00:00,AlphonsoVM,Twitter for iPhone,True,3838,1630,468,False,"In #Abidjan, #cotedivoire, health workers are braving the heat to walk the streets, handing out pamphlets and using a bullhorn 📢 to encourage hand-washing with soap 🧼 and alcohol-based sanitizer. Part of the fight to stop #COVID19 in #Africa. #coronavirus. #StayAtHome https://t.co/WcRIp8Ks0g"
2020-03-30 07:37:08+00:00,CI,Ivory Coast,25422870,2009-03-20 00:43:15+00:00,KayvonSteezie,Twitter for iPhone,False,12720,20733,2469,False,Y’all ain’t worried about Monday’s anymore doe! I told y’all #COVID19 had it’s benefits 😏
2020-03-30 15:26:58+00:00,CI,Ivory Coast,716702380956450818,2016-04-03 19:02:18+00:00,NitzanArny,Twitter for Android,True,3464,9711,368,False,"* It is important to note that these masks offer less protection compared to surgical masks, but they are still better than nothing when it comes to preventing the spread of the #coronavirus"
2020-03-30 20:32:22+00:00,CI,Ivory Coast,505132784,2012-02-26 23:37:15+00:00,OdjoBella,Twitter for iPhone,False,509,167,214,False,Wonderful and inspiring #staysafe #SocialDistancing #COVID19 https://t.co/6iLWKzulYh
2020-03-30 08:43:48+00:00,CI,Ivory Coast,895344872,2012-10-21 13:17:14+00:00,batdes,Twitter for Android,False,1312,108,307,False,"I've always appreciate you.I appreciate you more.Thank you to all #HealthcareHeroes  who are in front line  fighting everyday, fearless and invisible ennemies. You always stand by our side
We appreciate you,We owe you everything.🙏🏽 #strenghenhealthsytems #WashYourHands #Covid_19 https://t.co/Y3R9OT3d7o"
2020-03-31 12:36:34+00:00,CI,Ivory Coast,979997354630811648,2018-03-31 08:22:31+00:00,fabiola_nguembu,Twitter for iPhone,False,1447,208,704,False,"Unfortunately it’s #COVID19 which show finance companies the importance of being innovative, relevant. The need to match the offers with the new habits of consumption. Mobile is the new King. Let’s educate our population with this new power we have in our hand. https://t.co/gNaWBihWDw"
2020-04-01 15:20:09+00:00,CI,Ivory Coast,402254239,2011-10-31 19:48:54+00:00,Murphy072,Twitter for Android,False,371,949,1038,False,"@Al_Addy1 @Geraldcake @SkySportsNaws @LFC @ChampionsLeague Denying the back to back @ChampionsLeague, scoring 3 goals in extra time. Now you're left with FA cup and the league title before my great club @ChelseaFC send you packing in the FA cup but that is not funny b4 #Covid_19 rub you off the EPL title 🤣 
This hard time will pass boys"
2020-04-01 17:04:27+00:00,CI,Ivory Coast,1605608330,2013-07-19 10:17:45+00:00,AlphonsoVM,Twitter for iPhone,True,3844,1632,468,False,".@NYGovCuomo is giving us all the feels when praising his brother @ChrisCuomo for anchoring his #CNN program from the basement of his home, despite testing positive for #coronavirus earlier that day. “Pop would be proud.”
And Gov’s #PowerPoint skills: ⭐️⭐️⭐️⭐️⭐️ https://t.co/f4uOx2POS2"
