tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 05:56:46+00:00,IE,"Dublin City, Ireland",2732289465,2014-08-03 09:34:50+00:00,tonyduffin,Twitter for iPhone,False,8569,5813,5813,False,"“We’re mindful that they have complex mental health needs. We’re communicating what’s important for them and what we can do to help them…and trying to prevent them getting it in the first place.”
#Covid_19 #Homeless #Dublin  
https://t.co/QoB1Eoofhk"
2020-03-29 16:39:05+00:00,IE,"Clare, Ireland",716641274,2012-07-25 19:43:05+00:00,ni_shuill,Twitter for iPhone,False,13269,670,997,False,Does anyone else find themselves watching films/programmes with a #Covid_19 mindset asking themselves ‘why aren’t they following #PhysicalDistancing advice?’ ‘Why are they not 2 m apart in the pub?’ etc 🤔😂
2020-03-29 13:54:12+00:00,IE,"South Dublin, Ireland",52175657,2009-06-29 20:20:44+00:00,orlaithblaney,Twitter for iPhone,False,10960,5734,6301,False,"If this cracking pea soup recipe from @clodaghmckenna helped along by @LoveTinaTurner doesn’t lift your spirits on a #COVID19 #lockin Sunday,  nothing will. Such good fun and thanks so much for sharing #SundayMotivation 

https://t.co/C0yDzyGeBe https://t.co/NhFGkF0TUJ"
2020-03-29 16:31:12+00:00,IE,"Carlow, Ireland",227341053,2010-12-16 15:49:46+00:00,gaelicescargot,Twitter for iPhone,False,9459,2778,1559,False,Taking advantage of #COVID19 https://t.co/vQ3P2OLk0N
2020-03-29 11:30:31+00:00,IE,"West Meath, Ireland",22028726,2009-02-26 16:34:18+00:00,ExpertIreland,Twitter for Android,False,1016,1968,189,False,"Services and we will help you as best we can.
Stay safe everyone and we look forward to welcoming you and our dedicated Expert staff back in to our stores very soon.
Thank you for your continued support. 
#Expert #Covid19 #ExpertElectrical #StaySafe #WereAllInThisTogether"
2020-03-29 10:15:58+00:00,IE,"Fingal, Ireland",3369428098,2015-07-10 15:36:17+00:00,AriffShihab,Twitter for Android,False,44802,3043,1023,False,We see not only a threat to our health but a massive endorsement for dictatorships and brutal suppression of people. It's extremely dangerous and must be confronted like we do for #COVID19!
2020-03-29 11:32:08+00:00,IE,"Dublin City, Ireland",602910095,2012-06-08 17:05:08+00:00,DazAltTheory,Twitter for Android,False,3336,1010,5001,False,"@OperationGCD The Republic of Ireland goes full Chinese Communist Party due to the #CoronaVirus...!!!

#Covid_19 #CoronaUpdate #CoV2019 #SARS_CoV2 #SARSCoV2 #CoronaVirusIreland #ChinaLiedPeopleDied #Wuhan #China https://t.co/1IK4YZNwRK"
2020-03-29 20:02:44+00:00,IE,"Dublin City, Ireland",14775534,2008-05-14 17:11:14+00:00,adrianshanahan,Twitter for Android,False,20610,1687,403,False,"This #COVID19 lock down will be the death of me.

Imagine being one of those mad heads who stockpiled beans, pasta and tinned tomatoes. https://t.co/SUtub5BaBI"
2020-03-29 22:41:45+00:00,IE,"Dun Laoghaire-Rathdown, Ireland",268887682,2011-03-19 17:35:45+00:00,ppwone,Twitter for Android,False,5817,2827,2775,False,Prof Jeffrey Sachs calls for an EU wide bond  to fund the war against #coronavirus #Covid_19 @Aidan_Regan https://t.co/2j98zvctI3
2020-03-29 19:08:43+00:00,IE,"Galway, Ireland",702188595,2013-10-05 18:27:20+00:00,DrGilsenan,Twitter for iPhone,False,3079,511,527,False,@cherish_finden Me too! A little treat for one of my elderly neighbours! #Covid_19 #Neighbours #LookAfterEachOther https://t.co/CcmfCZqFKb
