tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 09:46:01+00:00,PG,Papua New Guinea,78855755,2009-10-01 09:25:40+00:00,ckageha,Instagram,False,8720,2090,1681,False,"Let's talk, what's your new normal going to look like after #coronavirus season. @ Wewak https://t.co/3SMhkKQgTD"
2020-03-30 01:21:31+00:00,PG,Papua New Guinea,883874053190066177,2017-07-09 02:22:50+00:00,TI_PNG,Twitter for iPhone,False,1802,1660,503,False,"The #PNG Government must learn from past mistakes and ensure that there is proper independent oversight of the funding provided for the #COVID19 state of emergency and also a mechanism to receive any complaints from whistle-blowers.

MEDIA STATEMENT:

https://t.co/eK2DUfMYAz"
2020-03-30 15:57:33+00:00,PG,Papua New Guinea,1155505584776589312,2019-07-28 15:49:34+00:00,Hoodplugcomedy0,Instagram,False,59,135,1878,False,This #coronavirusoutbreak⚠️ got everyone in a mood!cloutsimp  siimplone @ All Over the World https://t.co/3SP5yXUAxW
2020-03-30 19:05:48+00:00,PG,Papua New Guinea,15801661,2008-08-10 21:42:15+00:00,milofellay,Instagram,False,605,471,1396,False,La vacuna somos todos #coronavirus #covid19 #coronavirusargentina #cuarentena #stayathome #yomequedoencasa en All Over the World https://t.co/KcRoToBnr6
2020-03-30 06:16:37+00:00,PG,Papua New Guinea,883874053190066177,2017-07-09 02:22:50+00:00,TI_PNG,Twitter for iPhone,False,1802,1660,503,False,"Thread of #PNG #COVID19 documents:

• Gazettal of State of Emergency (SOE) No. G200 26/03/20

• Gazettal of reconvening of National Parliament at 2pm on 02/04/20 https://t.co/3bJPXE2ZYY"
2020-03-31 15:55:51+00:00,PG,Papua New Guinea,64908631,2009-08-12 02:30:52+00:00,Robin4ascii,Instagram,False,511,125,557,False,#COVID19 infographics @ All Over the World https://t.co/sVS58hA1g3
2020-03-31 02:08:30+00:00,PG,Papua New Guinea,1555124851,2013-06-29 08:00:10+00:00,tongamp_g,Twitter for Android,False,24158,1555,3195,False,"Double threat in 🇵🇬
#coronavirus
#swineflu"
2020-03-31 16:13:54+00:00,PG,Papua New Guinea,64908631,2009-08-12 02:30:52+00:00,Robin4ascii,Instagram,False,511,125,557,False,"#COVID19 maps &amp; charts March 30, 2020 @ All Over the World https://t.co/SOcT5Q6X1B"
2020-03-31 06:32:36+00:00,PG,Papua New Guinea,65005063,2009-08-12 11:00:05+00:00,itskyale,Twitter for iPhone,False,931,697,1881,False,Help save #HealthCareWorkers #COVID19 https://t.co/0tJd3Wb6QO
2020-04-01 11:43:29+00:00,PG,Papua New Guinea,380479924,2011-09-26 18:30:18+00:00,obitalks,Instagram,False,14576,2064,3362,False,"It’s show time!!!!

You ain’t ready for this!

who @UN 

#flattenthecurve #stayhome #washyourhands #staysafe #covid19 #coronavirus #covid19awareness #april1 #april #newmonth #party #partyindoors @ All Over the World https://t.co/oq8smSq7xK"
