tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 20:56:05+00:00,UA,Ukraine,1244362427459866627,2020-03-29 20:35:03+00:00,PrachiTawde98,Twitter for iPhone,False,1,13,27,False,@vijayrupanibjp @MoHFW_INDIA There are many more students here anting to reach home asap #COVID19INDIANSINUKRAINE #COVID19
2020-03-29 11:48:38+00:00,UA,Ukraine,2611886066,2014-07-08 15:48:03+00:00,UKinUkraine,Twitter for Android,True,617,9649,407,False,"In time of #Covid19 crisis the public broadcaster plays an important role in providing quick, accurate and objective information to society. 🇬🇧 🇪🇺 🇩🇪 🇯🇵 🇸🇪 🇺🇸 reiterate our support to Suspilne &amp; call on the stakeholders to ensure it is sustainably financed to fulfil this mission"
2020-03-29 21:41:12+00:00,UA,Ukraine,1038352233593692160,2018-09-08 09:03:58+00:00,sumit_kushawaha,Twitter for Android,False,36,11,52,False,"Dear sir,@narendramodi @PMOIndia @DrSJaishankar @indianukraine #Covid_19 @amitshah #COVID19INDIANSINUKRAINE
A city in Ukraine named ""chernivtsi"" is worsely affected by the Covid19 cases.There are around 1900 students are studying in that city and want to come to India..Thank you"
2020-03-29 15:51:06+00:00,UA,Ukraine,1091409575343992832,2019-02-01 18:54:54+00:00,mrsorokaa,Twitter for iPhone,False,323,333,248,False,"#Ukraine’s unemployment rate rose by 50% says Gennadiy Chyzhykov, head of Ukrainian Chamber of Commerce. Chyzhykov says 3.5 million Ukrainians work unofficially, while nearly 700,000 lost jobs due to #COVID19. If true, the unemployment rate goes beyond 10%.https://t.co/yU778F1TYl"
2020-03-29 04:43:50+00:00,UA,Ukraine,2414658822,2014-03-27 17:10:35+00:00,hvrenja,Twitter for Android,False,104055,13129,9668,False,"#coronavirus #quarantine #underground beneath Maidan in #Kyiv #Ukraine. #pataphysique #pataphysics  #abstract #digitalart  #contemporaryart #modernart #contemporary #grafic #grafique #conceptart #concept #conceptual #visualart #conceptartwork
https://t.co/au9VjAkt65"
2020-03-30 03:38:55+00:00,UA,Ukraine,2986144325,2015-01-19 18:24:42+00:00,denysenko599,Twitter for iPhone,False,246,5,79,False,"*difference in couple months*
2019: people are trying to hide drugs from police
2020: people are trying to hide doing sport from police 
#coronavirus"
2020-03-30 21:09:47+00:00,UA,Ukraine,903504056475410432,2017-09-01 06:25:28+00:00,DabdoubMohammad,Twitter for iPhone,False,172,18,41,False,"So this is what happen, this is what the lung becomes, by the artiest corona virus 🦠 
#coronavirus #Coronavirustruth https://t.co/ti8Hp84vuy"
2020-03-30 11:10:15+00:00,UA,Ukraine,1241898213063495680,2020-03-23 01:23:13+00:00,MohammedFarazK7,Twitter for Android,False,20,2,62,False,"Keep acquiring knowledge urself.
Books are the best friends of a human. Explore them , spend time with them. Get the concept &amp;
Keep practising; keep failing.
Failure is required to be successful.
#MotivationalQuotes #medtwitter #Covid_19 #коронавирус #Doctors #success https://t.co/JMWD5dtdUF"
2020-03-31 11:36:06+00:00,UA,Ukraine,1242550870107213824,2020-03-24 20:37:06+00:00,KRISHANSINGHTH5,Twitter for iPhone,False,2,2,114,False,"I am M.B.B.S. student of BSMU,Chernivtsi.There are more than 475 cases of #Covid_19 in #Ukraine and  around 90 cases in #chernivtsi More than 1500  Indian student stuck here.Sir we want to come back to India before condition get worse here. Please evacuate us as soon as possible"
2020-03-31 17:47:22+00:00,UA,Ukraine,1242550870107213824,2020-03-24 20:37:06+00:00,KRISHANSINGHTH5,Twitter for iPhone,False,3,3,118,False,"I am M.B.B.S.student of BSMU,Chernivtsi.There are more than 475 cases of #Covid_19 in #Ukraine and  around 90 cases in #chernivtsi More than 1500  Indian student stuck here.Please evacuate us as soon as possible @rashtrapatibhvn @ianuragthakur @IndiainUkraine @MEAIndia @PMOIndia"
