tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 14:56:55+00:00,BD,"Dhaka, Bangladesh",720096440,2012-07-27 12:47:29+00:00,MFazlaRabbe,Twitter for Android,False,1502,159,127,False,So proud to get my certificate for COVID-19 on @FutureLearn: https://t.co/DembKdBYM2 #COVID19 https://t.co/GmGtgLJDVO
2020-03-29 07:10:51+00:00,BD,"Dhaka, Bangladesh",617701487,2012-06-25 02:48:20+00:00,friendship_ngo,Twitter for Android,False,430,7925,72,False,"People with these pre-existing conditions are especially susceptible to Covid-19. Please take extra precautions to avoid infection if you have these, or cohabitate with someone who does. 

Stay home, stay safe, wash your hands thoroughly and often
@WHO #covıd19 #friendshipngo https://t.co/8krdPqCOXp"
2020-03-29 04:55:15+00:00,BD,"Dhaka, Bangladesh",2855643918,2014-10-14 15:08:57+00:00,AZIZ__AMIRUL,Twitter for Android,False,28971,1030,297,False,"Walking Home From Delhi For Over 200 km, Delivery Agent Dies On Highway -NDTV https://t.co/HtZbc75YVm #KejriwalFailedDelhi #Delhi #MigrantsOnTheRoad #LockdownQuestions #Kejriwal_Is_A_Sanke #coronavirusindia #CoronavirusLockdown #COVID2019india #COVID2019 #COVID19 #COVID19outbreak"
2020-03-29 23:17:51+00:00,BD,"Dhaka, Bangladesh",293715722,2011-05-05 21:01:53+00:00,BeingFarhad,Twitter for Android,False,134817,58305,22976,False,"The huge decline in road traffic, air travel and other business activities across Europe during the #coronavirus pandemic has led to sharp reductions in #AirPollution over several major cities, new images published by the European Space Agency show. https://t.co/cOAFpJcpuU"
2020-03-29 10:45:12+00:00,BD,"Dhaka, Bangladesh",2414478252,2014-03-27 14:45:33+00:00,shadman_bs,Twitter for Android,False,6215,107,215,False,"Great great and great for all indians. 
#covid19 #grateful #CoronavirusOutbreak 
Need some in Bangladesh. 
#bravebangla #coronavirusbangladesh https://t.co/0kl3bmsfvg"
2020-03-29 10:02:42+00:00,BD,"Chittagong, Bangladesh",406833740,2011-11-07 08:00:13+00:00,RihamIsOn,Twitter for Android,False,445,62,503,False,"Hospitals which are ready for the treatment of #COVID2019 patients in the capital. 🇧🇩🇧🇩
#Bangladesh #বাংলাদেশ 
#Dhaka #CoronavirusOutbreak https://t.co/wEktXME5N2"
2020-03-29 11:48:23+00:00,BD,"Dhaka, Bangladesh",29316356,2009-04-06 22:52:42+00:00,Shahreen_TinNi,Instagram,False,12656,1069,973,False,"#MeAndMyUncannilyRepeatingLife #stayinghome to fight #coronavirusoutbreak⚠️  #stayhome #staysafe..... #meanwhile, right #outside of my #home, people are engaging in #focusgroupdiscussion on the situation standing… https://t.co/4m78ipZXxk"
2020-03-29 06:29:16+00:00,BD,"Dhaka, Bangladesh",3017140628,2015-02-12 08:16:19+00:00,ThisIsKader,Twitter for Android,False,158,58,119,False,"No new cases of the novel #coronavirus have been detected in the last 24 hours in #Bangladesh,

#IEDCR #CoronavirusOutbreak https://t.co/QUUFyFkvyp"
2020-03-29 11:14:22+00:00,BD,"Dhaka, Bangladesh",3141289350,2015-04-06 07:01:59+00:00,robin_SA0426,Twitter for Android,False,5969,77,183,False,"I think the #Bangladeshi people are not getting the proper test against #Covid_19. But officials in charge say that the number of coronary patients in the country only 48th. It is sad to say that it is not properly tested.
Please don't play with us.
Save Bangladesh
#who @WHO"
2020-03-29 07:37:58+00:00,BD,"Chittagong, Bangladesh",3321913202,2015-08-21 03:14:09+00:00,MahmudrShahin,Twitter for Android,False,26052,23443,96,False,"#StayAtHomeAndStaySafe 
#WashYourHands #KeepPraying 🙏
May Almighty Allah please forgive us. 
#BDTwitterUser #Covid_19 #Bangladesh https://t.co/LgdHHqsH8H"
