tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 19:59:29+00:00,GM,Gambia,296983126,2011-05-11 18:39:03+00:00,jukaliond,Twitter for iPhone,False,34901,4409,1994,False,@DrKebsun Yet there are still no contact cases. Makes me wonder if it is the same #Covid19 everywhere else.
2020-03-29 14:24:19+00:00,GM,Gambia,172776265,2010-07-30 15:44:19+00:00,modoubah,Twitter for Android,False,71313,3214,3957,False,"@MaslamSanneh We kicking #COVID19 out.... 

It has changed everything but we gonna win this battle 💪"
2020-03-29 11:41:01+00:00,GM,Gambia,1016723971545489408,2018-07-10 16:40:59+00:00,DrIsmailBadjie,Twitter for iPhone,False,206,1070,485,False,"👏🏾👏🏾👏🏾. 

God bless all the scientists and medical staff that have been diligently working for months now on the #COVID19 response. https://t.co/h4obeniEWe"
2020-03-29 22:59:37+00:00,GM,Gambia,138093389,2010-04-28 16:10:25+00:00,ALHAGIEMANKA,Twitter for iPhone,False,12907,3822,4184,False,@yuvaabdoulie @kemo_bojang @DrKebsun Yuva one thing I can assure you is that government of the #Gambia will never hide numbers of positive #Covid_19 cases we have neither will @mrcunitgambia that does the testing do so.
2020-03-29 20:03:27+00:00,GM,Gambia,2591257452,2014-06-27 12:12:12+00:00,GamChamber,Twitter for Android,False,3532,2941,852,False,"Together we support the #Gambia  fight against #Covid_19. Join us on Tuesday for our next telethon live on all TV stations in the #Gambia 

@emjobe @PresidentGCCI @CeoGcci @QTV_Gambia @DrKebsun @DrIsmailBadjie @QTV_Gambia @bajara10 @berangillen @lmtunkara @MohGambia @mayorKMC https://t.co/LXHyvNbuw4"
2020-03-29 02:10:25+00:00,GM,Gambia,800154150,2012-09-03 10:54:04+00:00,AlhasanBah,Twitter for Android,False,3966,259,518,False,On street awareness campaign on #Covid_19 in the streets of Soma. https://t.co/dmP2LJXrOM
2020-03-30 12:59:19+00:00,GM,Gambia,381580835,2011-09-28 15:40:22+00:00,ActivistaGambia,Twitter for iPhone,False,1373,1973,776,False,The fight against #Covid_19 continues. Kudos @GambiaNYC . #CoronaFreeGqmbia https://t.co/h5spyYppH7
2020-03-30 17:01:23+00:00,GM,Gambia,1033862796566507521,2018-08-26 23:44:33+00:00,NdeyFatouNjie1,Twitter for iPhone,False,1284,1219,2141,False,I’m tired 😓 #Covid_19 🇬🇲
2020-03-30 10:51:31+00:00,GM,Gambia,199069993,2010-10-05 23:35:34+00:00,AlhassanKanteh,Instagram,False,6826,1032,1362,False,"Peace and blessings to all the health care workers helping to knock this beast out.
Pls don't forget to wash your hands at all times. ✌🏽 ❤️ 
#covid_19 @ Serekunda https://t.co/sHqSs3TP4O"
2020-03-31 20:44:43+00:00,GM,Gambia,16275134,2008-09-13 19:29:18+00:00,bsanyangMD,Twitter for iPhone,False,2906,730,678,False,Let’s do some exponential mathematics. Each pt with #COVID19 is generally expected to spread it to 2 to 3 other people. Gambia currently has 4 cases - in the absence of social distancing and other measures to flatten the curve...
2020-03-31 01:31:07+00:00,GM,Gambia,735700087469264897,2016-05-26 05:12:24+00:00,TIGAGambia,Twitter for iPhone,False,4098,2523,2057,False,"No matter where you’re from or the language you speak, the message is clear and consistent. Stay safe and let’s win this war against #Covid_19 Below is a message from  Founder of Tiga in English #Tiga #Covid_19 🇬🇲 https://t.co/saCCXnAt0s"
2020-03-31 12:36:43+00:00,GM,Gambia,854728050684067840,2017-04-19 16:07:02+00:00,yepgambia,Twitter for iPhone,False,1994,4980,1711,False,"🔷Stay home

🔶Play safe

🔷 Practice social distancing 

Protect yourself from #COVID19 and others around you. 

Always remember to spread the message and not the virus.

Also @ITC_Gambia #SheTrades has a major 🤗 announcement for women entrepreneurs. ⤵️

https://t.co/ojPINDmqIv https://t.co/xsgvwHRtoq"
2020-03-31 13:56:07+00:00,GM,Gambia,2591257452,2014-06-27 12:12:12+00:00,GamChamber,Twitter for Android,False,3532,2946,852,False,"Have you been wondering how to pledge on our telethon Businesses against #Covid_19, with your #Qcell #SunuKalpeh you can now donate to our account. Just follow the steps below to pledge. Join us tonight live on all TV &amp; Radio stations for our third telethon at 20:30 GMT 
@emjobe https://t.co/1oHlvx6avE"
2020-03-31 18:01:48+00:00,GM,Gambia,780865238123982848,2016-09-27 20:22:35+00:00,iamjizzle_,Twitter for iPhone,False,5809,5769,356,False,Tomorrow I’ll be dropping these off at some health centers ...We can only fight this together ❤️ thanks to my team and Management #covıd19 #gambia #staysafe #stayhealthy #washyourhands #Jizzlekingdomfoundation https://t.co/0NtmxIRAK4
