tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 16:40:59+00:00,CL,"Puerto Montt, Chile",97454977,2009-12-17 14:39:12+00:00,Pininox,Twitter for Android,False,5623,2001,2034,False,Resumen #coronavirus https://t.co/EihYXTiJVi
2020-03-29 21:13:39+00:00,CL,"Las Condes, Chile",31582138,2009-04-16 00:57:18+00:00,danielajh,Instagram,False,2501,482,687,False,"Day 14: Lunch at restaurant Le Home #quedateencasa #covid19 #toddler #stayhome @ Las Condes, Chile https://t.co/eKTgbxatJa"
2020-03-29 23:34:27+00:00,CL,"La Reina, Chile",882758377587265536,2017-07-06 00:29:32+00:00,CEMontoyaMoya,Twitter for Android,False,265,11,102,False,"Finishing final design details for #3Dprinting facial helmet for #Covid_19 , according to nurses specifications for massive production. https://t.co/3VMotARP2p"
2020-03-29 22:00:25+00:00,CL,"La Granja, Chile",108797190,2010-01-27 02:07:30+00:00,OurIsTheFury1,Twitter for iPhone,False,3115,1268,1361,False,@fumito_ueda thank you very much for do the shadow of the colossus remaster in PS4 I enjoyed a lot this days. #Covid_19
2020-03-29 07:39:07+00:00,CL,"Las Condes, Chile",2525536794,2014-05-26 17:59:57+00:00,Lampasvlad,Twitter for Android,False,181778,5875,6445,False,@nizmycuba Chile has two problems: #coronavirus &amp; want to be Cuba.
2020-03-29 17:27:03+00:00,CL,"Las Condes, Chile",14708023,2008-05-09 01:06:26+00:00,carson_leph,Twitter for iPhone,False,26766,931,2766,False,"Vintage Ad of the day!

#CODVID19 #Coronavirus #QuedateEnCasa https://t.co/brpsSH9kDz"
2020-03-30 12:52:44+00:00,CL,"Las Condes, Chile",2525536794,2014-05-26 17:59:57+00:00,Lampasvlad,Twitter for Android,False,182091,5879,6448,False,"Chile: God our Father, our strength
in adversity, our health in #Covid_19 
our comfort in sorrow, be merciful
to your people. As you have given
us the punishment we deserve,
give us also new life and hope as
we rest in your kindness. We ask
this through our Lord Jesus Christ. https://t.co/6eLuObz6tW"
2020-03-30 02:06:57+00:00,CL,New York City,83761521,2009-10-20 03:42:51+00:00,cokesilvaa,Twitter for iPhone,False,163,300,110,False,@MariahCarey “Im gonna to put my gloves on even in my own home”   #coronavirus #COVID19 #lambs #lambily #lamb4ever #nyc #mariahcarey #mimi https://t.co/Fki51OwAz2
2020-03-30 13:42:25+00:00,CL,"Cerro Navia, Chile",1241434581884186631,2020-03-21 18:40:52+00:00,BlackBullBiker1,Twitter for Android,False,488,153,331,False,"@SuperDeSalud @jmanalich Grande doctor chapatin!!!

#Covid_19 #coronavirus #mañalich https://t.co/yFxJfbbVdF"
2020-03-30 01:56:14+00:00,CL,"Recoleta, Chile",825739474789351424,2017-01-29 16:16:47+00:00,chile_digi,Twitter for iPhone,False,2062,96,461,False,Chilean bus company Turbus suspends service indefinitely as world grapples with #Coronavirus. https://t.co/TGJgk4u3D8
2020-03-30 11:12:11+00:00,CL,"Viña del Mar, Chile",54228009,2009-07-06 15:04:41+00:00,ToddTemkin,Twitter for iPhone,False,29222,15165,11580,False,"Media: “President”’Trump can not be shamed or fact-checked out of office. (2016?) He can only be ignored out of office. Treat him only as the sad, irrelevant provocateur that he is. The federal government works better without him. #BoycottTrumpPressConferences. #Covid_19"
