tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2020-03-29 02:04:34+00:00,JP,"Chiyoda-ku, Tokyo",317291424,2011-06-14 18:28:01+00:00,RamyInocencio,Twitter for iPhone,True,8960,26471,2734,False,"This makes me smile. So sharing wider. So good! 🙌 ❤️ 💪 

#reasontosmile #coronavirus https://t.co/BDRTGqfHFO"
2020-03-29 04:27:47+00:00,JP,"Matsudo-shi, Chiba",199602730,2010-10-07 08:47:14+00:00,chan_saku,Twitter for Android,False,321,47,227,False,"i hate this fucking situation.
kill covid-19.
pray for world.

#Covid_19 
#StayAtHomeAndStaySafe"
2020-03-29 11:21:50+00:00,JP,"Osaka City Nishinari Ward, Osaka",1185513491077226496,2019-10-19 11:10:25+00:00,TaiyoSirajDavis,Twitter for Android,False,457,46,409,False,"The #Coronavirus #covid19 media campaign is redolent of the war against #iraq. I immediately demurred at its commencement.

My conscience and principles are a tightly held nosegay of ambrosia of comfort, rather the comfort of majority ignorance. 

My enemy is future human https://t.co/yhz65ttTsQ"
2020-03-29 05:10:32+00:00,JP,"Chiyoda-ku, Tokyo",317291424,2011-06-14 18:28:01+00:00,RamyInocencio,Twitter for iPhone,True,8958,26466,2734,False,"Beautiful. 
Snow on sakura. 
Sunday in Tokyo.
Our #coronavirus stay-at-home weekend. ❄️🌸 https://t.co/gOWJAFAa4g"
2020-03-29 07:00:10+00:00,JP,"Nagoya City Naka Ward, Aichi",18933955,2009-01-13 09:37:41+00:00,stephengosden,Twitter for Android,False,15741,267,510,False,"I'm reading “The Plague” by Albert Camus.
What else would I be reading at a time like this, after all?
Oh yes, I'm also reading Laurie Garrett's “The Coming Plague” 🙄
#Covid_19
https://t.co/lqTX88bMSk https://t.co/bor9DrJn9z"
2020-03-29 07:05:44+00:00,JP,"Higashikurume-shi, Tokyo",3237889874,2015-06-06 12:57:00+00:00,renpa2015,Twitter for iPhone,False,3501,443,901,False,"#CoronavirusOutbreak 
new confirmed case 
#WHO  3/28 situation report
Spain 7871
Germany 6294
Italy 5959
France 3756
U.K 2885
Portugal 724
Switzerland 1390
Austria 668
Sweden 240
Norway 425
Denmark 169
Finland 67
#COVIDー19
https://t.co/ji9UVFDUyN"
2020-03-29 08:22:22+00:00,JP,"Minato-ku, Tokyo",287175750,2011-04-24 13:24:14+00:00,mazzy0108,Twitter for Android,False,63851,6133,6752,False,First time in 32 years to have snow in the end of March plus there might have been a chance to see the collaboration of cherry blossoms and snow but not now though... #weather #Japan #StayAtHome #coronavirus #COVID19 #SundayThoughts #March2020 https://t.co/FzvMC6xJha
2020-03-29 00:15:27+00:00,JP,"Chuo-ku, Tokyo",219674040,2010-11-25 14:58:34+00:00,TeGustaGustavo,Instagram,False,519,503,1957,False,"When you are in war with demons but #coronavirus put you in #quarantine 👑 🦠 
.
.
.
#eclipse 
#berserk 
#demon 
#toiletpaper 
#toiletpaperchallenge 
#virusvideo @ Tokyo, Japan https://t.co/DA7QEi2hiF"
2020-03-29 15:17:05+00:00,JP,"Chuo-ku, Tokyo",75165228,2009-09-18 01:15:07+00:00,victorenergy,Twitter for iPhone,False,2661,607,646,False,"One of the best videos and analysis that I’ve ever seen about Spreading epidemic diseases and the policies behind to control and stop the spread. @3blue1brown made this one on simulating an epidemic (e.g. #COVID19):

https://t.co/D5Cb6rCtZX
 https://t.co/5GcCeHbeI6"
2020-03-29 06:14:57+00:00,JP,"Chuo-ku, Tokyo",108849824,2010-01-27 05:46:31+00:00,BERNIEGOESBOOM1,Instagram,False,29228,201,902,False,"2020.03.27. (FRI)
.
Beautiful cherryblossoms🌸 at night🌃🌠
.
夜桜🌸🌃🌠
.

#beatthevirus #コロナウィルス #コロナウィルスに負けないぞ #covid_19 #cherryblossom #cherryblossoms #桜 #さくら #tokyo #japan #東京 #日本 #life #safety #health #命 #安全 #健康… https://t.co/31cdb3Rxpd"
2020-03-29 09:00:20+00:00,JP,"Fukuoka City Chuo Ward, Fukuoka",42048084,2009-05-23 15:55:10+00:00,MyGeriAmour,Instagram,False,101,807,1312,False,Usually more excited when I go on work trips but #coronavirus 😣 @ Hakata - 博多 https://t.co/aBpDET0dkv
2020-03-29 01:04:25+00:00,JP,"Chiyoda-ku, Tokyo",317291424,2011-06-14 18:28:01+00:00,RamyInocencio,Twitter for iPhone,True,8960,26471,2734,False,@StarrWulfe @WHO Taiwan has done an excellent job in containing #coronavirus and its been well publicized internationally. VP 陳建仁was the Minister of Health during the 2003 SARS crisis and they learned from the challenges then.
2020-03-29 07:37:39+00:00,JP,"Kyoto-shi Shimogyo, Kyoto",797274804,2012-09-02 01:53:55+00:00,MarcYanofsky,Twitter for iPhone,False,633,54,398,False,"Excellent report as always from @willripley. Tragically, the #kansai area seems even more in denial than many in #Tokyo. It would be a big mistake to assume that things are any less dire outside of the capital. #Japan #COVID19 #coronavirus https://t.co/16KExaV1OC"
