tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-29 10:04:00+00:00,GR,Greece,,,Derek Gatopoulos,,True,8760,11831,3785,,"""Spending New Years with family after a test and then going out with friends, that's not terrible. The opposite is terrible: Going out with friends and then visiting relatives without getting checked."" 

#Greece #COVID19 
Deputy Health Minister Mina Gaga on E radio. "
2021-12-27 15:35:12+00:00,GR,Greece,,,Derek Gatopoulos,,True,8760,11831,3785,,"⚠️Record number of confirmed infections: 9,284

Also 66 deaths reported today; 629 patients intubated. #Greece #COVID19"
2021-12-27 12:02:18+00:00,GR,Greece,,,Teacher Dude,,False,5040,12268,2135,,Greek government to announce new #covid19 measures this evening ahead of New Year's celebrations. 
2021-12-28 18:22:07+00:00,GR,Greece,,,Teacher Dude,,False,5040,12267,2135,,"#Greece posts record high number of #covid19 cases today - 21,657. And as in any time of crisis  is on holiday.
 "
2021-12-30 02:29:16+00:00,GR,Greece,,,Giannis Italios,,False,3083,80,153,,"Something's telling me this number is gonna seem ""appealing"" in a few days. #COVID19 "
2021-12-28 20:11:51+00:00,GR,Greece,,,Dr. Apostolos Veizis,,False,3100,1359,618,,We Need a Public Health Revolution #COVID19 
2021-12-30 16:40:42+00:00,GR,Greece,,,Theodoros P. Dimopoulos - Θεόδωρος Π. Δημόπουλος,,False,4628,1777,4805,,🗣Experts are calling on the protection of #children. Those responsible must take advantage of the tool science generously provided  while they believe that adolescents should be able to consent to #vaccination  | #COVID19 #Omicron 
2021-12-26 07:05:38+00:00,GR,Greece,,,Teacher Dude,,False,5040,12268,2135,,Yet again Greek government's announcement of new measures to limit spread of Omicron infections turns into farce as within hours many are rescinded or amended. This inability to organise is seriously damaging efforts to properly confront coherently. #covid19 
2021-12-30 19:19:43+00:00,GR,Greece,,,Derek Gatopoulos,,True,8760,11829,3784,,"Main opposition Syriza party calls for expanded free testing, state use of private and military facility to face omicron surge. 

#Greece #COVID19 
 "
2021-12-27 16:51:04+00:00,GR,Greece,,,Derek Gatopoulos,,True,8760,11831,3785,,"Live updates: Greece adds restrictions as cases rise, from AP. 
📷 

#Greece #COVID19 
 "
2021-12-28 18:27:38+00:00,GR,Greece,,,Teacher Dude,,False,5040,12267,2135,,"The number of #covid19 cases in #Greece has doubled in just day, reaching 21,657. "
2021-12-27 15:50:26+00:00,GR,Greece,,,IoannaDementiEU,,False,90434,13684,9003,,"""Everyone is free to choose to be vaccinated or not, but that choice has an impact on the freedom of others if you meet with them in public afterwards.""
#COVID19 #covid #Belgium #Europe
 "
