tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-25 11:26:13+00:00,TN,Tunisia,,,Lerato Mogoatlhe,,False,83939,10913,3969,,"The president cancelled the beach a few days ago and cops are really patrolling and telling people to stop swimming and surfing.
#COVID19"
2021-12-27 05:29:57+00:00,TN,Tunisia,,,Aine,,False,14360,25652,874,,"That 9/11 brought invasion of privacy?

#COVID19 has upped that by 400% These surveillance forms that passengers are all being made to fill out have all the info. About to ask for what you had for dinner or lunch before heading to the airport."
2021-12-29 15:15:02+00:00,TN,Tunisia,,,ADF Magazine,,False,701,1791,342,,Africa CDC says #Eritrea is behind other African nations in fight against #COVID19 -  
2021-12-27 14:14:55+00:00,TN,Tunisia,,,Wako Joel,,False,26549,3431,5000,,"South Africans without symptoms of #Covid19 will no longer need to quarantine or test if they have been in contact with a positive case, as the government said a shift from containment measures towards mitigation was justified.
"
2021-12-28 12:26:15+00:00,TN,Tunisia,,,Nourredine Bessadi,,False,357,243,1301,,"#Omicron demonstrates that there is no point in vaccinating in rich countries and leaving poor cones behind. New #variants will keep emerging until everyone is equally vaccinated.

#Covid19 #vaccine #Equality #"
2021-12-27 04:50:09+00:00,TN,Tunisia,,,ShopZaidi,,False,2,6,11,,"#COVID19 has seen record breaking online shopping activity &amp; many businesses have had to pivot to survive.

One thing's for sure: having an online presence is more important than ever!

#ShopZaidi
#SmallBusiness"
2021-12-31 19:46:02+00:00,TN,Tunisia,,,🌻KamauNews; Amassed From Here And There🇨🇦🇰🇪..,,False,363,29,210,,"#Covid19: #WHO #Chief #Optimistic #DiseaseWillBeBeaten in 2022

The #WorldHealthOrganization (#WHO) chief says he is optimistic that the #CoronavirusPandemic will be #Defeated in 2022, provided countries #WorkTogether to #Contain its spread.-#BBCNews
#Cool
"
2021-12-25 20:03:11+00:00,TN,Tunisia,,,TAP news agency,,False,21,13769,132,,"#Tunisia: 242,610 #COVID19 vaccines have been administered on Saturday, until 4 pm, on the 8th mass vaccination day held in 355 centres fitted out for this purpose nationwide. #TAP_En "
2021-12-28 08:10:08+00:00,TN,Tunisia,,,Wako Joel,,False,26549,3431,5000,,"Frederic Sinistra, 41, a kickboxing champion who denied he had #COVID19 has died after discharging himself from hospital.

He was at a facility in Liege, Belgium, with an oxygen tube in his nose. 
"
2021-12-30 22:26:40+00:00,TN,Tunisia,,,Wako Joel,,False,26549,3431,5000,,"Germany will on Jan. 4 drop its demand for travellers from Britain to quarantine and provide a negative #COVID19 test, requirements that were imposed earlier in December during a surge of the #Omicron #coronavirus variant.
"
