tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-24 11:47:20+00:00,HU,Hungary,,,Emese Szilágyi,,False,5903,91,273,,"
Very timely dusting our 2nd #COVID19 -ridden #Xmas. Or as recently a character said in a TV show: Being alone eats you up alive."
2021-12-31 14:22:02+00:00,HU,Hungary,,,Policy Solutions,,False,18,457,470,,"💉2021 was all about #COVID19. Check our research about how the 🇭🇺Hungarian society has felt in the 4th wave of the crisis: it reveals the public attitudes about vaccines, Covid-19 related mental health issues and the Orbán government's crisis management:

"
2021-12-26 12:19:20+00:00,HU,Hungary,,,🎍Eiko Toda🎍 🇯🇵🇭🇺🇪🇺,,False,57962,367,169,," Hoping N.H.L. might change their mind?🤔(I know their reason is #COVID19, but you never know how CCP interprets) "
2021-12-30 07:24:09+00:00,HU,Hungary,,,Antoni Bohdanowicz,,False,13804,744,1056,,How vaccines help lower the death rate... Poland with less people vaccined against covid-19 have a 10x higher death rate per citizen than the UK. #covid19 #covidstats 
2021-12-26 20:40:04+00:00,HU,Hungary,,,Ghaweria Reda,,False,210,142,368,,Alert: Credible reports indicating that arbitrarily detained #Tigrayans into concentration camps are deliberately infected #COVID19. Elderly people are severely affected to death in the camps. #TigrayGenocide        
2021-12-27 08:29:27+00:00,HU,Hungary,,,IFRC Europe,,True,2367,12716,831,,"With support from  Kazakhstan Red Crescent is mobilising more than 1,000 volunteers to distribute life-saving information on #COVID19 vaccination. 
They aim to reach 1 million people via social networks, instant messaging apps, billboards, booklets and information sessions. "
2021-12-28 13:27:54+00:00,HU,Hungary,,,CMDS @ CEU,,False,895,2350,949,,/6 🇰🇪#Kenyan Radio Station Nudges Capital’s Youths to Take Heed of #COVID19 Prevention Guidelines by  
2021-12-28 21:39:45+00:00,HU,Hungary,,,János Gönczi,,False,18,3,40,,"This #COVID19 situation is getting to be a joke in sports. I mean, MvG out from the #PDCWorldDartsChampionship is a bad result for the tournament, but look at the #NBA teams barely can play…surely there has to be a better way."
2021-12-29 13:47:41+00:00,HU,Hungary,,,IOI Investment Pcls.,,False,444,789,134,,"We need trusted real science to solve the #COVID19 problem. Should back to basic. Should disinfect the air.
We are old school, very familiar with the periodic table. "
2021-12-24 15:51:05+00:00,HU,Hungary,,,Alex Faludy,,False,12324,1181,683,,#COVID19  deaths in #Hungary now seem to be in steady decline from the scary levels a fortnight ago. A very welcome #Xmas present for everyone :-) 
2021-12-25 22:52:37+00:00,HU,Hungary,,,CarpathianViking,,False,31043,230,2022,,"Actually not - it is a 2 hour dark comedy on the destruction of earth and it is highly unlikely scientifically.
#COVID19 has shown us that it is not  that runs the world and the absolute majority of the scientific world serves this planet.
We must split any such comet early "
