tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 09:39:33+00:00,LT,Lithuania,,,Ministry of Health Lithuania,,False,922,824,164,,"#COVID19 BOOSTER VACCINE ❗UPDATE❗: The total number of COVID-19 booster doses that have been given in Lithuania🇱🇹.

#ShieldOn #GetBoosted #BeProtected "
2021-12-28 07:47:38+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"On Monday, 18 people died of #COVID19 in #Lithuania

"
2021-12-31 08:11:56+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"More than 16 thousand #COVID19 cases are still active in #Lithuania 

"
2021-12-27 08:16:21+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"Nearly 17 thousand #COVID19 cases are still active in #Lithuania

"
2021-12-29 21:18:07+00:00,LT,Lithuania,,,Gediminas Skyrius,,False,314,4,89,,An image of the pandemic i mustered in my mind maybe a year ago. King Corona i called him :) #art #conceptart #COVID19 #pandemic #digitalart #illustration #monster #Corona 
2021-12-27 08:19:26+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"One more country added to #Lithuania's red list #COVID19 #pandemic 

"
2021-12-29 21:23:19+00:00,LT,Lithuania,,,Diana Patiksa,,False,54,20,287,,Maybe it's time to pull the #gas #mask? 😅 AND not take off at least for a month? I just dont see any real #weapon against #COVID19 .. #Omicron #delta #lockdown
2021-12-29 15:40:31+00:00,LT,Lithuania,,,Ministry of Health Lithuania,,False,922,824,164,,"Almost 50% of Lithuanians aged 75-79 years have already got their booster.

Don't forget to get your booster now, if you were fully vaccinated against #COVID19 and you are at least 18 years old. Register at 1808 or  

#ShieldOn #GetBoosted #BeProtected "
2021-12-28 11:21:35+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"No COVID-19 immunity certificate is required for schools and educational activities #Lithuania #pandemic #COVID19 #vaccination

"
2021-12-27 11:29:12+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"The latest statistics show the total number of #COVID19 patients in hospitals now stands at 1,161, including 110 ICU cases #Lithuania #lockdown #pandemic

"
2021-12-29 08:05:10+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"More than 22 thousand people got vaccinated in #Lithuania yesterday #COVID19 

"
2021-12-30 08:19:48+00:00,LT,Lithuania,,,DELFI Lietuva,,False,13,3583,29,,"Yesterday 118 people were hospitalized due to #COVID19 in #Lithuania

"
2022-02-09 12:15:36,LT,Lithuania,1491385291294507012,2013-05-15 08:16:07,DELFI Lietuva,Twitter Web App,False,13,3595,29,False,Ministers lifted the #COVID19 certificate requirement last Saturday in response to the changed epidemiological situ… 
