tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-24 21:37:44+00:00,BO,"Bolivia, Plurinational State of",,,Tony M • Concerned Citizen 🇺🇸🌊,,False,8028,393,750,,"We’re still trying to recover from 2020, yet here’s 2021 throwing another curveball!...
#SouthSudan #coronavirus #pandemic #COVID19 "
2021-12-27 02:11:09+00:00,BO,"Bolivia, Plurinational State of",,,Tony M • Concerned Citizen 🇺🇸🌊,,False,8028,394,750,,"Scream 5 will only be in theaters? That’s unfortunate, because then it’s going to be spoiled for the ones who aren’t comfortable going to movie theaters yet. But then again, it’s kinda fitting, maybe risking your life to see the movie. #Scream5 #Scream #COVID19 #OmnicronVariant"
2021-12-30 19:30:44+00:00,BO,"Bolivia, Plurinational State of",,,LaLa,,False,14671,2025,2165,,This is an excellent brake down...please read the whole thing #COVID19 
2021-12-28 22:32:12+00:00,BO,"Bolivia, Plurinational State of",,,Blanca Torrico,,False,2279,422,938,,How about these resolutions for 2022? Please be responsible and take care of yourselves   #coronavirus #who #COVID19 #vaccination #virus 
2021-12-28 17:19:04+00:00,BO,"Bolivia, Plurinational State of",,,Lookout Santa Cruz,,False,169,1406,310,,Remembering ‘hope’: First Californian vaccinated against COVID reflects on a year gone by  via  #COVID19 #vaccination 
2021-12-30 17:16:50+00:00,BO,"Bolivia, Plurinational State of",,,sryokan,,False,1789,138,165,,"#COVID19 is becoming George Orwells book 1984. It’s Alpha, no it’s Delta, it’s always been Omicon. The Federal, State, County case and infection rate don’t match. News and social media are political propaganda. The science about #covid has been consistent at least."
2021-12-30 16:20:20+00:00,BO,"Bolivia, Plurinational State of",,,Sagnick Mukherjee,,False,10068,199,772,,Really liked this thread. #Omicron #COVID19 
2022-03-05 21:16:23,BO,"Bolivia, Plurinational State of",1500218693673832448,2018-12-10 20:59:03,"Brent Bailey, Ph.D.",Twitter Web App,False,511,31,174,False,Be sure to read this thread. Boosters are critical and Sinovac is no match for #Omicron. We should be doing more ou… 
2022-02-24 11:39:56,BO,"Bolivia, Plurinational State of",1496812132439969792,2009-04-09 13:24:01,Rare Diseases,Twitter for Android,True,6695,18786,5133,False," 2/ the ""stress"" on #SARSCoV2 is our immune system can react faster to eliminate it. To evade that stre… "
2022-03-02 07:39:36,BO,"Bolivia, Plurinational State of",1498925975890849794,2009-04-09 13:24:01,Rare Diseases,Twitter for Android,True,7054,18797,5137,False,"Its much higher. This study ONLY looked at antibodies which yields false negatives

Memory t-cell testing done back… "
2022-03-02 20:17:51,BO,"Bolivia, Plurinational State of",1499116798360260608,2009-04-09 13:24:01,Rare Diseases,Twitter for Android,True,7054,18797,5137,False,  2/ you fail to note antibody testing &gt;70% seropositive &amp; &gt;90% Tcell seropositive testing (whi… 
2022-02-09 22:34:55,BO,"Bolivia, Plurinational State of",1491541147528970240,2020-05-16 23:35:46,Lookout Santa Cruz,Buffer,False,171,1466,309,False,When is it really safe to take off your mask in California? Here’s what we know  via… 
2022-02-15 19:48:53,BO,"Bolivia, Plurinational State of",1493673688444510210,2018-12-10 20:59:03,"Brent Bailey, Ph.D.",Twitter Web App,False,415,24,167,False," 
In countries with high vaccination rates, what is the mutation rate in breakthrough cases of #omicron an… "
2022-02-09 20:49:54,BO,"Bolivia, Plurinational State of",1491514717524803584,2018-12-10 20:59:03,"Brent Bailey, Ph.D.",Twitter Web App,False,383,23,164,False, It seems like our leaders are banking on #Omicron subsiding and ignoring #BA2. The elites are buying th… 
