tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-23 15:37:15+00:00,PK,Pakistan,,,VigiSec Solutions,,False,0,203,104,,". face #biometrics deployed for #COVID19 status verification in #Chile
"
2021-12-31 17:37:11+00:00,PK,Pakistan,,,ARY News,,True,4484,3861136,38,,"#Sinovac #COVID19 shot with #Pfizer booster less effective against #Omicron: study
#ARYNews 

"
2021-12-29 09:03:40+00:00,PK,Pakistan,,,𝐒𝐓𝐔𝐃𝐄𝐍𝐓𝐒_𝐈𝐒𝐒𝐔𝐄𝐒.𝐩𝐤,,False,694,22,72,,WHO warns of very high #Omicron risk as #Covid19 surges worldwide
2021-12-26 10:15:29+00:00,PK,Pakistan,,,Imran Iftikhar,,False,1415,21,14,,"What blessings do the people of the #UnitedKingdom receive as a reward for being victims of #COVID19?

""Just as true blessing means that a nation is safe because of its faith, and it also means that they will be part of Paradise in the Hereafter.""
"
2021-12-24 12:38:41+00:00,PK,Pakistan,,,ARY News,,True,4484,3861488,38,,#BTS star Suga tests positive for #COVID19 
2021-12-26 06:29:02+00:00,PK,Pakistan,,,Bilal Hussain,,True,1226,469,466,,"Car sales increased in the year 2021 as the industry recovered from the #COVID19 pandemic. Despite challenges for the industry, experts say the auto sector may see further growth in 2022. Read my detailed report in 
 "
2021-12-29 11:54:52+00:00,PK,Pakistan,,,ARY News,,True,4484,3861283,38,,"Saudi Arabia reintroduces mask, social distancing rules amid Covid surge

#ARYNews #COVID19 #SaudiArabia 
"
2021-12-26 16:00:01+00:00,PK,Pakistan,,,The Wellness Coalition,,False,170,563,128,,"Check out why Montgomery native got vaccinated against COVID-19.

#COVID19 #CDCgov #pandemic"
2021-12-24 12:20:50+00:00,PK,Pakistan,,,Nabiqasim Industries Pvt. Ltd.,,False,0,7,0,,"As research on this new #OmicronVariant continues, our duty is to work to reduce the spread of #COVID19. 

#Covid19Response #YourHealthOurDevotion #NabiqasimIndustries "
2021-12-30 11:51:55+00:00,PK,Pakistan,,,Saad Siddiqui,,False,5191,1499,236,,"Pakistan now has 75 confirmed cases of Omicron &amp; daily NEW cases of #Covid19 were:

291 on Mon
348 on Tue
482 on Wed

We need to be careful with new year's eve celebrations and avoid unnecessary travel to countries which are experiencing a significant surge in infections."
