tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-23 17:07:34+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"UK: 9.5% of people with omicron have previously had COVID-19, which is most likely an underestimation.
#XGlobalMarkets #UK #COVID19 #Omicron"
2021-12-28 12:35:33+00:00,CY,Cyprus,,,Press and Information Office Cyprus,,True,280,13339,726,,"#Cyprus  
Instructions for #COVID19 Positive cases:
Citizens may update the #COVID19 Positive Cases Data Entry Platform.
👉"
2021-12-31 11:37:42+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"Paxlovid, an oral COVID antiviral, has been approved by the UK authority.
#XGlobalMarkets #COVID19 #UK"
2021-12-28 16:54:17+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"Italy has 78,313 new COVID cases vs 30,810 the day before. 202 deaths vs 142 yesterday.
#XGlobalMarkets #Italy #COVID19 "
2021-12-30 08:24:49+00:00,CY,Cyprus,,,Pass It Forward,,False,17,79,30,,"Amid the #COVID19 crisis, Givers &amp; nonprofit organizations around the world continued to make an impact in 2021. Read more about this year's charitable giving: 

#PassItForward #newyear #pandemic #giving #fundraising #donating #volunteering #charity "
2021-12-28 12:51:40+00:00,CY,Cyprus,,,Press and Information Office Cyprus,,True,280,13339,726,,"#COVID19 #Cyprus  
Free of charge self-tests for Cypriot citizen beneficiaries or residents of Cyprus who are not registered in the GHS.
👉"
2021-12-31 17:06:53+00:00,CY,Cyprus,,,Pass It Forward,,False,17,79,30,,"2021 has been another challenging year for all of us, but we've found light along the way. As we face 2022, may we continue to give hope to those in need.

#PassItForward #newyear #newyear2022 #COVID19 #pandemic #BuildBackBetter #giving #charity #givenow
"
2021-12-27 18:51:56+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"France's PM Castex: The COVID incidence rate has reached its highest level since the outbreak began.
#XGlobalMarkets #France #COVID19 "
2021-12-27 12:22:28+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"FLIGHTS FROM NEW YORK TO SHANGHAI ON CHINA EASTERN WILL BE HALTED.

SHANGHAI GOVERNMENT: TWO CHINA EASTERN FLIGHTS FROM NEW YORK TO SHANGHAI WILL BE SUSPENDED FROM JANUARY 3RD OWING TO COVID CASES.
#CHINA #COVID19 #PANDEMIC"
2021-12-30 16:57:28+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"Number of COVID patients in English hospitals rises to 11,452.
#XGlobalMarkets #COVID19 #English"
2021-12-25 19:46:17+00:00,CY,Cyprus,,,Pavlos,,False,9480,257,703,,"Last year 24 December #COVID19 had 12,000 deaths that day... this year same day had 6,500 deaths... Humanity has made progress...#pandemic #COVID"
2021-12-31 07:41:27+00:00,CY,Cyprus,,,PSlayer666🌐,,False,24063,578,1126,,"Vaccinated my son today!! Whole family is vaccinated now!! 
Help fight #COVID19 . #GetVaccinatedNow"
2021-12-28 10:53:32+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"#Malaysia's Petronas says COVID-19 variants to keep oil demand uncertain
#oott #oil #COVID19"
2021-12-30 18:34:47+00:00,CY,Cyprus,,,XGLOBAL Markets,,False,135,4139,2623,,"Biden's Economic Aide Boushey: We won't be able to return to normal until COVID is addressed.
#XGlobalMarkets #Biden #COVID19"
2021-12-29 20:36:02+00:00,CY,Cyprus,,,Pavlos,,False,9480,257,703,,"There is a record of #COVID19 cases but the #covid deaths have reduced in 6,000 thousand every day worldwide, which shows this #pandemic is getting weaker but we can't predict the period of time we need to get rid of this disease"
2021-12-29 10:50:44+00:00,CY,Cyprus,,,Press and Information Office Cyprus,,True,280,13339,726,,"#COVID19 #Cyprus   
Vaccinations of children aged 5⃣-1⃣1⃣ years in cooperation with the Cyprus Paediatric Society.
👉"
2022-02-09 17:06:31,CY,Cyprus,1491458503869104131,2012-08-02 21:52:03,XGLOBAL Markets,Twitter Web App,False,135,4248,2637,False,"Fed's Mester:
-I would support the sale of some mortgage-backed securities at some point during the balance-sheet r… "
2022-02-14 17:10:36,CY,Cyprus,1493271468335157252,2012-08-02 21:52:03,XGLOBAL Markets,Twitter Web App,False,135,4275,2637,False,"ECB's President Lagarde: 
-A rate increase won't happen before net bond buying ends.
- Omicron spread is weighing o… "
