tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 06:00:06+00:00,VE,"Venezuela, Bolivarian Republic of",,,INTED2022,,False,1240,874,130,,"📣 Update: #INTED2022 moves to a fully virtual format

Due to the #COVID19 situation, INTED2022 Committee has taken the decision to move INTED to a fully virtual format.

More info:  "
2021-12-31 16:28:53+00:00,VE,"Venezuela, Bolivarian Republic of",,,"Narinder Grewal, MD",,False,622,698,316,,"A surge in patients caused by COVID-19 and corresponding decreases in infection prevention and control practices likely contributed to an outbreak of Corynebacterium striatum at a California hospital.
    #COVID19"
2021-12-23 17:43:28+00:00,VE,"Venezuela, Bolivarian Republic of",,,Polk County Health Center,,False,63,226,274,,"#COVID19 vaccines are expected to help protect against severe illness, hospitalization, and death due to infection with the Omicron variant.
Get vaccinated against COVID-19 or if you’re fully vaccinated, get your booster when you’re eligible. "
2021-12-26 14:28:40+00:00,VE,"Venezuela, Bolivarian Republic of",,,"Narinder Grewal, MD",,False,622,698,316,,"COVID-19 made everyone realize the importance of hand hygiene, but did the message stick?
    #COVID19 #IDWeek2021"
2021-12-27 19:16:41+00:00,VE,"Venezuela, Bolivarian Republic of",,,Torino Economics,,False,4557,4339,4548,,#Bolivia A shipment of 3 million doses of #COVID19 vaccine has landed in Bolivia Sunday. The batch of the Sinopharm drug is #China's largest donation ever to the country. See more in 
2021-12-30 11:51:07+00:00,VE,"Venezuela, Bolivarian Republic of",,,Mètode SSJ,,False,268,765,1086,,"#COVID19 |  researcher Alma Bracho and doctor and   researcher Salvador Macip  analyse what we know about the #omicron coronavirus variant.
"
2021-12-27 17:07:38+00:00,VE,"Venezuela, Bolivarian Republic of",,,Dr. Amy C. Moore,,False,5534,1949,2723,,"My PhD lab mate’s father passed away yesterday from #COVID19, despite being 3X #vaccinated. Yet he had lymphoma, and we know those with #camcer, especially hematological cancers, remain at risk. #GetBoosted #MaskUp, especially for those who are most vulnerable.  "
2021-12-30 13:46:12+00:00,VE,"Venezuela, Bolivarian Republic of",,,Sweet_valentinaa,,False,1185,68,348,,"I have always felt ""different"", I have questioned many things since I can remember, so yes, I have nothing in common with the majority and I do not care, the good thing is that this #movie #plandemia has revealed who is zombie of the system and who woke up #covid19"
2021-12-29 17:29:29+00:00,VE,"Venezuela, Bolivarian Republic of",,,Dr. Amy C. Moore,,False,5534,1949,2723,,"A thread by my PhD lab mate,  on the loss of her father, a veteran who served our country, to #COVID19 over Christmas. He had #lymphoma, which made him high risk. Please #GetVaccinated, #GetBoosted and #MaskUp - easy steps to protect those who protected us. "
2021-12-27 18:15:57+00:00,VE,"Venezuela, Bolivarian Republic of",,,Torino Economics,,False,4557,4339,4548,,"#US oil fell on Monday after airlines cancelled thousands of flights over the Christmas holidays during surging #COVID19 cases, though Brent crude gained support from hopes that the #Omicron variant will have limited impact on global demand. "
2021-12-27 08:23:09+00:00,VE,"Venezuela, Bolivarian Republic of",,,José Antonio March Villalba.,,False,512,218,507,,Also in english. #COVID19 
2021-12-23 15:00:47+00:00,VE,"Venezuela, Bolivarian Republic of",,,Torino Economics,,False,4557,4339,4548,,"The dollar index flatlined near a one-week low on Thursday, given fears of fallout from the #Omicron #COVID19 variant eased, boosting higher risk currencies such as the Australian dollar and British pound. See more in "
2021-12-29 01:00:02+00:00,VE,"Venezuela, Bolivarian Republic of",,,Grekkom Technologies,,False,1214,1415,954,,HTC Human Temperature Control Embedded for AXIS Cameras is an in-camera analytics that automatically detects in real time people with 🌡high temperature #analytics #COVID19 
2021-12-24 09:40:22+00:00,VE,"Venezuela, Bolivarian Republic of",,,Barkha Samnani,,False,131,317,278,,"With such a rise in Omicron cases world over, how are Christmas and New Year parties still happening? we crossed 72000 cases in Spain yesterday, the highest since the pandemic began! Cases rising in India too. #covid #omicron #coronavirus #COVID19"
2021-12-03 00:05:01+00:00,VE,"Venezuela, Bolivarian Republic of",,2014-10-28 17:19:58+00:00,Jeff Cranmer,Twitter Web App,,6861,1876,1118,False,"#Omicron shows why biopharma needs to update its priorities, says my  pal  Effectively, the next pandemic is here &amp; the new variant has given cos Qs that will be a test of how far industry has come in pandemic preparedness (no $): "
2021-12-03 00:09:05+00:00,VE,"Venezuela, Bolivarian Republic of",,2014-10-28 17:19:58+00:00,Jeff Cranmer,Twitter Web App,,6861,1876,1118,False,We also discussed #Omicron on our podcast on Monday as well as the business case for #GeneTherapy for ultra-rare diseases. with     
2021-12-02 23:55:09+00:00,VE,"Venezuela, Bolivarian Republic of",,2019-01-16 16:22:15+00:00,Dr. Amy C. Moore,Twitter for iPhone,,5277,1889,2624,False,The question now becomes whether #Omicron will outcompete #Delta here in the US. #GetVaccinatedNow #GetBoosted #MaskUp 
2022-02-09 15:22:43,VE,"Venezuela, Bolivarian Republic of",1491432379889876993,2012-05-15 08:39:35,Ismael Mingarro,Twitter Web App,False,28546,1814,1232,False,"Cryo-EM analysis reveals #Omicron’s strong bond with human cells 
"
