tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-28 08:47:50+00:00,BE,Belgium,,,Otto 🇪🇺🏳️‍🌈,,False,2755,222,1218,,"Rare pic of HU Minister of Justice playing #Monopoly with EU Recovery money 😂

#RuleOfLaw #EU #Recovery #Christmas #COVID19 "
2021-12-29 10:50:59+00:00,BE,Belgium,,,Airlines for Europe (A4E),,False,23299,7313,933,,"🗓️June

Our #A4ESummit took place virtually this year due to #COVID19, although we had fruitful discussions between policymakers, manufacturers, &amp; CEOs of EU’s biggest airlines 🇪🇺 ✈️

PS.  We are still awaiting the invoice for the broken chair 😆 

#A4E2021Highlights "
2021-12-27 13:00:02+00:00,BE,Belgium,,,Travel Tomorrow,,False,4947,2544,2492,,"Air passengers more likely to get Covid-19, says  doctor
#Covid19 #Omicron #Omicronsymptoms #Travel 
"
2021-12-24 15:11:21+00:00,BE,Belgium,,,Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,,False,25684,945,134,,“Two more waves before #covid19 will become endemic.” 
2021-12-29 09:05:21+00:00,BE,Belgium,,,ECF,,False,5994,22557,2138,,"In March, the Romanian Cyclists' Federation scored a big victory when the government chose to earmark €120M for  in its #COVID19 Recovery Plan. 🇷🇴🚲

This success story shows the value of networked &amp; research-based #cycling advocacy.

Read👇
"
2021-12-29 11:00:05+00:00,BE,Belgium,,,Stavros Papagianneas,,False,19318,10418,10704,,"How to stay ahead of #COVID19

A clear understanding of the situation, strong #communications and stakeholder engagement is paramount in managing impact and coming through stronger.

#crisiscomms #reputation

 "
2021-12-28 08:58:08+00:00,BE,Belgium,,,Association for Teacher Education in Europe,,False,13469,4228,3698,,"The state of #education during the #COVID19 pandemic 

Download the OECD report:

 via "
2021-12-29 04:18:11+00:00,BE,Belgium,,,D. JudasTramp,,False,28993,132,384,," #BoycottBeijing2022

dont talk with mass murderer

#Xi piss
#COVID19
#china"
2021-12-27 10:15:02+00:00,BE,Belgium,,,RedCrossEU,,True,2740,8743,1088,,"Faced by frequent epidemic outbreaks such as #COVID19 or #Ebola, the health system in #Guinea is weakened.  &amp;  funded by  are working to strengthen local capacities related to epidemic preparedness &amp; response. 👉 "
2021-12-29 16:30:29+00:00,BE,Belgium,,,Alexander von Witzleben,,False,28397,20409,17631,,"More people travelling by car despite rising fuel prices One in three people who were frequent #publictransport users before #COVID19 switched 60% of infrequent public transport users say they now avoid the train, tram or bus  #ClimateActionNow #EUGreenDeal"
2021-12-30 06:36:02+00:00,BE,Belgium,,,Alexander von Witzleben,,False,28397,20408,17631,,"#WHO warns of a ‘tsunami of cases’ from #OmicronVariant and #Delta  - ""This will continue to put immense pressure on exhausted health workers and health systems on the brink of collapse and again disrupting lives and livelihoods”   via  #COVID19"
2021-12-27 23:08:09+00:00,BE,Belgium,,,Dave Keating,,True,6665,40796,3264,,"Faced with massive work shortages as many people test positive for #Covid19, the US CDC has shortened the quarantine time for symptom-free positive people from 10 to 5 days.

People with boosters may not need to quarantine at all.
"
2021-12-29 11:09:00+00:00,BE,Belgium,,,ONEinEU,,True,6292,5585,1254,,"Do you already have plans for your festive reads? 📚

👀 If not, have a look at our  weekly newsletter to discover more about the true impact of #COVID19 in Africa!

"
2021-12-31 10:34:52+00:00,BE,Belgium,,,Stella Kyriakides,,True,2567,56304,3124,,"Another very challenging year is drawing to an end. 

🇪🇺 solidarity and cooperation is what has made and will make a real difference in our response to #COVID19.
🧵1/"
2021-12-29 11:35:09+00:00,BE,Belgium,,,Yiannis Latoudis,,False,10355,174,768,,If u are in #bxl city centre and u are in the mood of encountering #omicron just jump in Chicago (rue de Flanders) even without reservation. It is so packed that just waiting to get the news that no place available will do the trick! What’s wrong with people?! #COVID19 #GetVaxxed
2021-12-28 14:00:02+00:00,BE,Belgium,,,Travel Tomorrow,,False,4947,2544,2493,,"#Morocco tourism sector goes bankrupt due to new travel restrictions 
#travel #pandemic #bankruptcy #covid19 
"
2021-12-29 11:17:56+00:00,BE,Belgium,,,Association for Teacher Education in Europe,,False,13469,4228,3698,,"#AteeEJTE article #TeacherEd

Online #teaching placement during the #COVID19 pandemic in #Chile: challenges and opportunities written by  &amp; Astrid Morrison

#Freeaccess here:
"
2021-12-28 23:51:29+00:00,BE,Belgium,,,Alexander J. Stein 💉😷,,False,971,1430,174,," Everyone is free to choose not to be vaccinated, but that #choice impacts the freedom of others. Liberals must stand for the #freedom for all. Choice for one should not become an obstacle to the freedom of others:  |  #COVID19 #vaccination"
2021-12-30 10:00:01+00:00,BE,Belgium,,,Travel Tomorrow,,False,4945,2544,2493,,"U.S. Travel &amp; Tourism saw labor shortfall of almost 700,000 workers in 2021 
 #travel  #covid19 #tourism 
"
2021-12-23 15:33:47+00:00,BE,Belgium,,,Cámara Oficial BeLux,,False,1990,1463,980,,"📢🆕#Covid19 measures announced 🇱🇺.

🚨Bars and restaurants will close at 23h. 
✅Need for an additional self-test for people who have not received their booster dose.
Further information 👉 "
2021-12-24 06:28:51+00:00,BE,Belgium,,,Alexander von Witzleben,,False,28397,20408,17630,,"#Omicron cases much less likely to need hospital stay, says England health body. People who received booster shots more than 10 weeks ago were facing the first signs of waning immunity against symptomatic infection from #OmicronVariant #COVID19  via "
2021-12-23 23:35:26+00:00,BE,Belgium,,,Bert Blocken,,False,11638,8263,4021,,"We go multilingual: Flanders/Brussels/Wallonia/NL. So in English.
🙏👍to chairs &amp; member of project Advisory Board ""#Aircleaning in #classrooms"". Will be extended in coming days. Together for #covid19-safe #education 
   
#onderwijs #scholen "
2021-12-27 13:04:00+00:00,BE,Belgium,,,ensie,,False,2585,1399,906,,"ENSIE prepared a study showcasing the impact of the #COVID19 crisis on #WISEs 1⃣ year after! 

What we learned? 
#1 #WISEs have been resilient and innovative since the crisis! 

All info :  "
2021-12-30 06:57:09+00:00,BE,Belgium,,,Travel Tomorrow,,False,4945,2544,2493,,"Covid-19 will be under control in 2022, says   
#omicron #covidvariant #travel #travelban #Covid19
"
2021-12-23 19:15:11+00:00,BE,Belgium,,,European Observatory,,False,987,7846,293,,"The role of local decision-making in a global pandemic: learn the national stories of 🌍5 African countries of how #COVID19 shifted governance and leadership 👇

By    
  
   "
2021-12-27 09:00:00+00:00,BE,Belgium,,,Travel Tomorrow,,False,4947,2544,2492,,"Omicron leads to more than 5,000 flights cancelled on #Christmas weekend
#OmicronVirus #Covid19 #Omicron #Travel 
"
2021-12-30 08:31:08+00:00,BE,Belgium,,,Pfizer EU Policy,,True,403,4098,1173,,"The  #COVID19 vaccine is now manufactured across four continents and more than 20 facilities 🌍🌏🌎

#LivingInnovation

Learn more here 👉  "
2021-12-25 13:55:06+00:00,BE,Belgium,,,Koen Raemdonck,,False,1231,739,676,,"Received the best Christmas present ever! 🎁🎄 Invitation for my #COVID19 #boostershot.  My present for #2022 will then be the actual vaccine, a great start of the New Year! 🥂🎯 #getyourbooster"
2021-12-23 16:00:03+00:00,BE,Belgium,,,European Research Council (ERC),,True,23962,117964,457,,"“Surviving #COVID19: What role did science play?”   
 
Maria Leptin stressed stressed that the value of curiosity-driven research was clearly demonstrated in the pandemic - it’s crucial to be prepared for an unpredictable future!
 
#EBS2021 discussion 🎥  "
2021-12-30 19:06:36+00:00,BE,Belgium,,,Jan,,False,622,31,311,,"My conclusion for 2021: if we are ever faced with a really deadly virus spreading even half as fast as #COVID19, we’re seriously screwed."
2021-12-31 06:54:55+00:00,BE,Belgium,,,Alexander von Witzleben,,False,28397,20409,17632,,Hybrid work: how new tech aims to shake up old practices. The “let’s talk about it when we’re in the office” effect can slow down decision making and leave workplaces alternately overcrowded and near empty  via  #HybridWork #workingfromhome #COVID19
2021-12-28 17:47:17+00:00,BE,Belgium,,,Willy De Backer,,False,10534,2247,3487,,One of the best articles of 2021 on the #COVID19 crisis shows how and why capitalism framed this 'crisis' as a public health crisis instead of one caused by  #ecologicalemergency and social #inequalities  -  
2021-12-26 15:32:51+00:00,BE,Belgium,,,Dave Keating,,True,6665,40796,3264,,"Here's where we stand for #COVID19 infections in Europe and North America as of Christmas day.

Countries that had their 4th wave peak last month (🇦🇹🇧🇪🇳🇱) have seen cases falling for weeks. Others (🇫🇷🇪🇸🇮🇹🇵🇹) having 4th wave now, and some (🇬🇧🇺🇸) having 5th wave. "
2021-12-23 12:42:17+00:00,BE,Belgium,,,Alexander von Witzleben,,False,28397,20408,17630,,EU and US officials discuss efforts to donate and deliver 1.7 billion vaccine doses around the world by mid-2022. Both sides agreed on the importance of the Transatlantic partnership and leadership to end the pandemic   #JoeBiden #vonderLeyen #COVID19
2021-12-28 14:07:47+00:00,BE,Belgium,,,QatarEmbassy Belgium,,True,5095,6827,416,,"Dr Fadi Makki, Director of  Two major events have shaped the last year for B4 Development: Qatar’s #FIFAWorldCup preparations and the #COVID19 pandemic. "
2021-12-29 10:00:01+00:00,BE,Belgium,,,Travel Tomorrow,,False,4945,2544,2493,,"A woman arrested after slapping an elderly man over a face mask dispute on  #flight 
#traveling #Covid19 #Masks #Omicron 
"
2021-12-27 09:00:11+00:00,BE,Belgium,,,European Cancer Organisation,,False,6187,18381,2176,,"❗ #TimeToActCancer #DataNavigator 🔎 🗺️

This interactive tool helps you learn more about the impact of #Covid19 on #Cancer 💡

👉  

#BeatingCancer "
2021-12-30 08:01:25+00:00,BE,Belgium,,,Zeger Vercouteren,,False,2690,574,952,,"What an excellent report produced by  &amp;  on building resilient health systems of the future, using lessons learnt from the #COVID19 pandemic. I recommend you to download it!

#ResilientHealthFuture #healthyEurope #FutureofHealth "
2021-12-31 18:48:52+00:00,BE,Belgium,,,Isabelle Ioannides,,False,15668,2211,1167,, The numbers in #Belgium trouble me. The policy #Covid19 restrictions is clearly not working well...
2021-12-25 12:07:35+00:00,BE,Belgium,,,SJM,,False,26140,206,277,,"#NewZealand mourned as many casualties from #COVID19 over the last TWO YEARS as France did in the last 8 HOURS alone. 💔

You're clearly doing something right,  Thank you for truly caring about your citizens. 🙏🏼
European leaders clearly don't. "
2021-12-31 05:21:25+00:00,BE,Belgium,,,"Vanessa Campo-Ruiz, MD PhD",,False,34210,1231,2669,,"#covid across the #EuropeanUnion: 
⬆️⬆️⬆️🚨🚨🚨

Our only option now is to be extra careful at all levels 😷💉🦠and protect the #vulnerable #immunocompromised around us. 

#facemasks #ventilation #airfiltration #coronavirus #virus #Europe #Europeans #expats #covid19 "
2021-12-28 14:02:34+00:00,BE,Belgium,,,ECIPE,,False,1144,9023,1308,,"✨Top picks of 2021✨

📺 Check out our most viewed video of 2021 by  on Europe, #Covid19 and the danger of self-sufficiency
"
