tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2022-01-01 06:22:55+00:00,PA,Panama,,,Brad Milner,,False,24285,2059,2009,,"The one good thing about the #COVID19 pandemic: It has cut, ""this is gonna be my year!!"" posts by 98.4% #NYE #NewYear2022"
2021-12-24 01:00:31+00:00,PA,Panama,,,Cesar Elias Sanjur,,False,63924,1062,1269,,"Judge to anti-mask parents: Constitution doesn't allow you to set school policy  ""The mandate was not supported by science..."" 🙄    #covid19 #Masks"
2021-12-27 12:40:45+00:00,PA,Panama,,,Dave Nichols - Vaccinated & Boosted,,False,8028,2196,2045,,COVID-19 case rates by county in 2021  #COVID19
2022-01-01 01:51:11+00:00,PA,Panama,,,Brad Milner,,False,24285,2059,2009,,"Say what you will about #DontLookUp, it's exactly how life is in #COVID19 times, people like to hide their heads in the sand, they take sides, but you can't escape science, can't escape inevitability, oh and the rich do get richer while the rest of us are left holding the bag"
2021-12-26 21:29:13+00:00,PA,Panama,,,Jason Phoenix,,False,149154,1750,2754,,"What's really phenomenal to me is how highly watched for health, professional athletes, which by the policies of their given leagues, have been vaccinated, yet STILL get #COVID19 !? You tell me, are we really that stupid!? #NBA #NFL #futbol"
2022-01-01 05:19:17+00:00,PA,Panama,,,Brad Milner,,False,24285,2059,2009,,Miley's areola will end #COVID19... #NYE2021 #NewYear2022
2021-12-26 18:30:43+00:00,PA,Panama,,,Jason Phoenix,,False,149154,1750,2754,,"I just watched the movie #DontLookUp 

And I'm 100 percent sure the undertones of the theme were directed at the #Right because well #Hollywood is #Hollyweird

But the thing the left doesn't get, is they are the ones whom are #Brainwashed not the Right. #Netflix #COVID19 #Jabs"
2021-12-27 02:26:07+00:00,PA,Panama,,,Cesar Elias Sanjur,,False,63915,1062,1269,,The Math That Explains Why Omicron Is Suddenly Everywhere  via      #covid19 #omicron
2021-12-31 21:23:52+00:00,PA,Panama,,,"Jon Ward, MD",,False,25556,805,491,,Pandemic of the Vaccinated! #covid19 
2021-12-28 21:14:28+00:00,PA,Panama,,,David Weaver,,False,1503,785,1340,,"The #Vaccine nor the #Boosters will slow the spread of #COVID19 or the #Variants. #BigPharma is reducing symptoms not looking for the cure!  There’s not any money in a cure, only treatment!  Once you realize this fact you will see through the #Bullshit!"
2021-12-28 12:51:22+00:00,PA,Panama,,,IFRC Americas,,True,10667,22956,1670,,"During this holiday season, remember to gather outside with people outside your household ✨⬇️

#COVID19 "
2021-12-27 01:06:10+00:00,PA,Panama,,,☃️❄🎄Queen-Xmas🎄❄☃️(Happy New Year!!!🥂),,False,33246,901,4876,,"Tomorrow my family and me will be vaccinated for prevent Omicron, So i'll be back tmr, So today i don't go
#Covid19 #RHTC #RoyaleHigh #Coronavirus #Omicron #Delta #Virus #Quarantine #StayAtHome #Roblox #RBX"
2021-12-28 16:29:14+00:00,PA,Panama,,,Cesar Elias Sanjur,,False,63915,1062,1269,,District Court Orders New Jersey Defendants to Stop Distributing Unapproved 'Nano Silver' Products Touted as COVID Treatment     #covid19
2021-12-28 03:49:45+00:00,PA,Panama,,,☃️❄🎄Queen-Xmas🎄❄☃️(Happy New Year!!!🥂),,False,33246,901,4876,,"I attend to vaccunate to prevent the Omicron (The 3rd dose) And My shoulder hurts me (in the little egg of the shoulder XD)
#RHTC #RoyaleHigh #Covid19 #Coronavirus #Vaccine #Omicron #Roblox #C"
2021-12-24 18:04:29+00:00,PA,Panama,,,Jorge O'Greer,,False,556,125,560,,Covid tests are the new pregnancy tests in terms of anxiety… #Christmas2021 #COVID19
2021-12-27 13:51:23+00:00,PA,Panama,,,Tim Howe,,False,928,664,476,,"4/ Please make sure to visit 
👇
 
for details of the #RMRP2022 as the geographically biggest humanitarian plan in the world. Given the impact of  #COVID19  + changing dynamics in the region, there is need for increased international support in 2022."
2021-12-24 00:46:48+00:00,PA,Panama,,,Jason Phoenix,,False,149154,1750,2754,,"The fact that we have to fight #ForcedVaccines is #Intolerable 

Just never believed I'd see the day! #COVID19 #Omicron #VAXXEDvsANTIVAXX #VaxxedtoTheMaxx"
2021-12-31 20:27:38+00:00,PA,Panama,,,Brad Milner,,False,24285,2059,2009,,"At this point #COVID19 could be an expansion team, hello, St. Louis! #NFL "
2022-03-08 11:31:00,PA,Panama,1501158537829011457,2011-04-07 18:37:26,Chris Davis,Twitter Web App,False,7051,2275,3848,False,pro-active strategies for managing social emotional well being of students and staff during what are sure to be dif… 
