tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-24 13:31:01+00:00,JO,Jordan,,,Juliette Touma جولييت توما,,True,18958,6506,1981,,Oh little (sad) town of #Bethlehem #Christmas #COVID19 
2021-12-30 11:55:08+00:00,JO,Jordan,,,The Jordan Times,,False,174,110788,69165,,"World hits record COVID cases in a week as  warns over #Omicron
More than 5.4 million people around world have died from COVID
#Covid19 #JordanTimes
 "
2021-12-29 02:48:29+00:00,JO,Jordan,,,JordanianPrivateJetsServices,,False,4382,509,1144,,"Traveling this year looks different due to Coronavirus (Covid 19) Pandemic. Wear your masks and stay safe while traveling. 

Download EasyGate application to help you during your coming trips

#application #Download #aviation #Airport #Android #ios #Airport #Travel #COVID19 "
2021-12-27 23:54:22+00:00,JO,Jordan,,,JordanianPrivateJetsServices,,False,4382,509,1144,,"Singapore lifts restrictions on ten African countries and VTL (Vaccinated Travel Lane) Program has been put on hold until January 20, 2022.   
African countries: 
Botswana,Eswatini,Ghana,Lesotho, Malawi, Mozambique, Namibia, Nigeria, South Africa, and Zimbabwe
#COVID19 #Travel "
2021-12-27 12:08:37+00:00,JO,Jordan,,,UNHCRJordan,,True,1611,30410,401,,"From vaccinating refugees against #COVID19 to enhancing work opportunities, here are 10 ways we helped refugees in Jordan in 2021 | #YearInReview

"
2022-01-01 02:27:03+00:00,JO,Jordan,,,JordanianPrivateJetsServices,,False,4382,509,1144,,"Cathay Pacific Airways is temporarily suspending all long-haul cargo operations for a week due to stricter COVID-19 quarantine requirements for air crews. 
 #COVID19 #Covid_19 #cargo #Airline #HongKong #aviation #flight #Quarantine "
2021-12-29 13:46:58+00:00,JO,Jordan,,,Filip Vanden Bulcke,,True,4340,1167,700,,"Some highlights of a busy 2021:
1) Visit of Chief of   
2) B-Fast mission to assist in the fight against #COVID19  
3) Visit of Minister of Defence  
4) Visit of Minister of Development Cooperation   
#diplomacy #belgiuminjordan 🇧🇪🇯🇴 "
2021-12-28 11:00:01+00:00,JO,Jordan,,,Jordan News,,False,0,455,1,,"Health Ministry eases PCR requirements for Jordanians on short trips.

#JordanNews
#Covid19 

 "
2021-12-27 18:37:28+00:00,JO,Jordan,,,The Jordan Times,,False,174,110786,69165,,"Crown Prince visits COVID crisis cell
#Jordan #Amman #Covid19 #JordanTimes
 "
2021-12-29 19:08:55+00:00,JO,Jordan,,,The Jordan Times,,False,174,110788,69165,,"#Jordan records 466 new cases of #Omicron COVID variant
#Covid19 #Amman #JordanTimes

 "
2021-12-25 22:48:10+00:00,JO,Jordan,,,Juliette Touma جولييت توما,,True,18957,6507,1981,,"#MaskUp even if vaccinated, protect yourself and people around you #COVID19 "
2021-12-29 07:57:19+00:00,JO,Jordan,,,The Jordan Times,,False,174,110786,69165,,"Business owners upbeat about 2022 despite pandemic
#Jordan #Covid19 #Amman #JordanTimes
"
2021-12-26 18:17:57+00:00,JO,Jordan,,,The Jordan Times,,False,174,110786,69165,,"#Jordan records 295 new cases of #Omicron COVID variant 
#covid19 #Amman #JordanTimes

 "
2021-12-30 09:29:41+00:00,JO,Jordan,,,The Jordan Times,,False,174,110788,69165,,"Jordan to welcome New Year with stricter COVID regulations. Defence Order No. 35 to take effect on New Year’s Day
#Jordan #Covid19 #Amman #JordanTimes 

 "
2021-12-27 11:46:43+00:00,JO,Jordan,,,UNV Arab States,,False,1170,1634,447,,"On the International Day of Epidemic Preparedness, let us introduce you to UN Volunteer Noran Adly from #Egypt who started her assignment as Community Engagement Officer with  in February 2021. 

📝 Read her full motivational story: 

#COVID19 "
2021-12-27 18:38:15+00:00,JO,Jordan,,,The Jordan Times,,False,174,110786,69165,,"Epidemiological committee recommends home quarantine for Omicron patients. #Omicron case tally reaches 328
#Jordan #Amman #Covid19 #JordanTimes
 "
2021-12-30 13:33:23+00:00,JO,Jordan,,,Batir Wardam,,False,1574,8098,675,,The best success story in #Jordan in 2021 was the fast and organized deployment of #COVID19 vaccination programme that saved thousands of lives. Those who did not turn carry the outcomes of their decisions.
2022-02-18 06:08:22,JO,Jordan,1494554363091734540,2011-03-02 15:13:58,Aida Essaid - Այտա Էսսաիտ - عايدة السعيد,Twitter for iPhone,False,4094,1282,1718,False,“People seem to think there has been a linear evolution of the virus from Alpha to Beta to Delta to Omicron…But tha… 
2022-02-17 11:07:12,JO,Jordan,1494267181667917826,2008-12-17 14:29:40,The Jordan Times,Twitter Web App,False,178,110847,69071,False,"#Germany to start lifting COVID curbs as #Omicron passes peak
#Covid19 #JordanTimes
 "
2022-02-22 09:16:52,JO,Jordan,1496051351637442561,2016-02-25 07:19:08,فرح,Twitter for iPhone,False,10508,1452,304,False,What a great #Twosday ! Spending it isolated cuz of this silly #Omicron ..22.2.22! 
