tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 15:05:02+00:00,NL,Netherlands,,,Dr. Mark Wijnbergen,,False,11556,457,92,,"A lot has been said on #COVID19, however most tweets lack (scientific) sources and miss nuance, e.g. #COVID is either just a #flu, or the most devastating disease ever. Similarly, everyone should take the #vaccine, maybe with a #VaccineMandate, or nobody should take it.."
2021-12-24 07:28:44+00:00,NL,Netherlands,,,Christopher Green,,False,2555,7391,1059,,"At this fleeting moment in history, there is literally no policy nor U-turn so totally unrelated to public health that #COVID19 cannot be wheeled out in its justification or defence. "
2021-12-31 08:40:55+00:00,NL,Netherlands,,,𝓢tephan Okhuijsen,,False,26926,10417,6914,,"That's a stupid race we are in right now. Can somebody raise the red flag please?
#COVID19 
 "
2021-12-30 15:05:07+00:00,NL,Netherlands,,,Dr. Mark Wijnbergen,,False,11556,457,92,,"#corona puts a huge pressure on the healthcare system:
About 1.5 (🇳🇱) to 4.7(🏴󠁧󠁢󠁥󠁮󠁧󠁿)% of patients with #COVID19 are admitted to the hospital
Age is a risk factor for a severe prognosis, odds of hospitalization and/or ICU admission, and invasive mechanical invasion (IMV)."
2021-12-28 21:11:53+00:00,NL,Netherlands,,,Christopher Green,,False,2555,7391,1059,,"The question of whether North Korean society is “in a state of famine” or not comes up from time to time. With the #COVID19 pandemic and its accompanying border shutdown impacting livelihoods, it has returned."
2021-12-28 08:00:51+00:00,NL,Netherlands,,,Health Action International,,False,1792,4185,987,,"Executive Director  takes a look back at another challenging, and perhaps defining year for the #access2medicines movement, set against the backdrop of #COVID19. A year which also happened to be our 40th anniversary! Read the latest HAI blog ➡️  "
2021-12-28 21:49:02+00:00,NL,Netherlands,,,David K. Li,,True,3468,1280,4139,,ICYMI: #TeamUSA forfeits #WorldJuniors game vs. #Switzerland due to #Covid19.  via 
2021-12-30 15:05:10+00:00,NL,Netherlands,,,Dr. Mark Wijnbergen,,False,11556,457,92,,"Other #comorbidities also increase the odds of getting severe #COVID19 (and thus being hospitaliced, admitted to the ICU, and IMV): "
2021-12-30 09:45:38+00:00,NL,Netherlands,,,Rahul P,,False,5939,538,691,,"The world had over 1.7 million cases yesterday🤯. The only good thing is the number of deaths is relatively significantly less. Primarily thanks to the vaccinations...

I hope the worldwide booster campaigns will only dampen the effects of Omicron. 🤞 #COVID19  #Omicron "
2021-12-26 12:58:53+00:00,NL,Netherlands,,,Vendetta 💯,,False,11011,1660,1366,,Via David_Ornstein: 🚨 Crystal Palace manager Patrick Vieira will not be present for today’s game at Tottenham after testing positive for #COVID19. Overnight #CPFC request to postpone on grounds of outbreak in camp rejected &amp; match due to go ahead  #TOTCRY #THFC
