tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-27 11:01:13+00:00,LU,Luxembourg,,,Ricardo J. Tavares,,False,1683,79,122,,"  Watched it last weekend. Felt like the chronicle of impending doom foretold.

#ClimateCrisis: wink.

#COVID19 pandemic: wink.

#OrangeClown: wink."
2021-12-29 13:59:47+00:00,LU,Luxembourg,,,EUR-Lex,,True,1287,27256,9125,,"We continue to update our #COVID19 page 💻 One page where you can find all the documents that have been published in  broken down by topics 📑
➡️ 
 "
2021-12-28 14:28:01+00:00,LU,Luxembourg,,,Alain AZONLIGNON,,False,2678,1305,4317,,"Dear network ! 
I was the week in the offices of a very famous airline company, Where I canceled my ticket ......
 I will not be accepted on board without being vaccinated!
What’s about you ? 
 #network #airline  #covid19 #travelling "
2021-12-30 09:27:31+00:00,LU,Luxembourg,,,FuPa Luxembourg,,False,230,497,115,,"⚽️💉 Better than its reputation? 37 of 103 #football clubs of #Luxembourg took our survey, almost 84% say having a 80%+ #Covid19 #vaccination quota in their team 👉  (🇩🇪)

#fupa #fupalux #letzebuerg #soccer #fupanet"
2021-12-31 16:01:36+00:00,LU,Luxembourg,,,Jean-Paul Olinger,,False,1507,1061,669,,"Connecting Luxembourg to the world, during #Covid19-20-21 and  

Bravo  and  and  

Thank you  , Richard Forson, Patrick Hansen and your entire teams. Happy new year to us all…

   "
2021-12-27 07:00:01+00:00,LU,Luxembourg,,,European Investment Bank,,True,11295,61443,1558,,"As we are still going through the #COVID19 pandemic it is evident that another pandemic is inevitable. But governments and policymakers can use the lessons learned from the current one to better prepare for the future.
How?
Next up on #HeatlhSolutions ⚕️  "
2021-12-31 09:53:41+00:00,LU,Luxembourg,,,Association Humanitaire,,False,15490,417,188,,". #Iran #COVID19: Coronavirus Fatalities Surpass 493,600 

#Luxembourg "
2021-12-23 19:06:47+00:00,LU,Luxembourg,,,Kevin Rosamont,,False,2058,88,401,,"I took the vaccine 5 month ago and I am positive. At least I can still breathe normally. I just have a headache and coughing a bit. Thanks to the vaccine? 🤔
#COVID19 #vaccine "
2021-12-27 07:52:10+00:00,LU,Luxembourg,,,J-Lux352🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇪🇺,,False,82585,748,677,,Mind blowing. There is nothing new under the sun. #COVID19 #GetVaccinatedNow #WearAMask #r4today 
2021-12-24 07:52:44+00:00,LU,Luxembourg,,,Andre Martin,,False,0,2301,355,,Early morning visit to #LuxembourgAirRescue for a #COVID19 booster #vaccination. #Luxembourg #LAR 
2021-12-26 13:30:53+00:00,LU,Luxembourg,,,Michel Rauchs,,False,17829,5084,592,,"So let me recap this: 

I‘m vaccinated + recently recovered from #COVID19, and yet under the new #Luxembourg 2G+ system, I now have to pay for an antigen test at every single restaurant, bar, or café I intend to visit."
2021-12-24 11:05:02+00:00,LU,Luxembourg,,,LISER's Dept. of Urban Development and Mobility,,False,34,107,78,,"LISER's UDM is looking for an intern in the field of #transportation/#machinelearning + PhD candidates for:
– Dynamic exposure to #airpollution at a country scale
– Studying longterm impacts of #COVID19 as of function of disease severity &amp; patient’s comorbidities
w/ "
2021-12-23 13:35:53+00:00,LU,Luxembourg,,,Cecilia Rodriguez,,False,14,546,75,,"Thinking Of A Cruise For Vacation? Vaccines And Masks Onboard Now Required via   #cruise, #COVID , #COVID19, #OmicronVariant, #OmicronVirus, #covidvariant, #Christmas"
2021-12-24 12:27:45+00:00,LU,Luxembourg,,,Association Humanitaire,,False,15490,417,188,,". #Iran: #COVID19 Deaths Surpass 491,100 

#Luxembourg "
2021-12-31 11:06:01+00:00,LU,Luxembourg,,,Lucien Schilling,,False,5615,269,619,,#Rules  about #Covid19 #vaccine #status will tighten so be prepared that this is a snapshot situation: How to prove your vaccination status when traveling internationally 
2021-12-30 22:00:29+00:00,LU,Luxembourg,,,Aga,,False,2760,172,1000,,Interesting research about #covid19... haven't seen something alike yet 🤔 
2021-12-27 08:00:01+00:00,LU,Luxembourg,,,European Investment Bank,,True,11295,61443,1558,,"As the pandemic is far from over, #Europe will aim to #LeaveNoOneBehind✊
We contributed €400 million to a total of 500 as part of #TeamEurope supporting the #COVAX initiative to make a #COVID19 vaccine available for developing countries  "
2022-02-23 07:50:39,LU,Luxembourg,1496392042347470849,2011-05-06 12:08:13,EUR-Lex,Twitter Web App,True,1430,27605,9176,False,"🆕#EUCOVIDCertificate : Covid recovery certificates can now be based on #AntigenTests 
The new  Regula… "
2022-03-05 11:16:54,LU,Luxembourg,1500067826140426244,2014-02-06 05:54:46,Claus Nehring | Now 3 shots of BioNTech,Twitter Web App,False,13267,2134,4714,False,"Variants of Concern - Week 6 (07/02 - 13/02)

LNS situation update:

#Delta 0,0% ⬇️
#Omicron #BA1 69,5% ⬇️
#Omicron… "
2022-02-18 10:18:05,LU,Luxembourg,1494617206856073217,2014-02-06 05:54:46,Claus Nehring | Now 3 shots of BioNTech,Twitter Web App,False,13043,2136,4607,False,"Variants of Concern - Week 5 (31/01 - 06/02)

LNS situation update:

#Delta 0,2% ⬇️
#Omicron #BA1 93,1% ⬇️
#Omicron… "
2022-02-10 14:04:18,LU,Luxembourg,1491775032019890190,2021-12-29 21:36:48,John Grommelski,Twitter Web App,False,185,29,145,False,"1/2 ""It is not impossible that #Omicron is an end of epidemic variant that has tried to survive by recombining with… "
