tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-25 06:22:02+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62418,1472,,"#Taiwan confirmed 18 imported #COVID19 cases on Christmas Day, including a woman who had received 3 #BioNTech shots. "
2021-12-24 12:42:54+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62418,1472,,A #COVID19  #vaccine map of #Taiwan will become available online by the end of the month.  
2021-12-31 09:58:03+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,"In May, #Taiwan faced its most serious crisis since the #COVID19 pandemic broke out, as the number of daily cases rose to record high and the island was forced to impose serious measures for more than three months to combat the local outbreak: "
2021-12-24 06:28:27+00:00,TW,"Taiwan, Province of China",,,Chase W. Nelson 倪誠志,,False,24001,2763,762,," Given #molnupiravir's usage to treat #COVID19 is inevitable, what can be done to prevent the potential acceleration of #SARSCoV2 variants?
1⃣patients should strictly ISOLATE WHILE TAKING, especially in the first days on the drug

2⃣ALL DOSES should be taken PRECISELY as directed"
2021-12-31 09:15:48+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,"While there was no major #COVID19 outbreak in #China in early 2021, authorities still impose strict measures to ask citizens to change the way they celebrated one of the most important holiday of the year: the Lunar New Year. "
2021-12-31 09:13:28+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,"In late January, I talked to sources in Wuhan, the city where the global #COVID19 pandemic began to spread and look at how life has been one year since the total lockdown of the city for months: "
2021-12-28 16:10:31+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,China's state-run tabloid tried to exploit the loss of Carlos' family by politicizing its narrative about western #COVID19 vaccines. This is simply unacceptable. 
2021-12-25 07:35:43+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62418,1472,,A total of 483 people linked to an infected researcher at #Taiwan's Academia Sinica tested negative for #COVID19.  
2021-12-28 04:53:59+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,"Today marks one year since Chinese citizen journalist #ZhangZhan was sentenced to four years in prison for reporting about the initial #COVID19 situation in Wuhan, #China. She has been on a hunger strike and is now reportedly weighing less than 40 KG.  "
2021-12-31 09:59:27+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,The shortage of #COVID19 vaccines for several months have also drawn closer attention to how #Taiwan tries to maneuver geopolitical challenges throughout 2021: 
2021-12-28 04:32:53+00:00,TW,"Taiwan, Province of China",,,Binay,,False,77,3,53,,Why the coronavirus's delta variant dominated 2021  #coronavirus #COVID19 #covidvariant #Delta
2021-12-30 13:34:48+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62417,1472,,"As #Omicron is spreading around the world, #Taiwan is expanding the number of places where free #COVID19 home test kits are available.  "
2021-12-30 15:54:53+00:00,TW,"Taiwan, Province of China",,,William Yang,,True,33673,47414,6431,,"On Thursday, thousands of people in #China left messages on the social media account of the late #COVID19 whistleblower Li Wenliang on the anniversary of the day he learned of the cases in Wuhan and shared the information with fellow doctors. "
2021-12-30 10:33:17+00:00,TW,"Taiwan, Province of China",,,Chase W. Nelson 倪誠志,,False,23999,2763,762,,"Knowing how this pandemic began is important because it can help us to prevent the next one.

That said, the recent lab-leaked infection in #Taiwan🇹🇼 offers a critical reminder that #COVID19 has been used to justify anti-Asian hate, something we must constantly guard against.
1/n "
2021-12-31 06:18:34+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62416,1472,,A sharp uptick in imported #COVID19 cases announced in #Taiwan on the last day of 2021.  
2021-12-30 16:26:55+00:00,TW,"Taiwan, Province of China",,,Kristin Jakola,,False,1287,331,372,," Maybe we should change the school calendar so we’re in session all summer and have a long winter break? You know, to avoid the flu season. #covid #covid19 #education"
2022-01-01 06:24:02+00:00,TW,"Taiwan, Province of China",,,Taiwan News,,False,3813,62416,1472,,"#Taiwan confirms 21 imported #COVID19 cases on the first day of 2022, a sharp drop from the previous day's record.  "
2022-03-06 02:15:20,TW,"Taiwan, Province of China",1500293925533147141,2013-11-26 16:15:36,Shu-Ti Chiou,Twitter Web App,False,7009,1428,992,False," Oh, no! Hong Kong did try to live with the virus this time,  then, like US &amp; UK, they were overwhelmed… "
2022-02-09 06:06:26,TW,"Taiwan, Province of China",1491292387087642625,2020-03-26 07:11:49,Mindworks,Twitter Web App,False,32,163,222,False,"Right now the world is facing crises on many fronts, from #Omicron and the long crisis of the Covid-19 #pandemic to… "
2022-02-18 11:21:12,TW,"Taiwan, Province of China",1494633090370605057,2011-08-31 01:49:04,William Yang,Twitter for iPhone,True,33977,48598,6521,False,"Hong Kong has decided to postpone its upcoming election for the Chief Executive from March 27 to May 8, citing the… "
2022-02-09 14:03:27,TW,"Taiwan, Province of China",1491412433818501120,2009-01-02 20:45:31,jeremygentles,Twitter Web App,False,2166,286,80,False,  knows very well there are many cases in the community. He also knows that #omicron is so… 
