tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-23 14:51:28+00:00,UG,Uganda,,,The Kampala Gazette,,False,12252,697,2233,,"#COVID19! 42 out of 85 patients in hospitals were admitted in the last 7 days - 

See breakdown here:



    #Uganda #Ugandans #UgandaNews "
2021-12-27 17:37:37+00:00,UG,Uganda,,,Hason Mutunzi,,False,452,1197,1922,,"#FlyOnTheWall
President  has today met the #COVID19 task force team in Rwakitura.
Details indicate he has been advised  to fully ‘open up’ the economy despite the spike in coronavirus cases in 🇺🇬.
This he will announce in his end of year address to the nation."
2022-01-01 06:28:30+00:00,UG,Uganda,,,𝐁𝐞𝐧𝐨𝐧 𝐅𝐫𝐞𝐝 𝐓𝐖𝐈𝐍𝐀𝐌𝐀𝐒𝐈𝐊𝐎™,,False,33254,1605,3201,," It is fine, he explained at the start of #COVID19 that it is the hand that he keeps its hygiene perfect where as he uses the right for greeting and touching other things. "
2021-12-29 09:18:45+00:00,UG,Uganda,,,Newton Balenzi,,False,2729,320,372,,"With #COVID19 now becoming endemic, it's not so wise to continue causing unnecessary losses through such restrictions. We should now focus on management and treatment.  "
2021-12-23 14:28:24+00:00,UG,Uganda,,,The Kampala Gazette,,False,12252,697,2233,,"Christmas message 2021:  urges Ugandans to get vaccinated from #COVID19, continue observing SOPs

Full message:



#Uganda #UgandaNews #Ugandans "
2021-12-29 17:22:26+00:00,UG,Uganda,,,IOM Uganda,,True,1423,4613,1648,,The Programme is supporting IGAD member states to mitigate the health and socioeconomic impact of #COVID19 in the region. It is managed by  and implemented by     and 
2021-12-29 16:36:07+00:00,UG,Uganda,,,Kenneth KM,,False,2833,1035,3332,,"An MP + the Prime minister hold a gathering telling people that #Covid19 is real. No mask, no social distance 
#uganda!!!"
2021-12-24 11:49:32+00:00,UG,Uganda,,,MC Baker Breaker 🎤🇺🇬 (Official),,False,11030,1511,1866,,"Keep safe stay at home ,#COVID19 is real  "
2021-12-30 12:02:18+00:00,UG,Uganda,,,Irene Nakasiita,,False,9103,4250,1702,,"#COVID19 continues to be a health global threat. You and I have a role to play in ensuring that we guard our lives. 
As cases continue to increase,  gives advisories for home based care for patients who may not get any space in hospitals for admission. 👇👇 "
2021-12-28 05:48:36+00:00,UG,Uganda,,,Mutabazi Sam Stewart,,False,661,1371,2272,,"Humanity has never lived in so uncertain times  like today courtesy of #Covid19. 
To open or not to  open the Ugandan economy? It will be a balancing act for M7 and government. Economy is more than  stressed and depressed."
