tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 13:32:22+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40772,1065,,"#Vietnam reports 19,868 new #COVID19 cases, 34,102 recovered patients
"
2021-12-31 10:52:40+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40771,1065,,"South Africa lifts curfew as it says #COVID19 fourth wave peaks
"
2021-12-28 10:14:49+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40775,1065,,"Ho Chi Minh City mulls over karaoke, disco service resumption amid #COVID19 slowdown
"
2021-12-30 00:43:11+00:00,VN,Viet Nam,,,Lui Sieh,,False,37123,698,738,,"Despite omicron, Covid-19 will become endemic. Here’s how.

 #COVID19"
2021-12-31 08:14:54+00:00,VN,Viet Nam,,,Institute for Foreign Policy and Strategic Studies,,False,625,582,285,,"Viet Nam has fulfilled several economic targets 2021 despite #COVID19 pandemic, becoming one of the world’s 20 leading economies in terms of global trade, according to an article recently published by Malaysia’s Bernama.
"
2021-12-29 04:37:45+00:00,VN,Viet Nam,,,Lui Sieh,,False,37123,698,738,,Why rapid COVID tests are in short supply in the U.S.   #CovidTesting #COVID19
2021-12-30 12:34:37+00:00,VN,Viet Nam,,,Nadav Eshcar,,True,2130,1222,227,,"MOU on collaboration in #Clinical tests, distribution &amp; Manufacturing of #Oral #vaccination for #COVID19 signed between  🇮🇱 &amp; #TanThanh 🇻🇳. If successful, it will make vaccination campaigns much easier. Much credit to  &amp;  Good luck! "
2021-12-25 12:31:11+00:00,VN,Viet Nam,,,Institute for Foreign Policy and Strategic Studies,,False,625,582,285,,"Vietnam’s target of bringing its GDP growth to 6-6.5% in 2022 as set in the recent session of the National Assembly is entirely possible if it can effectively control the #COVID19, &amp; improve the supply – demand balance, an official of the WB has said.
"
2021-12-28 03:59:08+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40775,1065,,"#CDC cuts isolation time for asymptomatic #COVID19 cases to 5 days
"
2021-12-27 06:50:24+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40776,1065,,"Israeli hospital to give fourth #COVID19 vaccine shot in trial
"
2021-12-28 12:45:51+00:00,VN,Viet Nam,,,Viet Nam Government Portal,,False,3887,31891,625,,"Health ministry confirms additional 14,440 #COVID19 cases on Tuesday  "
2021-12-24 07:54:52+00:00,VN,Viet Nam,,,Institute for Foreign Policy and Strategic Studies,,False,625,582,285,,"The WHO will continue to work with the Government of Vietnam to plan for and transition towards endemic #COVID19 &amp; learning to ""live safely with the virus"" over the long term, even when there are new surges in the future, Dr.   has affirmed.
"
2022-01-01 11:41:46+00:00,VN,Viet Nam,,,Viet Nam Government Portal,,False,3887,31885,625,,UNDP Senior Economist: Viet Nam’s growth rates of 6.3% in 2022 and 6.8% in 2023 are feasible but it depends on what happens w/ #COVID19 pandemic  
2021-12-31 08:17:53+00:00,VN,Viet Nam,,,Vietnam News Agency,,False,0,1,15,,"#Vietnam  reports more #Omicron cases. 
#COVID19 "
2021-12-26 11:52:27+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40777,1065,,"#Vietnam records 15,218 new #COVID19 cases, 207 deaths in 62 out of 63 provinces, cities
"
2021-12-24 12:40:07+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40779,1065,,"#Vietnam registers 16,157 new #COVID19 infections, 235 coronavirus-related fatalities
"
2021-12-30 08:00:18+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40772,1065,,"#Vietnam, #WorldBank sign $221mn loan deal for recovery from #COVID19
"
2021-12-30 10:55:01+00:00,VN,Viet Nam,,,Tuoi Tre News,,False,3,40772,1065,,"#Vietnam’s homegrown #COVID19 vaccine candidate 52% effective against symptomatic conditions
"
2021-12-30 15:42:37+00:00,VN,Viet Nam,,,ChileTranslator,,False,1495,19,270,,So proud to get my certificate for COVID-19 on   #COVID19
2021-12-03 03:19:53+00:00,VN,Viet Nam,,2011-03-08 10:14:44+00:00,Tuoi Tre News,Twitter Web App,,3,39290,1065,False," health body sees threefold higher risk of reinfection from #Omicron
"
2022-03-03 01:18:40,VN,Viet Nam,1499192501131169792,2013-11-13 00:42:08,Marcus Down,Twitter for iPhone,False,6990,1479,615,False,"Perhaps we can collectively extinguish the narrative that #Omicron is mild. 

Healthy individuals, with no pre-exis… "
2022-02-21 17:41:36,VN,Viet Nam,1495815985471062017,2010-03-19 04:04:02,Duke,Twitter Web App,False,26,1,23,False,"""Sadly the virus itself particularly the variant called Omicron is a type of vaccine, creates both B cell and T cel… "
