tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-26 17:19:09+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1006,1028,,#COVID19 #Research #References (December 26 ’21)  on 
2021-12-26 21:03:07+00:00,IT,Italy,,,BoltPadsClips Fan4Life,,False,5002,70,394,,"8-6  at 3-11  as 12.5-point favorites lay an egg. #Chargers now out of Top 7 in #AFC and lose control of their own destiny for  playoffs. Both teams with #COVID19 issues, so no one can use that as an excuse.
#LACvsHOU #GoBolts #BoltUp "
2021-12-28 18:00:01+00:00,IT,Italy,,,FutureFoodInstitute,,False,5468,10061,2248,,"#Foodsafety should always be the top priority for #food businesses, but the #COVID19 pandemic has thrown our industry some major curveballs, creating new challenges around safety efforts.  
"
2021-12-24 08:44:40+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1007,1028,,"#China reported today  56 new local #covid19 cases: 52 in #Shaanxi, 1 in #Zhejiang, 1 in #Guangdong, 1 in #Guangxi, 1 in #Shanxi, "
2021-12-28 20:37:29+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1006,1028,,"#Italy reports 202 #COVID19 #deaths on Tuesday, 78,313 new cases  #news #feedly"
2021-12-28 07:37:55+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1006,1028,,"#Omicron variant #covid19 surges:  #Record breaking days in #France, #Italy, #Australia, "
2021-12-24 07:58:51+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1007,1028,,An #oral #SARS-CoV-2 #Mpro #inhibitor clinical candidate for the #treatment of #COVID19 
2021-12-23 14:54:57+00:00,IT,Italy,,,"Giovanni Landoni, MD",,False,3952,1678,368,,"Among nonhospitalized pts at high risk for #Covid19 progression, a 3-day course of remdesivir resulted in an 87% lower risk of hospitalization or death than placebo.
Early Remdesivir to Prevent Progression to Severe Covid-19 in Outpatients | NEJM "
2021-12-28 16:56:11+00:00,IT,Italy,,,Giuseppe Michieli,,False,15364,1006,1028,,#COVID19 #Research #References (December 28 ’21)  on 
2021-12-31 16:09:46+00:00,IT,Italy,,,GF Vigneri,,False,4543,1422,1604,,"I just published ""Do we deserve a better year?""    #NewYear2022 #medium #COVID19 #Writer #WritingCommunity #NewYear_AsYouWish"
