tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-31 15:40:22+00:00,FJ,Fiji,,,Milla Vaha,,False,9401,472,294,,"Thanks to Day 5 test-to-release, we are free for the last hours of 2021 🥳🍾🎉 Happy New Year for everyone near and far - see you all in 2020! #NewYear2022 #CovidTesting #COVID19 #happy"
2021-12-29 04:51:03+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"There is now a substantial community transmission of COVID-19 in the Northern Division.
#FBCNews  #FijiNews #Fiji  #FJunited   #COVID19 
More:  "
2021-12-28 22:45:48+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"The Ministry of Health is considering reintroducing some base measures to curb the increasing number of COVID-19 infections.
#FBCNews  #FijiNews #Fiji  #FJunited   #COVID19 
More:  "
2021-12-26 23:30:46+00:00,FJ,Fiji,,,The Fiji Times,,False,313,86387,733,,"#COVID19 Vanua Levu business operators said that police have directed them to cancel parties and events scheduled for the New Year. 

"
2021-12-28 22:48:22+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"Indoor gatherings is a cause of concern for the Ministry of Health as it poses a high risk for COVID-19 transmission.
#FBCNews  #FijiNews #Fiji  #FJunited   #COVID19 
More:  "
2021-12-29 22:15:51+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"Maritime shipping measures to be strengthened
#FBCNews  #FijiNews #Fiji  #FJunited   #COVID19  
More:  "
2021-12-29 22:00:59+00:00,FJ,Fiji,,,U.S. Embassy Suva,,True,2233,17537,692,,"The U.S. has provided 350 million #COVID19 vaccine doses and nearly $20 billion in assistance to combat COVID-19 globally. This assistance is rooted in science, based on need, in collaboration with international and regional institutions, and with no political strings attached. "
2021-12-25 03:40:58+00:00,FJ,Fiji,,,The Fiji Times,,False,313,86388,733,,"#INTERNATIONALNEWS The Biden administration will lift travel restrictions on eight southern African countries imposed last month over concerns about the fast-spreading COVID-19 Omicron variant, the White House said Friday. #COVID19 #Omicron 

"
2021-12-28 05:48:59+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"A #Sydney lab has told hundreds of people they did not have COVID when they in fact had tested positive, amid soaring infections in the area.
#COVID19 
More:  "
2021-12-31 04:36:54+00:00,FJ,Fiji,,,United Nations in the Pacific,,False,9612,9251,1049,,"Our UN family in Fiji 🇫🇯 , Solomon Islands 🇸🇧 , Tonga 🇹🇴 Tuvalu 🇹🇻, &amp; Vanuatu 🇻🇺, wish you a Happy New Year! 2021 has been a year of many tests, including #COVID19 &amp; the #climatecrisis. As we voyage together into 2022, we look forward to it being a year of recovery &amp; rebuilding. "
2021-12-28 22:47:19+00:00,FJ,Fiji,,,FBC News Fiji,,True,1653,38070,279,,"The Ministry of Health is now preparing hospitals for any likely surge in COVID-19 cases.
#FBCNews  #FijiNews #Fiji  #FJunited   #COVID19 
More:  "
