tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-26 10:56:19+00:00,FR,France,,,M S Nila,,False,66368,832,166,,"25th December 2021
In France total cases of #Covid19 104,000
😦😦 day by day, covid 19 is increasing a lot
#Omicron making us tensed "
2021-12-26 13:27:50+00:00,FR,France,,,MAXIMILIEN Pedemonte,,False,136812,434,4998,,"jxdn - Crack My Skull (Video)  via 
“If Cinderella couldn't look better
I just met her, I'm such a loser
Put my heart inside a blender
I swear I love her, swear I love her
Handcuff me, don't leave me
Locked up, I'm guilty”
#SundayThoughts #COVID19"
2021-12-23 20:54:44+00:00,FR,France,,,Alexandre Santerne 🇪🇺,,False,909,554,230,,"Right now, my #Twitter looks like this:
- #WebbFliesAriane 
- #JWSTLaunch 
- #VA256
- 🚀🛰️👍🤞
- hexagons everywhere (in Christmas trees, cakes, ...)
- #Ariane5 
- Congrats to the blue-truck driver !
Awesome, almost no #COVID19. Folks, let's keep it this way...
🚀🎅"
2021-12-27 08:22:24+00:00,FR,France,,,Benjamin Thoreau,,False,298,437,423,,"#COVID19  #ventilation : Although in the absence of randomized controlled trial, non-invasive ventilation (#NIV) is associated with a higher mortality at 90 days. RCT are needed. 
 "
2021-12-24 14:01:56+00:00,FR,France,,,FRANCE 24 English,,True,910,311158,1124,," #France 🇫🇷 on Friday recommended that adults receive a #Covid19 booster vaccination three months after their initial jabs 💉

This is a reduction from the guideline of five months to better fight the #Omicron 🦠variant.

"
2021-12-29 10:32:01+00:00,FR,France,,,INEDEng,,False,11,132,154,,"At the beginning of the #COVID19 pandemic, INED created a bilingual platform dedicated to international data on the demography of deaths related to the virus. J-M. Robine, researcher at Inserm and scientific advisor at INED, describes it in a video.
➡️"
2021-12-26 10:07:14+00:00,FR,France,,,Greg Arthmer,,False,2907,452,332,,"#COVID19France #covidchristmas #Forbes #COVID19 ""When a doctor refuses money, even the most ethical ones, you usually start driving a good bargain with the undertaker"".
"
2021-12-28 12:40:00+00:00,FR,France,,,FRANCE 24 English,,True,910,311154,1124,,🇫🇷 🦠 France 24's  asked Chief economist at   what the middleground is between allowing people go to work and protecting them from getting contaminated with #covid19 ⤵️ 
2021-12-28 12:29:35+00:00,FR,France,,,Mehdi Oubaita,,False,1589,39,598,,"Me after the booster shot 💉💉💉 
#Hattrick #COVID19 "
2021-12-23 14:06:04+00:00,FR,France,,,Miguel 🪐,,False,3981,1249,384,,"With the surge of the new Omicron variant, which is less susceptible to vaccines, demand for testing is back... and it is outstripping supply. #COVID19
"
2021-12-23 16:49:27+00:00,FR,France,,,Denise Silber - Doctors 2.0 - VRforHealth,,False,19392,21376,13940,,Fear of needles? #COVID19   #vr #VirtualReality Check out 
2021-12-31 23:34:56+00:00,FR,France,,,Alphacit Newim,,False,278,40,97,, Poor them 😅 🛑💥 #COVID19
2021-12-28 11:06:15+00:00,FR,France,,,Belgian Permanent Mission to the OECD and UNESCO,,True,1451,981,403,,"A productive year at #OECD with ground-breaking work on #COVID19 recovery, taxation, digital economy, gender and much more 👏 "
2021-12-30 19:42:45+00:00,FR,France,,,Toulouse Walking Tours,,False,7738,328,723,,New #COVID19 protocol applicable in #Toulouse for #NewYearsEve 
2021-12-28 11:03:43+00:00,FR,France,,,Jay Luckoo,,False,8543,180,208,,"7 years later and now you have to wear a mask to work 🤦🏽‍♂️😑
#COVID19 #mask #shitdidhappen "
2021-12-30 07:03:15+00:00,FR,France,,,Giuseppe Baggio,,False,37172,744,536,,"29/12/2021 #France Queues form in front of test stands as country records over 200,000 new COVID-19 cases
#COVID19 #Omicron #test #PassSanitaires #greenpass #SuperGreenPass #Vaccin #Greece #Italia #Touristes ⤵️
 "
2021-12-29 18:18:40+00:00,FR,France,,,lisa_studiom80,,False,63263,1484,1837,,"HUNDREDS of scientists worked on mRNA vaccines before - ironically - #COVID19 provided a breakthrough.
Robert Malone DID play a key role ( but to call him THE inventor of the mRNA vaccine is both historically inaccurate and insulting. "
2021-12-28 09:11:52+00:00,FR,France,,,Gérard Al-Fil,,False,3720,1120,1445,,"   #Merkel has ruined #Germany:
#inflation at 30-yr high
#internet coverage &amp; speed lower than in Dubai
#women's share in parliament @ 33pct &amp; below #EU avg 
#COVID19 out of control in GER although the #WEF claimed that all countries governed by women have defeated the pandemic..."
