tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2022-01-01 05:22:17+00:00,AR,Argentina,,,Stephen Shaw,,False,10672,757,806,," They are hospitalized, and they have covid. The hospital still has to treat them with a covid protocol... because they have covid and they are hospitalized. It really is that simple and makes sense. You can't have people with covid infecting other hospitalized patients #COVID19"
2021-12-29 16:10:30+00:00,AR,Argentina,,,Juan Jaworski,,False,5952,432,426,,"   and one day people will understand that reds and blues are part of the same football team (defense and attack formations)...

and here we are the whole world surviving #COVID19 #ClimateCrisis #war and more...

politics"
2021-12-24 22:03:50+00:00,AR,Argentina,,,Finding Veracity,,False,2139,11814,11948,,"Dec 24 (Reuters) Thousands of Flights Scrapped Globally as Omicron Mars Christmas Weekend

&gt; 4,000 flights over Xmas weekend, as #Covid19 infections driven by Omicron variant create uncertainty, misery for holiday

"
2021-12-30 07:57:06+00:00,AR,Argentina,,,Juan Jaworski,,False,5952,432,426,,"  ASYMPTOMATIC transmission: every shitty contention protocol (worldwide) is missing this key point

together with non-assuming airborne transmission are the biggest failures of  #covid19 guidelines

(and COVAX failed too)"
2021-12-24 22:07:12+00:00,AR,Argentina,,,"Steve Oizumi, MBA",,False,1020,72,1077,,Funny how the #GOP thinks #CDC #COVID19 guidelines n guardrails at sharp corners with steep cliffs are mandates. #Scotus makes those decisions.
2021-12-26 23:59:34+00:00,AR,Argentina,,,Finding Veracity,,False,2139,11814,11948,,"Military Bowl canceled for 2nd year after spike in #Covid19 cases among Boston College players

"
2021-12-31 17:28:49+00:00,AR,Argentina,,,C. Solari🌿🦎🔬🖖🏽⚽️🇦🇷,,False,37014,1349,1209,,"Quite different from previous waves
#Covid19 #Omicron  "
2021-12-28 14:10:43+00:00,AR,Argentina,,,Santa Fe Reporter,,True,1300,26893,1605,,"New Mexico health officials have issued a new #COVID19 count and Santa Fe County has the third highest number of new cases, with the 87507 Zip code also making the top 10 list of areas with the most cases. Find the news of the day here with   "
2021-12-23 12:58:06+00:00,AR,Argentina,,,Anita Pouchard Serra,,False,3107,1484,1381,,"The story of the ""guerreras"", immigrant women at the front of #COVID19 in Buenos Aires slum done thanks to the  and  has been awarded by a 2nd prize at  contest around migrations coverage.  #migrarnoesdelito "
2021-12-30 16:20:28+00:00,AR,Argentina,,,Santa Fe Reporter,,True,1300,26893,1605,,"Need some ideas for NYE? Morning Word has you covered, along with a chance to win a six-month mailed subscription to SFR. Find updates about how it's going with #COVID19 in NM and Santa Fe, plus more in our final installation of the year from   "
