tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-26 08:08:58+00:00,OM,Oman,,,WHO OMAN,,True,936,7630,134,,"Getting vaccinated against COVID-19 could save your life 
Unvaccinated people have at least 10 times higher risk of death from #COVID19 then someone who has been vaccinated 
Vaccines 💉💉work to save lives 
Don’t delay
Get vaccinated 💉against #COVID19 as soon as it’s your turn "
2021-12-29 11:42:24+00:00,OM,Oman,,,Oman Pocket Guide,,False,323,3009,2596,,"Oman | Covid-19 Update (502)
credit: MOH
#OmanToRecovery #StaySafe #covid19
#Oman #travel #MyOman #TravelToOman #OmanPocketGuide "
2021-12-25 09:39:31+00:00,OM,Oman,,,Oman Observer 🇴🇲,,True,6632,97242,5,,"The Ministry of Heritage and Tourism (MHT) issued a violation against two hotel establishments for not following precautionary measures to limit the spread of the Covid-19...

 #OmanObserver #Oman #COVID19 #OmicronVariant
"
2021-12-29 10:16:32+00:00,OM,Oman,,,Lakshmi Kothaneth,,False,2748,297,159,,Covid 19 today in Oman  #COVID19 #oman 
2021-12-25 08:55:00+00:00,OM,Oman,,,Oman Observer 🇴🇲,,True,6632,97242,5,,"The rise of the #OmicronVariant  heralded on Friday another pandemic-tinged #Christmas for billions, with Santa's arrival and longed-for family reunions overshadowed by the prospect of yet more restrictions:
#OmanObserver #Oman #COVID19 #OmicronVirus
 "
2021-12-26 05:22:04+00:00,OM,Oman,,,WHO OMAN,,True,936,7630,134,,"COVID-19 virus spreads most easily in indoor spaces, especially in settings with poor ventilation. 
Watch this 📽️ to find out how to protect yourself &amp; others 👇.
        
#Covid19 #coronavirus "
2021-12-27 11:37:47+00:00,OM,Oman,,,Oman Pocket Guide,,False,323,3009,2596,,"Oman | Covid-19 Update (500)
credit: MOH
#OmanToRecovery #StaySafe #covid19
#Oman #travel #MyOman #TravelToOman #OmanPocketGuide "
2021-12-27 04:11:49+00:00,OM,Oman,,,WHO OMAN,,True,936,7630,134,,"Watch this animation to find out why a mask 😷that fits your face is important. Stay safe and close the gaps. 
#COVID19 #coronavirus 
      
Learn more on:  "
2021-12-29 05:27:44+00:00,OM,Oman,,,Jindal Shadeed || جندال شديد,,False,1748,1497,38,,"Healthcare workers and scientists have done their part to alleviate COVID-19 pandemic.

#JindalShadeed is fully committed by joining hands with government of #Oman for elimination of #COVID19 pandemic by providing #boosterdose to its employees after completion of first two jabs. "
2021-12-27 10:54:20+00:00,OM,Oman,,,Oman Observer 🇴🇲,,True,6632,97243,5,,"Hospital inpatients likely to go up: MOH 
 #Omicron #COVID19 
"
2021-12-23 17:18:42+00:00,OM,Oman,,,ﷴ🔸اڶـ؏ـامڔېْ,,False,4621,1920,532,,Instructions to follow when taking the #COVID19 vaccine 
2021-12-26 14:48:08+00:00,OM,Oman,,,OER Live,,False,530,2838,410,,"The Supreme Committee has issued new decisions concerning passengers entering Oman from its land, sea, and air borders. Click below to read more...

#Oman #Muscat #COVID19 #Entry #Airport #Omicron #News  #SupremeCommittee #OERLive 

"
2021-12-25 07:37:42+00:00,OM,Oman,,,Oman Observer 🇴🇲,,True,6632,97242,5,,"The Ministry of Heritage and Tourism (MHT) issued a violation against a hotel establishment for not following precautionary measures to limit the spread of the Covid-19... 
 #OmanObserver #Oman #COVID19 #OmicronVariant 
"
2021-12-26 05:57:12+00:00,OM,Oman,,,جامعة ظفار,,False,15,5927,0,,"Anoncement
We remind students who did not replace yet their old DU ID cards with the new ones (with the “Vaccinated” logo ) of the necessity to do so quickly through the student Affair building, second floor .

#Dhofaruniversity #COVID19 #Salalah  #Oman "
2021-12-25 09:07:00+00:00,OM,Oman,,,Oman Observer 🇴🇲,,True,6632,97242,5,,"Airline carriers globally scrapped at least 2,401 flights on Friday, which fell on Christmas Eve and is typically a heavy day for air travel
#OmanObserver #Oman #COVID19 #OmicronVirus
"
2021-12-27 15:54:36+00:00,OM,Oman,,,WHO OMAN,,True,936,7630,134,,"Omicron Variant of Concern
WHAT YOU NEED TO KNOW!
Corticosteroids and IL6 Receptor Blockers remain effective for treatment of severe #Covid19
#Omicron #Coronavirus "
