tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-26 15:08:40+00:00,PR,Puerto Rico,,,Ricky2pr,,False,434,85,405,," wrong! the majority has always brought along vast majority of non-believers (smoking cigarettes for example). but when race in injected in 🇺🇸 all bets r off. whites have been feed the notion #COVID19 is a non-white virus, by capita.   "
2021-12-28 19:12:00+00:00,PR,Puerto Rico,,,Pasquines,,False,2853,1075,5001,,#PuertoRico's  has also joined the neighboring #USVirginIslands in reinstating #COVID19 restrictions following the most recent wave of cases. 
2022-01-01 02:17:05+00:00,PR,Puerto Rico,,,JD,,False,5627,77,76,,"#happynewyear2022 May this year be more awesome and less #covid19 #PS5Share, #JustDieAlready "
2021-12-24 12:42:35+00:00,PR,Puerto Rico,,,🟣 Mister J.B./Don José Bernardo .·. 🦥,,False,7159,1227,2102,,"If you can't take an antigen test the same day before you meet, please AVOID meeting. Maintaining traditions at all costs in the midst of this emergency, putting your health and the health of others at risk, DOES NOT MAKE SENSE. 
🎁 HOPE AND SOCIAL AWARENESS. 
#SARSCoV2 #COVID19"
2021-12-30 11:57:17+00:00,PR,Puerto Rico,,,AC Figueroa💙,,False,61963,570,2743,,"Contagion % in #PuertoRico is 30.46%. There's nothing that I like more than seeing tourists enjoying the island (responsibly and respectfully!), but my advice is that if you don't have any important business here DON'T COME FOR NOW. #COVID19 #covidvariant #OmicronVariant "
2021-12-28 13:13:45+00:00,PR,Puerto Rico,,,🟣 Mister J.B./Don José Bernardo .·. 🦥,,False,7159,1227,2102,,"Have you read the CDC’s new guidance to drop isolation of positives to five days without a negative test written by Thanos?

#SARSCoV2 #CovidTesting #COVID19 #COVIDisAirborne #LongCovid #LongCovidKids #Thanos #PublicHealth"
2022-01-01 00:20:16+00:00,PR,Puerto Rico,,,Mrs. Queen Grayson Fraser Emerson Grant,,False,96,1,72,,What was life like before Covid? I can’t remember. #COVID19
2022-01-01 00:10:43+00:00,PR,Puerto Rico,,,Limary Gutierrez Translator/Traductora,,False,5646,97,85,,The third saddest outcome of the #COVID19 #pandemic is learning so many ignorant people were living among us undetected. Who would have thought such a large portion of society was pathologically delusional? 
2021-12-23 19:27:06+00:00,PR,Puerto Rico,,,Prof. Abel Méndez,,False,1908,20473,15826,,We are still at war against the microbial invader. Get your weapons and stay on your trenches. 🙁 #Covid19 #Omicron
2021-12-28 02:06:58+00:00,PR,Puerto Rico,,,Pasquines,,False,2853,1075,5001,,"Facing the rise in cases due to the #COVID19 Omicron variant, the #USVirginIslands is reinstating some restrictions to stem the tide of new cases. "
2021-12-30 12:05:37+00:00,PR,Puerto Rico,,,Limary Gutierrez Translator/Traductora,,False,5646,97,85,,Is this true? Police in #NYC arresting those without #VaccinePassport in a restaurant? This seems bizarre even for #NewYorkCity #COVID19 
2021-12-24 19:18:45+00:00,PR,Puerto Rico,,,Peter Schiff,,True,184,615424,267,,"I'm sure these airline workers were all looking forward to working on Christmas Eve and Christmas Day. But they all just happened to catch #COVID19 and now they're stuck at home with their families.
"
2021-12-27 14:20:56+00:00,PR,Puerto Rico,,,Christian D. Hernandez Estela,,False,14308,305,2271,,"“But I’m vaccinated how did I get COVID?” 

People who are vaccinated can still get #COVID19 , however the vaccine lowers your chance to getting worst. I highly recommend that people get vaccinated don’t do it for you but for those who you live with."
2021-12-31 13:27:15+00:00,PR,Puerto Rico,,,AC Figueroa💙,,False,61963,570,2743,,"Now on positive news... well, not so positive, I'm struggling to restrain myself of start watching #CobraKaiSeason4 early in the day. Things are bad here with #COVID19 in Puerto Rico, and I want to receive 2022 watching it with my brother and stay in the house. "
2021-12-29 23:31:45+00:00,PR,Puerto Rico,,,🎅Tony Barrios 🤴🏿,,False,9463,1443,989,,What in the #COVID19 Fresh HELL are you talking about? 
