tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-24 12:26:33+00:00,BD,Bangladesh,,,DhakaTribune,,False,57,423307,195,,"#BREAKING&gt;&gt;&gt;&gt;&gt;&gt;&gt;

Daily test positivity rate jumps to 2.02% from 1.95% in 24 hours
#coronavirus #COVID19 

"
2022-01-01 08:45:21+00:00,BD,Bangladesh,,,Daily Lead Pakistan,,False,98,105,309,,"6 lost lives, 556 tested positive due to COVID-19 during last 24 hours 
#Corona #Coronavirus #Covid #COVID19 
"
2021-12-28 10:47:47+00:00,BD,Bangladesh,,,FAFEN,,True,10,27606,2,,"#FAFEN Calls for Proactive Measures to Safeguard People against #Omicron Variant
For detail, visit:  #COVID19 #Pakistan "
2021-12-28 07:25:17+00:00,BD,Bangladesh,,,The Business Standard,,False,30,4129,83,,#US   investigating nearly 70 #cruiseships hit by #Covid19 cases 
2021-12-31 15:25:23+00:00,BD,Bangladesh,,,DhakaTribune,,False,57,423278,195,,"EPI staff would provide the first dose in January and the second dose in February

#Covid19 #Vaccination #Health"
2021-12-23 12:00:02+00:00,BD,Bangladesh,,,BRAC Institute of Governance and Development,,False,1276,1280,978,,"#COVID19's impact on the #youth of #Bangladesh has been systemic, deep and disproportionate. The #pandemic has been particularly hard on young women, who had a very low job recovery rate and had poorer mental health, compared to young men. 

Full report ➡️  "
2021-12-30 07:22:40+00:00,BD,Bangladesh,,,DhakaTribune,,False,57,423280,195,,"The lower middle class are turning into lower class as an effect of the Covid-19 pandemic
#Pandemic #COVID19 "
2021-12-29 03:16:00+00:00,BD,Bangladesh,,,APP 🇵🇰,,False,40,88987,469,,"Statistics  29 Dec 2021: 
Total Tests in Last 24 Hours: 39,739
Positive Cases: 348
Positivity %: 0.87%
Deaths :6
Patients on Critical Care: 648

#APPNews #Covid19 #Covid  "
2021-12-28 06:58:03+00:00,BD,Bangladesh,,,District Health Officer Islamabad,,False,1660,12058,179,,"Islamabad: Daily update on #coronavirus cases,  28th December, 2021.

•  4,357 tests conducted in the last 24 hours
•  23 people tested #COVID19 positive
•Positivity Ratio 0.62%
#COVIDEmergency2021 
#GetVaccinated  "" "
2021-12-23 14:35:08+00:00,BD,Bangladesh,,,DhakaTribune,,False,57,423310,195,,"Although revenue collection has increased from last year, it is still lagging far behind the government's target

#COVID19  #recovery  "
2021-12-24 06:40:00+00:00,BD,Bangladesh,,,COMSATS Telehealth,,False,881,213,109,,"#vaccination 💉 process should be accelerated to stop the menace of #COVID19 &amp; it's #variants . Remember that #coronavirus doesn't end until YOU #GetVaccinated .

#Corona #COVID #Omicron #Delta #pandemic #vaccine #vaccines #Health #healthcare #healthy #OmicronVariant #GlobalGoals"
2021-12-31 08:52:11+00:00,BD,Bangladesh,,,COMSATS Telehealth,,False,881,213,109,,"Another post #COVID19 yr ends. CTH glimpse of the yr 2021📆:
-teleconsultations to thousands
-capacity building activities
-commemoration of days with field experts
-collaborations for expansion of out reach

#BYE2021 #NewYear 🎉     "
2021-12-31 16:47:57+00:00,BD,Bangladesh,,,HEM/ONC IS DISTANCE SOCIALIZING,,False,12170,936,773,,"More Sleep
More Tea
More Books
More Sunsets
More Creating
More Long Walks
More Laugher
More Hugs
More Dreaming
More Road Trips
More Fun
More Love
Insha'Allah
Here's a good bye to 2021 and a welcome to 2022
Hopefully this year will be last we hear of #COVID19
Insha'Allah"
2021-12-27 11:37:33+00:00,BD,Bangladesh,,,BRAC Institute of Governance and Development,,False,1276,1280,977,,"🗓 International Day of Epidemic Preparedness: How do we build back better?

#PreventEpidemics #COVID19 "
2021-12-31 14:51:13+00:00,BD,Bangladesh,,,APP 🇵🇰,,False,40,88984,469,,"70 mln people fully vaccinated against COVID-19 by end 2021: PM

#APPNews #PMImranKhan #COVID19   

 via "
2021-12-30 04:46:35+00:00,BD,Bangladesh,,,The Business Standard,,False,30,4127,83,,"#France  hit by 'dizzying' daily record of over 200,000 new #COVID19  cases "
2021-12-28 10:30:47+00:00,BD,Bangladesh,,,"Ministry of Foreign Affairs, Bangladesh",,False,509,7353,218,,"Bangladesh #COVID19  update on 28 December:                  
Infection rate:2.16%
Number of deaths in last 24 hours:01
Death Rate in Bangladesh:1.77%
Death Rate (Global):1.93%
1st dose vaccine administered:51.90 % of target people
2nd dose: 35.87 %"
