tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-31 15:31:03+00:00,CH,Switzerland,,,Maria Van Kerkhove,,True,7692,92733,586,,"2️⃣ years ago today, we picked up the  report of a cluster of pneumonia of unknown etiology in Wuhan, China… watch this video (first 5 min) of how  picked this up &amp; swung into action… keep watching to see the global #COVID19 response and way forward ⬇️ "
2021-12-29 11:11:31+00:00,CH,Switzerland,,,Mirco Wilhelm,,False,69774,2935,1776,,"#Covid19 Can Stay in Body for Months, Study Finds - Bloomberg "
2021-12-24 12:27:40+00:00,CH,Switzerland,,,ACEMAXX ANALYTICS,,False,1229,4104,364,,"#COVID19 #Omicron Europe is far from #travel recovery, chart Laura Wright  live "
2021-12-27 23:38:32+00:00,CH,Switzerland,,,Nuno Luciano,,False,4668,349,590,,"|||——/////////////////////——&gt;
#who #pharma #guineapig 
#Covid19 #Vaccine #Tracker
Reducing Health Care Spending 
while Big Pharma takes it all.
Globally, people are used as guinea pigs to test gene therapy - an experimental technique that uses genes to treat or prevent disease. "
2021-12-30 06:45:00+00:00,CH,Switzerland,,,EJIHPE MDPI,,False,127,201,970,,"Welcome to read👉""#Perceptions &amp; #DegreeofSatisfaction with the #HealthSciences University #EducationalCommunity Regarding the Measures Adopted for the Prevention of #COVID19 in the #AcademicYear 2020/2021"" by Ó. Rodríguez-Nogueira et al.: 
#highereducation "
2021-12-30 16:10:17+00:00,CH,Switzerland,,,Tedros Adhanom Ghebreyesus,,True,15366,1631468,1444,,"I believe we have the power to take back control of our lives, using the lessons learned from the past 2 years of fighting #COVID19 &amp; driven by the heavy losses the 🌍 has suffered, to end the pandemic in 2022. This will only be possible if we #ACTogether.
"
2021-12-24 08:38:38+00:00,CH,Switzerland,,,eNotfallmedizin,,False,88,160,19,,Effectiveness and Utility of #VirtualReality #Simulation as an Educational Tool for Safe Performance of #COVID19 Diagnostics       
2021-12-30 06:42:13+00:00,CH,Switzerland,,,Mirco Wilhelm,,False,69774,2935,1776,,Exclusive: #CreditSuisse finds second breach of #COVID19 rules by chairman | Reuters 
2021-12-23 12:05:03+00:00,CH,Switzerland,,,GAIN,,True,6541,31558,1524,,"Markets are popular and provide access to fresh affordable and food. 
They are also #COVID19 high exposure areas. 
Here are simple steps you can take to keep yourself safe when visiting markets this festive season.
Watch📺   "
2021-12-27 13:30:11+00:00,CH,Switzerland,,,Russian Mission in Geneva,,True,6392,11715,596,,"December 2⃣7⃣ is the International Day of #EpidemicPreparedness  

In 2021 we've achieved commendable progress in tackling #COVID19. But the global fight is far from over! Together #WeCanDoThis

To every medical worker - we can't 🙏 you enough for your hard and selfless efforts! "
2021-12-30 08:22:01+00:00,CH,Switzerland,,,Petra Zimmermann,,False,40,181,145,,"Differences in innate, adaptive and heterologous
immunity and in endothelial and clotting function, are the most likely mechanisms underlying the marked age
gradient in COVID severity   
#SARSCoV2 #children #COVID19 #MCRI 
A summary:
"
2021-12-27 13:15:06+00:00,CH,Switzerland,,,Unitaid,,True,4817,18131,1488,,"As #COVID19 accelerates demand for improving how we work together and use limited resources, agencies of the SDG3 Global Action Plan have been supporting countries to accelerate progress towards healthy lives and well-being for all. #SDG3GAP

Learn more at  "
2021-12-24 12:29:29+00:00,CH,Switzerland,,,ACEMAXX ANALYTICS,,False,1229,4104,364,,"#COVID19 #Omicron and US #flight cancellations, chart Laura Wright  live "
2022-01-01 10:32:32+00:00,CH,Switzerland,,,Maria Van Kerkhove,,True,7692,92732,586,,"Happy new year. Here’s to working hard toward a better, fairer, safer, more equitable, healthier 2022… and ending the acute phase of the #COVID19 pandemic.

Let’s do this.  "
2021-12-29 11:02:20+00:00,CH,Switzerland,,,UNCTAD,,True,14682,201220,1284,,"5⃣

In May,  released new #eCommerce estimates.

The data showed that, amid #COVID19 lockdowns and restrictions, digital commerce increased its share of global retails sales from 16% to 19% in 2020.  "
2021-12-23 20:42:14+00:00,CH,Switzerland,,,GrenadaWTO 🇬🇩,,True,0,11109,12,,"H.E. Justin Sun travelled to #Dominica to meet with Prime Minister  and engaged in constructive conversations over trade, new energy innovations, and digital solutions to mitigate the economic disruption brought by #COVID19. "
2021-12-30 10:07:22+00:00,CH,Switzerland,,,FRoitberg_MD,,False,3337,784,894,," join us to map, measure, review, and support:
📚 evidence based
🎯 outcome related (patient and health systems)
🏥public policies and resilient health system 👉🏽oriented 
Urgent to mitigate #COVID19 impact on 
🔬Dx 💊 👨‍⚕️Tt 🏥FUP "
2021-12-29 09:49:51+00:00,CH,Switzerland,,,"Tatiana Valovaya, Director-General of UN Geneva",,False,1882,17243,881,,"Despite #COVID19, #InternationalGeneva hosted the 2nd edition of  I had the pleasure to attend the event, together with my colleague  It was inspiring to see so many actors discussing the importance of sustainable finance to achieve the #SDGs. "
2021-12-27 11:00:33+00:00,CH,Switzerland,,,Unitaid,,True,4817,18131,1488,,"23 million children missed out on vaccination in 2020, 3.7 million more than in 2019 &amp; the highest number since 2009. 

Fully funding the  will support the fight against #COVID19 globally, to help get routine immunization back on track everywhere. "
2021-12-29 09:51:33+00:00,CH,Switzerland,,,Medicina MDPI,,False,155,241,106,,"#mdpimedicina 
Sodium Toxicity in the Nutritional Epidemiology and Nutritional Immunology of COVID-19 from Ronald B. Brown  at  via  

#COVID19 #Nutrition #SodiumToxicity "
2021-12-28 18:12:07+00:00,CH,Switzerland,,,IFRC,,True,14917,207070,1670,,"Booster doses are just as safe as the original vaccine series. 

#Covid19 "
2021-12-28 18:12:08+00:00,CH,Switzerland,,,IFRC,,True,14917,207070,1670,,"Do your part to stop the spread of covid-19!  

Follow these protective measures even if you're fully vaccinated.

#Covid19 "
2021-12-24 11:18:36+00:00,CH,Switzerland,,,FR,,False,802,261,323,,"new christmas tradition. sending negative test results in family chat with notes like: see ya later.
Not my favorite ""tradition"", but at least a meaningful one. #COVID19 #Christmas "
2021-12-24 09:54:46+00:00,CH,Switzerland,,,"Ani Shakarishvili,MD",,False,13031,5314,2414,,"Hopeful... #Covid19 #omicron turnaround in Austria, Germany, Denmark, Norway, South Africa, Switzerland....
(Data: Our World in Data) "
2021-12-29 09:56:28+00:00,CH,Switzerland,,,Biomedicines,,False,1332,493,359,,"Interested to know how #COVID19 affects the cardiovascular system?
Read more here:  "
2021-12-23 11:39:01+00:00,CH,Switzerland,,,EU at the UN - Geneva #MultilateralismMatters,,True,4924,23220,772,,"In February 2021, EU leaders agreed to work on an international treaty on pandemics, which was first proposed by  &amp;  of  This would reinforce preparedness for emergencies, learning the lessons of #COVID19. #MultilateralismMatters #StrongerTogether "
2021-12-30 07:32:17+00:00,CH,Switzerland,,,Armin,,False,18867,158,640,,Researchers from Hannover and Göttingen show that the histopathology in vascular tissue due to #Covid19 taken from dead victims of the disease differs from both #influenza and typical #coxsackie virus #myocarditis. While the blood… 
2021-12-26 00:45:00+00:00,CH,Switzerland,,,UN Geneva,,True,21272,717445,1874,,".#COVID19 has underlined more forcefully why the #SDGs are so important! They are the ultimate testament to what we can accomplish when we work together.

See how to take action 👉  "
2021-12-26 00:48:41+00:00,CH,Switzerland,,,Fatwa Idiots,,False,820,58,506,,The spread of #Omicron and #COVID19? It’s all the fault of #Israel and the #LGBTQ. Thanks to #Allah and the Imam of #AlAqsa we all are informed now! 
2021-12-27 12:03:03+00:00,CH,Switzerland,,,Jeff Smith on Air Pollution,,False,24918,7641,7399,,"  #SARSCoV2 #SARS2 hijacks &amp; causes DNA damage &amp; death to our lung cells. But, the same damage they cause after latching onto ace2 receptors -as visulized here- of the endothelial cells of our circulatory system &amp; other organs means that #Covid19 is also an #endothelial disease."
2021-12-28 12:18:17+00:00,CH,Switzerland,,,Maria Van Kerkhove,,True,7692,92736,586,,"Another great piece by ⁦  I so wish some of these weren’t true. 

10 lessons I’ve learned from the #Covid19 pandemic - STAT "
2021-12-27 12:03:14+00:00,CH,Switzerland,,,Jeff Smith on Air Pollution,,False,24918,7641,7399,,"#SARSCoV2 #SARS2 hijacks &amp; causes DNA damage &amp; death to our lung cells. But, the same damage they cause after latching onto ace2 receptors -as visulized here- of the endothelial cells of our circulatory system &amp; other organs means that #Covid19 is also an #endothelial disease. "
2021-12-29 09:17:21+00:00,CH,Switzerland,,,Biomedicines,,False,1332,493,359,,"Check out what is Long-Term Impact of #COVID19 
Read more on the following link:  "
2021-12-28 18:11:56+00:00,CH,Switzerland,,,IFRC,,True,14917,207070,1670,,"Should I get a booster if one is available?

#Covid19 "
2021-12-24 11:04:48+00:00,CH,Switzerland,,,Nicola Low #EveryDayCounts #StillFBPE,,False,52931,4911,1303,,"This 👇🏼 is absolutely how I feel trying to keep up with #COVID19 See our efforts  where we’ve indexed &gt;276,000 publications in just 2 years. Thanks  "
2021-12-30 18:58:44+00:00,CH,Switzerland,,,Tedros Adhanom Ghebreyesus,,True,15359,1631466,1444,,"Although #COVID19 threatens 2 decades of progress on health there have still been breakthroughs in 2021 with the world's first malaria vaccine &amp; polio on the brink of elimination.  will continue to work to advance #HealthForAll &amp; protect everyone, everywhere. "
2021-12-28 13:00:00+00:00,CH,Switzerland,,,UNCTAD,,True,14682,201220,1284,,"  7⃣

In June,  published the World Investment Report 2021, calculating that global foreign direct investment had plunged 35% in 2020. 

It projected world FDI flows would grow during the year but remain well below pre-#COVID19 levels.  "
2021-12-28 23:00:08+00:00,CH,Switzerland,,,AvDelphi,,False,16,1774,5003,,See how your airline is responding to the global pandemic #AvDelphi #COVID19 #CORONAVIRUS #Aviation #airline #passenger  
2021-12-28 13:05:04+00:00,CH,Switzerland,,,IFPMA,,True,2521,8062,1055,,These ‘19 Things To Know About The Vaccines’ could help you make an informed decision about #COVID19 vaccines. Spread the knowledge not the virus. Visit  #TeamVaccines #19ThingsToKnow 
2021-12-28 14:50:36+00:00,CH,Switzerland,,,Edward Kelley,,True,1080,3220,417,,"Vital stats (deaths in particular) &amp; health data (accurate hospital data) are problem in US in peacetime.
Giant problem in LMICs.
Monumental during #covid19.

Yet no plans for better death data in any global plan yet.

COVID-19 deaths obscured "
2021-12-31 15:25:00+00:00,CH,Switzerland,,,Samantha Bolton,,False,5868,1004,2636,,Yippee! Omicron is way weaker / really just a cold - as South African scientists said - it spreads faster but is weaker - #omicron should spell thé end of this stupid #covid19 virus - happy healthy new year to all! 
2021-12-28 23:00:06+00:00,CH,Switzerland,,,AvDelphi,,False,16,1774,5003,,Follow the global impact on Aviation from the COVID-19 pandemic #AvDelphi #COVID19 #CORONAVIRUS #Aviation #news  
2021-12-28 22:59:43+00:00,CH,Switzerland,,,Jeff Smith on Air Pollution,,False,24918,7641,7399,, I prefer that we track all #Covid19 hospitalizations rather than deaths. In the UK a small percentage of Omicron cases are intubated on ventilators.
2021-12-27 11:10:28+00:00,CH,Switzerland,,,Gaelle Mogli #SDGs,,False,14483,5462,5421,,"I believe this statement is important. Do you? 

« Let me be very clear: WHO is not against boosters. We’re against inequity. The priority must be to protect the least protected »

--   
#VaccinEquity #OnlyTogether #SDGs #solidarity #covid19 #booster  "
2021-12-31 06:41:03+00:00,CH,Switzerland,,,Richard Baldwin,,False,11025,32453,1026,,"Happy New Year’s Eve?
•

How the pandemic ends: what comes after Omicron?  #COVID19 #Omicron #2022NewYear "
2021-12-23 17:10:48+00:00,CH,Switzerland,,,UN International Computing Centre,,False,554,861,393,,Discover the  bots developed at UNICC’s RPA+ Centre of Excellence that are supporting the procurement of #covid19 vaccines &amp; other inspiring stories from some our Partners like   &amp;  in the  December newsletter 👇 
