tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-26 03:05:00+00:00,PH,Philippines,,,ABS-CBN News Sports,,True,10,125755,265,,"Tennis: Canada's Shapovalov tests positive for #COVID19 in Sydney

"
2021-12-31 13:16:28+00:00,PH,Philippines,,,Alburo Alburo and Associates Law Offices,,False,8,49,14,,"ADVISORY: Metro Manila returns to Alert Level 3 beginning Monday, January 3, until Saturday, January 15, 2022, Malacañang announced this Friday, December 31, 2021.

Stay safe, everyone!

#MetroManila
#AlertLevel3
#COVID19 "
2021-12-25 08:41:30+00:00,PH,Philippines,,,Ronie The Trubist,,False,6744,60,299,,"Lord God almighty, bless the victims of #OdettePH with the strength and encouragement they need to stay positive and resilient as they try to recover from the darkest Christmas of their lives as well as the continuing challenges brought by the #COVID19 pandemic. AMEN!!"
2021-12-29 02:27:03+00:00,PH,Philippines,,,ABS-CBN News,,True,1182,7868018,1065,,More than 1.3 million doses of Moderna #COVID19 vaccine purchased by the private sector arrived in the country this Wednesday morning. | via  #COVID19VaccinePH 
2021-12-31 12:21:25+00:00,PH,Philippines,,,Ventures Cebu,,False,6,35,61,,#COVID19 UPDATE 
2021-12-24 05:41:47+00:00,PH,Philippines,,,thecolorofred,,False,5389,56,321,,In #Halalan2022 as PH moves into #Covid19 recovery w goal of coming out stronger more competitive than before the call of the times is for Filipinos to choose and vote not based on personal bias or only for self interest but in the best interest of the nation.
2021-12-28 00:40:00+00:00,PH,Philippines,,,ABS-CBN News,,True,1182,7868102,1065,,NBA: Hawks to welcome back Trae Young from #COVID19 protocols 
2021-12-24 20:39:28+00:00,PH,Philippines,,,"🌈 deeply missed, beloved queen, Erzulie ❣🐈🐪🐘🐉",,False,105799,1676,2687,," Am hiding under the xmas tree today. Tomoz will deal with the world &amp; take on the assault of #COVID19 , vaccines, anti whatevers , politics... 🎄🤗🤞🏾Enjoy time out RD."
2021-12-30 00:28:11+00:00,PH,Philippines,,,Daily Tribune,,True,116,7740,347,,"Indianapolis Colts ( quarterback Carson Wentz has landed on the #COVID19 reserve list, but the unvaccinated player could be back in action on Sunday under revised National Football League ( guidelines.

READ MORE:


#Football 
#Indianapolis"
2021-12-24 14:49:21+00:00,PH,Philippines,,,ABS-CBN News,,True,1182,7868262,1065,,"Australia shortens booster wait as Omicron explosion turns holidays into chaos 

Thailand reports first #COVID19 Omicron cluster, cancels some New Year events "
