tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-29 13:38:11+00:00,RW,Rwanda,,,Rwanda Broadcasting Agency (RBA),,True,2302,288860,274,,"JUST IN: 
Rwanda has reduced the time one has to wait for the #COVID19 booster dose to three months from six months, according to the tweet from  

#VaccinateRwanda "
2021-12-31 10:23:39+00:00,RW,Rwanda,,,The Chronicles,,False,18,8614,12,,"UPDATE: Popular comedian and actor Kayitankore Ndjoli alias Kanyombya (in blue) found with 9 others shooting movie from location in Gatsibo district. None had #COVID19 test yet they travelled from Kigali. Each was fined Rwf 10,000 ($10) &amp; required to take mandatory PCR test "
2021-12-27 13:44:15+00:00,RW,Rwanda,,,The New Times (Rwanda),,True,465,320536,449,,"President #Kagame: One important way that we have sought to protect Rwandans is through a nation-wide vaccination against #Covid19. We thank all those who have been involved in this critical exercise, including our partners who have provided vaccines and other support. "
2021-12-27 19:25:37+00:00,RW,Rwanda,,,Candy Basomingera,,False,17525,2535,1672,,"Youth &amp; Women-led SMEs in the #Environment sector, impacted by the #Covid19 crisis? You can get support from👇🏽 #GreenRwanda #RwOT "
2021-12-29 12:13:05+00:00,RW,Rwanda,,,The New Times (Rwanda),,True,465,320518,449,,"JUST IN: Rwandans will now be eligible for a #Covid19 booster shot three months after their full course vaccination.

The Ministry of Health reduced the waiting time from six months in response to the latest surge of Omicron variant among vaccinated people. "
2021-12-31 11:28:10+00:00,RW,Rwanda,,,Nyarugenge District Hospital,,False,426,235,170,,"We continue our #COVID19  vaccination activities for children between 12-17 years old for the first and the second doze

It’s been more than a week and the activities will continue in a bid to keep up the fight against the pandemic

   "
2021-12-28 19:53:53+00:00,RW,Rwanda,,,Isabelle T2,,False,31025,5230,3683,,"If you did PCR and still got -ve, treat it as a new strain of #Covid19. Something similar happened to a friend. You still need to isolate and start treatment. "
2021-12-23 13:04:13+00:00,RW,Rwanda,,,Spoken Word Rwanda,,False,2043,7700,502,,"Ola  fam! So sad we won’t be able to be with you this month, due to the recent #covid19 guidelines. Wishing you all happy holidays, stay safe and take care of each other.

Love and light from all of us at SWR.

See you all next year!
#SpokenWordRw #RwOT "
2021-12-24 08:19:21+00:00,RW,Rwanda,,,UNICEF Rwanda,,True,3239,37415,667,,"Dorcas,6, is one of many preschoolers who returned to ECD Centers at Mahama Refugee Camp when it was safe to.  /Next Generation supported training of ECD caregivers and parents' engagement on #COVID19 prevention and control. 
"
2021-12-31 10:13:14+00:00,RW,Rwanda,,,The Chronicles,,False,18,8614,12,,"BATTLING #COVID19 - Ndayisenga Albert alias Kazungu begins walking around Kigali 6am till 8pm. He stops people with no masks or wearing it wrongly to change

""Some people think I'm mad, but I'm not. Other say I do it for RBC, no I don't. I started doing this on my own,"" he said "
2021-12-30 19:51:52+00:00,RW,Rwanda,,,Rwanda Broadcasting Agency (RBA),,True,2302,288847,274,,"UPDATE: 
The Ministry of sports has suspended some sports activities including national leagues for at least one month to prevent the spread of the #COVID19 "
2021-12-31 09:45:27+00:00,RW,Rwanda,,,The Chronicles,,False,18,8614,12,,UPDATE: Rusizi district Mayor ordered more than 500 parents &amp; administrators of G.S Saint Paul Muko school to sleep in stadium and spent all of Thursday there as punishment for hosting school party despite #COVID19 regulations. Local official who allowed the party was dismissed 
2021-12-25 10:30:23+00:00,RW,Rwanda,,,BANAMWANA Hoffman Prince,,False,12505,1052,1192,,"The sad truth about #Covid19 is that anyone who is advising business owners to reduce the number of clients they receive or implement tight restrictions, is on a monthly payroll somewhere therefore whether you close or not they are getting their salary at the end of the month."
2021-12-25 11:10:25+00:00,RW,Rwanda,,,Rwanda Broadcasting Agency (RBA),,True,2302,288890,274,,"JUST IN: 

Rwanda has fully vaccinated 40% of the total population against #COVID19, achieving the  2021 target to vaccinate 40% of the population by the end-2021 
#VaccinateRwanda "
2021-12-24 20:49:01+00:00,RW,Rwanda,,,The New Times (Rwanda),,True,465,320544,449,,"🇷🇼 #Covid19 update: 629 new cases, including 400 in Kigali, were confirmed in the last 24 hours. No death or critical case was recorded. "
2021-12-25 07:42:22+00:00,RW,Rwanda,,,Ladislas NGENDAHIMAN,,False,15864,3573,820,,"To all believers and non believers, my friends and followers, I wish Merry Christmas. This day made history, and it is worth celebrating. Enjoy and celebrate responsibly, as we fight the spread of #COVID19. God bless you"
2021-12-25 09:55:35+00:00,RW,Rwanda,,,The Chronicles,,False,18,8614,12,,"UPDATE: Four Rwandans, a man &amp; 3 women, on Monday crossed into Burundi's Kirundo Province telling officials that they were fleeing #COVID19 immunisation. Governor of Kirundo told Radio/TV Isanganiro that he communicated with with Rwandan authorities to repatriate them "
2021-12-30 21:30:38+00:00,RW,Rwanda,,,Rwanda Broadcasting Agency (RBA),,True,2302,288846,274,,"JUST IN: 
The City of Kigali has cancelled planned fireworks display events to mark the end of the year and to usher in 2022.
This is in the context of intensifying measures to prevent #COVID19 infections that continue to increase day by day.
 #RBANews "
2021-12-24 08:52:10+00:00,RW,Rwanda,,,Jean Claude NIYOMUGABO 🇷🇼,,False,31437,6113,880,,"Government and other stakeholders, such as investors, must support them to make sure that they can leverage the power of technology to provide direct  #market to local #farmers.

Especially in this time of #COVID19 outbreak "
2021-12-30 19:00:10+00:00,RW,Rwanda,,,John Peter🇷🇼,,False,34634,2312,1254,,"🚨 Read the New Preventive measures in Sporting activities to stop the rapid  spread of the #COVID19 

✅ "
