tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-31 14:43:07+00:00,LB,Lebanon,,,L'Orient Today,,False,78,12271,23,,"#COVID19 report for Friday, Dec. 31:

‣ 4,290 people have tested positive 

‣ 19.1% of local PCR tests were positive

‣ 333 people were in ICU

‣ 17 people have died, bringing the death toll to 9,119"
2021-12-29 08:03:43+00:00,LB,Lebanon,,,Ismaël Maatouk ᴹᴰ ᴹᴾᴴ,,False,3632,1229,1182,,"2/5- Challenges and opportunities regarding management of HIV prevention in the Eastern Mediterranean Region during the #COVID19 outbreak 

"
2021-12-28 18:16:45+00:00,LB,Lebanon,,,L'Orient Today,,False,78,12270,23,,"#COVID19 report for Tuesday, Dec. 28:

‣ 2,280 people have tested positive 

‣ 13.9% of local PCR tests were positive

‣ 323 people were in ICU

‣ 15 people have died, bringing the death toll to 9,072"
2021-12-27 15:51:34+00:00,LB,Lebanon,,,L'Orient Today,,False,78,12270,23,,"#COVID19 report for Saturday, Dec. 25:

‣ 11.8% of local PCR tests were positive

‣ 321 people were in ICU"
2021-12-26 07:15:04+00:00,LB,Lebanon,,,Najat Rochdi,,True,25568,7545,193,,Health heroes have been key in the fight against #COVID19. Let’s pay tribute to their service and dedication      
2021-12-29 15:08:53+00:00,LB,Lebanon,,,Rula El Halabi,,False,29763,3608,1688,,⚠️ ALARMING rise in the number of new #COVID19 cases
2021-12-24 16:40:51+00:00,LB,Lebanon,,,Nesrine Rizk,,False,4069,1008,498,,my gift to myself #MerryChristmas  #MoshiMoshi I need it and a lot of patience for the coming few weeks #COVID19 please take a break 
2021-12-24 10:39:41+00:00,LB,Lebanon,,,"Zeina Moukarzel, MD,MPH,MHA #Boosted & Masked",,False,15613,2531,3022,,"Young adults arriving to #Beirut from #Montreal are for the majority, if not all, testing positive.

Stay vigilant tonight! #ChristmasEveEve 

#COVID19 #Omicron #Christmas"
2021-12-26 10:20:00+00:00,LB,Lebanon,,,UNIC Beirut,,True,9238,18713,1194,,"We now have the tool to stop #COVID19 in its tracks. So let’s make it happen!

#OnlyTogether #COVID #COVIDVaccines #VaccinesWork #VaccinesSaveLives "
2021-12-30 16:46:11+00:00,LB,Lebanon,,,L'Orient Today,,False,78,12271,23,,"#COVID19 report for Thursday, Dec. 30:

‣ 4,537 people have tested positive 

‣ 18.6% of local PCR tests were positive

‣ 324 people were in ICU

‣ 15 people have died, bringing the death toll to 9,102"
