tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-24 18:20:17+00:00,SA,Saudi Arabia,,,Ali M Albarrati |علي مفرح البراتي,,False,3326,5298,556,,"Updated Rehabilitation guidelines for  #COVID19
*Incentive ispirometry isn't useful
*Autonomic dysfunction &amp; orthostatic intolerance is common, assess before mobilization
*Don't push the patient to fatigue.

"
2021-12-28 08:44:41+00:00,SA,Saudi Arabia,,,R@BI@ $@JJ@D.,,False,290,20,25,,"3 doses of #Covid19 vaccine 💉💉💉 will be #compulsory to enter #Restaurants from 1st February 2022 

In #SaudiArabia #السعودية "
2021-12-27 07:55:26+00:00,SA,Saudi Arabia,,,RUH,,False,2878,137,197,,Today is my booster dose (covid vaccine ) ka. #COVID19
2021-12-28 06:38:15+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,"#Oil prices rose around 3 percent on Monday due to hopes that the #omicron #COVID19 variant will have a limited impact on global demand in 2022, even as surging cases caused flight cancelations "
2021-12-23 11:57:11+00:00,SA,Saudi Arabia,,,Matt Keener,,False,18487,253,838,,"Some of the hero nurses, who were patting themselves on the back whilst performing in Tiktok videos, need to come forward and blow the whistle on what is really going on in the hospitals. #COVID19"
2021-12-29 19:26:07+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"Reporting 394 new cases. Today's #COVID19 figures for Medina County: 31,185 cumulative cases (+394), 1,009 hospitalizations (+3), 382 deaths, and 26,675 presumed recovered. #COVID19 Start the year right #GetVaccinatedNow  "
2022-01-01 03:06:38+00:00,SA,Saudi Arabia,,,Moataz Aldahlawi,,False,192,390,683,,"For T-cell lovers, this is good news from this pre-print  #COVID19 #كوفيد_19 #coronavirus"
2021-12-23 19:25:56+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"Reporting *405* new cases, *12* new hospitalizations. Today's #COVID19 figures for Medina County: 29,506 cumulative cases (+405), 1,001 hospitalizations (+12), 373 deaths, and 25,821 presumed recovered. #COVID19 Visit safely #WearAMask #GetVaccinatedNow  "
2021-12-29 10:11:08+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,"#SaudiArabia stepping up precautionary measures for #COVID19 as it's back to wearing masks and applying #SocialDistancing in all places, closed and open, activities and events, as of 7:00 a.m. on Thursday, December 30, 2021. "
2021-12-24 14:43:35+00:00,SA,Saudi Arabia,,,Matt Keener,,False,18489,253,838,,Posting “I have Covid—but thank God I got vaccinated or it would be way worse.” Is the new vaccine card...#COVID19
2021-12-23 19:33:35+00:00,SA,Saudi Arabia,,,First News,,False,37,47,39,,"France is witnessing a huge jump in #COVID19 .. About 92,000 cases were recorded in one day "
2021-12-28 17:27:05+00:00,SA,Saudi Arabia,,,"Dr. Khaled Ouanes, Ph.D.",,False,9813,2989,1580,,"A new Science Perspective reviews recent studies on #COVID19 vaccine breakthrough infections and the efficacy of booster doses in protecting against SARS-CoV-2 variants, such as Delta.

  "
2021-12-31 09:23:34+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,508,56,,"#TheYearInReview: From the great lockdown, to the great rebound. Goodbye to 2021’s loose money and hello to 2022’s #inflation fighting.  #global #economy #COVID19 
 "
2021-12-26 14:39:19+00:00,SA,Saudi Arabia,,,Lee Gregory Peck,,False,30,201,108,," May be  vote needs to viewed in context.  #covid19 support package was the second most generous in the G7, according to the attached graph. A whole raft of measures had been brought in to protect the vulnerable; #universalcredit uplift, #furlough,... "
2021-12-24 09:28:44+00:00,SA,Saudi Arabia,,,Hussam Alobida,,False,945,782,1353,,Pediatric outbreak #omicron #COVID19
2021-12-29 10:21:15+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,"#UK shares rose in thin holiday trading on Wednesday with defensive and financial stocks leading gains, against the backdrop of #Britain rising #COVID19 cases "
2021-12-23 19:30:44+00:00,SA,Saudi Arabia,,,S.H,,False,73,46,246,,They say cats can get #COVID19 .. is this true?
2021-12-24 10:38:30+00:00,SA,Saudi Arabia,,,Asmaa Alsayed,,False,522,2677,258,,"Booster shot arm pain is ridiculous. 💔
#Pfizer #Booster #COVID19"
2021-12-28 12:32:20+00:00,SA,Saudi Arabia,,,🇵🇭 Alim Mohammad Yasin,,False,3891,344,487,,#Halalan2022 #NoToLeniKiko2022 #BBMSARA2022 #Omnicron #OmnicronVariant #COVID19. It's the race to the top! To the 5th industrial 🏭 revolution!  
2021-12-29 10:50:38+00:00,SA,Saudi Arabia,,,R@BI@ $@JJ@D.,,False,290,20,25,,"#SaudiArabia imposes #mask mandates both indoors and outdoors amid concern over #omicron spread from #Thursday (December 30)
#FaceMasks , #SaudiArabia , #COVID19 , #Omicron "
2021-12-31 18:43:32+00:00,SA,Saudi Arabia,,,Scott Robinson,,False,7421,1238,597,,"According to the Governor, 80% of those being hospitalized with #COVID19 are unvaccinated. Get your vaccine, get boosted, and let's look back knowing we beat this pandemic in 2022. 

#Vaccineswork"
2021-12-26 10:27:37+00:00,SA,Saudi Arabia,,,Kausar,,False,3115,21,663,,"    its proved  ur last night meeting on #COVID19 was just a #jumla ….
  this is our great HOME MINISTER 👏👏👏."
2021-12-23 11:51:49+00:00,SA,Saudi Arabia,,,FawazAlFarhan,,False,94483,1273,654,,"So it’s a cold,. Got it.

#OmicronVarient #COVID19 "
2021-12-31 20:04:35+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"🔴 Reporting 503 new cases, 12 deaths. Today's #COVID19 figures for Medina County: 31,996 cumulative cases (+503), 1,121 hospitalizations (+5), 394 deaths (+12), and 26,979 presumed recovered. #COVID19 Start the year right #GetVaccinatedNow  "
2021-12-28 19:39:16+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"Reporting 294 new cases, 1 new death. Today's #COVID19 figures for Medina County: 30,791 cumulative cases (+294), 1,006 hospitalizations (+4), 382 deaths (+1), and 26,534 presumed recovered. #COVID19 Start the year right #GetVaccinatedNow  "
2021-12-27 14:39:14+00:00,SA,Saudi Arabia,,,Aseel✨,,False,3764,150,426,,"You're like a storm against the window
Follow me around just like a shadow!
I'll swim a never-ending ocean
Until you bring back your devotion
It's like I live a thousand lifetimes!
#COVID19 #BoosterShot #BoosterVaccinatie🛡💉
Sweet weather!💫⛅️🌷❤️ "
2021-12-31 02:32:19+00:00,SA,Saudi Arabia,,,Rozz~♡,,False,780,597,230,,"Goodbye #2021 with all your beautiful and ugly burdens, and now we will welcome a new year full of hope to get rid of this disaster. 

#Goodbye2021 
#Hello2022 
#COVID19"
2021-12-24 10:38:16+00:00,SA,Saudi Arabia,,,Mohamed Ashraf,,False,7678,299,1197,,"New approved Covid 19 treatment 
#COVID19
#Paxlovid "
2021-12-29 22:44:53+00:00,SA,Saudi Arabia,,,Hadeer,,False,49,108,37,,holy crap corona virus is restarting its revolution all over again! #covid19
2021-12-30 06:17:54+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,"""As the global #economy recovers from the #pandemic, a great deal of uncertainty remains about the new #COVID19 variants and increased #inflation pressures in many countries."" said Gita Gopinath, the chief economist of the International Monetary Fund "
2021-12-30 09:29:07+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,. Electronics and  warn that strict #COVID19 curbs in the #Chinese city of #Xian could disrupt their chip #manufacturing bases in the area 
2021-12-24 19:18:16+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"Reporting 349 new cases, 8 deaths. Today's #COVID19 figures for Medina County: 29,855 cumulative cases (+349), 1,000 hospitalizations (-1 adjusted), 381 deaths (+8), and 25,972 presumed recovered. #COVID19 Visit safely #WearAMask #GetVaccinatedNow  "
2021-12-30 09:46:51+00:00,SA,Saudi Arabia,,,Arab News Business,,True,5,509,56,,"#Saudi Central Bank ( announces the extension of the Deferred Payment Program for three additional months for the benefit of micro, small and medium #enterprises (MSMEs) that continue to be affected by the #COVID19 precautionary measures "
2021-12-30 19:31:20+00:00,SA,Saudi Arabia,,,Medina Weather,,False,2020,847,93,,"Reporting 308 new cases. Today's #COVID19 figures for Medina County: 31,493 cumulative cases (+308), 1,116 hospitalizations (+7), 382 deaths, and 26,837 presumed recovered. #COVID19 Start the year right #GetVaccinatedNow  "
2021-12-23 12:48:01+00:00,SA,Saudi Arabia,,,Samiha Siddiqui,,False,1313,348,556,,"Read this thread if you still think the pandemic is over, you don't need to wear masks or social distance...
👇🏻 👇🏻 👇🏻
#Omicron
#OmicronVirus
#WearAMask
#Booster
#GetVaccinatedNow
#GetBoostedNow
#COVID
#COVID19
#BoosterShots "
