tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 00:15:15+00:00,DE,Germany,,,healthcare,,False,22352,2657,502,,"Staffing shortages are happening a lot lately? 

Hmmmm… #COVID19 #Hospital  "
2021-12-31 07:32:52+00:00,DE,Germany,,,Christoph Rauwald,,False,1440,2001,1137,,Chancellor  calls on his fellow Germans to get vaccinated against #COVID19 to beat the pandemic and open up opportunities for sweeping economic reforms   
2021-12-24 13:09:27+00:00,DE,Germany,,,Hermann Observer,,False,52996,11456,10716,,"""We got a place for #COVID19 deniers like you, Mr. Kringle.""
#SantaClaus #Arrest #Germany #MerryChristmas
"
2021-12-30 10:08:14+00:00,DE,Germany,,,Be Human,,False,22845,315,370,," Is this victory celebration really necessary during a raging pandemic? No mask, no one is keeping distance! Don’t be surprised if the #COVID19 number shoots up! Indian politicians will never learn from their past mistakes! Shameful!"
2021-12-29 07:31:25+00:00,DE,Germany,,,Donny63darko 🇦🇺🇺🇸💉💉,,False,22,17,26,," If you know the Vaxx Requirements before entering an Establishment why the F*k are you Shock Gasp Horror surprised they are following mandates WE ….

WE
live as a community STA behaving like decent human beings instead of paranoid agenda pushing A Holes 

#COVID19"
2021-12-29 19:43:17+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 100584
Today Recovery: 16649
Today Deaths: 553
Total Active Cases: 12064655
Total Cases: 54249128
Total Recovery: 41341759
Total Deaths: 842714
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 20:52:59+00:00,DE,Germany,,,Ruptly,,True,1386,113026,520,,"Drone captures long queue of cars waiting at drive-through #COVID19 testing station in #Perugia

FULL STORY: 
#Italy "
2021-12-24 13:00:13+00:00,DE,Germany,,,ImmuHubs,,False,41,53,140,,"Indirect effects of Covid-19 on children in low income countries (school closure, mental and emotional health) have severe longterm consequences. Vaccines are a solution!  watch the IPA Webinar on Youtube. #vaccinessavelives #immuhubs #covid19

"
2021-12-29 08:00:40+00:00,DE,Germany,,,Wiley Analytical Science,,False,423,1474,583,,"New X-ray technique shows vascular damage in intact COVID-19 lungs for first time.

▶

#covid19 #xray #spectroscopy "
2021-12-24 19:56:02+00:00,DE,Germany,,,G2LM|LIC,,False,200,916,141,,"Microdata from 🇧🇩 &amp;🇳🇵show that #migration-dependent households are more vulnerable during #COVID19 pandemic.
Check out  Working Paper by a team of researchers: 
       "
2021-12-24 21:30:34+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #India:
New Cases: 3759
Today Recovery: 7051
Today Deaths: 85
Total Active Cases: 81221
Total Cases: 34776416
Total Recovery: 34215977
Total Deaths: 479218
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 21:00:32+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Germany:
New Cases: 26798
Today Recovery: 56000
Today Deaths: 269
Total Active Cases: 821642
Total Cases: 6981347
Total Recovery: 6048800
Total Deaths: 110905
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-30 00:13:40+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 456890
Today Recovery: 73689
Today Deaths: 1637
Total Active Cases: 12404686
Total Cases: 54647615
Total Recovery: 41398799
Total Deaths: 844130
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-29 22:52:33+00:00,DE,Germany,,,Esther-Maria Antão,,False,3261,274,573,,2/ Since the beginning of the #pandemic the role of daycare kids in spreading #COVID19 has been discussed controversially. The aim of the #coala study was to investigate transmission risk in daycare centers among kids &amp; staff &amp; the spread of infections to associated households.
2021-12-24 08:15:47+00:00,DE,Germany,,,Andreas K. Maier,,False,9824,17645,938,,"A slight decrease in #Erlangen today to 135.2 in #COVID19 infections. 

#StaySafe and #HappyHolidays to everyone! "
2021-12-29 22:28:31+00:00,DE,Germany,,,Merck,,True,8060,22800,466,,"The #USGovernment contract award is part of an effort to ensure secure local supply &amp; production capacity for critical products for #PandemicPreparedness. At the new facility, we will produce membranes used in rapid diagnostic test kit manufacturing, including #Covid19."
2021-12-30 10:02:48+00:00,DE,Germany,,,Tomi,,False,8982,207,805,,"It was a great pleasure to be a part of this important COVID-19 research and super exciting to see my first co-authorship! 🥳 Congrats to all the authors!

🔗 

#COVID19 #Immunology "
2022-01-01 02:08:03+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 443677
Today Recovery: 35079
Today Deaths: 716
Total Active Cases: 13346856
Total Cases: 55696500
Total Recovery: 41502739
Total Deaths: 846905
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-25 11:21:25+00:00,DE,Germany,,,Sten Kuth,,False,310,65,421,,When you have to wait 5 hours more to open your #Christmas gifts in Germany together with friend &amp; family in New York &amp; Atlanta via Zoom. Fuck #COVID19 fuck #Omicron
2021-12-29 20:42:14+00:00,DE,Germany,,,Ichikura,,False,317198,616,617,,France is taking back control. #brexit #COVID19 
2021-12-31 22:59:31+00:00,DE,Germany,,,JC Denner,,False,2561,52,777,, I reckon #ScottyThePathologicalLiar is the opposite of Trump (at least when it comes to fear of #COVID19): not a germaphobe and so utterly convinced he's doing God's work that he has divine protection from serious disease that he's unafraid.
2021-12-29 20:43:22+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Germany:
New Cases: 41816
Today Recovery: 59600
Today Deaths: 381
Total Active Cases: 711629
Total Cases: 7101162
Total Recovery: 6277400
Total Deaths: 112133
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-29 19:25:11+00:00,DE,Germany,,,Bin Quick,,False,1315,1504,1749,,  But Florida's #COVID19 deaths are unusually low...
2021-12-24 20:30:31+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 74276
Today Recovery: 14203
Today Deaths: 504
Total Active Cases: 11048277
Total Cases: 52862727
Total Recovery: 40979196
Total Deaths: 835254
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 11:26:57+00:00,DE,Germany,,,Kai Kupferschmidt,,True,10014,156450,1831,," I was hoping the world would be in a different situation as 2021 ends, but we are where we are.

It’s worth reflecting on how/why we have not used #covid19 vaccines to their full potential this year. I tried to do that in this piece:
"
2021-12-24 20:29:22+00:00,DE,Germany,,,CaptainTesla,,False,6035,377,313,,"Hey  - I lost my 20y Airline Captain job due #COVID19 
#GigaBerlin is looking for „Enterprise Operations Supervisor“ - application running.. 
Keep me going guys.. #Tesla 🙏🏻"
2021-12-25 11:01:22+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Nepal:
New Cases: 157
Today Recovery: 226
Today Deaths: 1
Total Active Cases: 4978
Total Cases: 827058
Total Recovery: 810497
Total Deaths: 11583
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 09:43:49+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Nepal:
New Cases: 237
Today Recovery: 349
Today Deaths: 1
Total Active Cases: 5048
Total Cases: 826901
Total Recovery: 810271
Total Deaths: 11582
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-23 19:56:54+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 52295
Today Recovery: 12287
Today Deaths: 309
Total Active Cases: 10809502
Total Cases: 52563273
Total Recovery: 40920433
Total Deaths: 833338
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-29 20:43:23+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 162546
Today Recovery: 37064
Today Deaths: 811
Total Active Cases: 12117964
Total Cases: 54323163
Total Recovery: 41362174
Total Deaths: 843025
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-29 22:52:36+00:00,DE,Germany,,,Esther-Maria Antão,,False,3261,273,573,,"10/ Conclusion: Containment measures in daycare programs are critical and become increasingly important with highly transmissible new variants to reduce #SARSCoV2 transmission, especially to avoid spread to associated households.

#Covid19 #kita #kinder #toddler #COALA"
2021-12-29 22:52:35+00:00,DE,Germany,,,Esther-Maria Antão,,False,3261,274,573,,"8/ Implications:
❗️Infected kids can spread #COVID19 to their families &amp; households 
▫️Effective mitigation methods: keep groups small &amp; consistent, minimise contact between groups
▫️The role of kids/ daycare can change over time depending on predominant #VOC"
2021-12-29 22:43:32+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 410024
Today Recovery: 55384
Today Deaths: 1406
Total Active Cases: 12360999
Total Cases: 54585315
Total Recovery: 41380494
Total Deaths: 843822
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-28 23:25:05+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Germany:
New Cases: 30978
Today Recovery: 61300
Today Deaths: 448
Total Active Cases: 729794
Total Cases: 7059346
Total Recovery: 6217800
Total Deaths: 111752
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-28 23:25:06+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 277571
Today Recovery: 69987
Today Deaths: 1644
Total Active Cases: 11991042
Total Cases: 54106237
Total Recovery: 41273371
Total Deaths: 841824
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-31 08:41:41+00:00,DE,Germany,,,Analyze Genomes,,False,70,169,8,,"#nCoVStats  Daily #COVID19 update: Worldwide infections exceeded 286.3M, 221.5M people are are recovered, but 5.4M+ people are deceased. 203.7M new infections were recorded in 2021, which is an increase of 3.5x compared to 2020. #StaySafeStayHealthy #HappyNewYear2022 "
2021-12-29 21:58:27+00:00,DE,Germany,,,Michael W. Pfaffl,,False,1908,1249,602,,"Read our new paper by Meidert et al., Front Immunol 2021 12: 784028
EV Associated #microRNA Regulate Signaling Pathways Involved in #COVID19 #Pneumonia and the Progression to #SARSCoV2 Syndrome.

#extracellularvesicles #exosomes #ARDS #COVID"
2021-12-29 23:13:34+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 426804
Today Recovery: 68744
Today Deaths: 1478
Total Active Cases: 12379704
Total Cases: 54617529
Total Recovery: 41393854
Total Deaths: 843971
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-31 21:07:40+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Germany:
New Cases: 33466
Today Recovery: 50600
Today Deaths: 244
Total Active Cases: 680792
Total Cases: 7176448
Total Recovery: 6382900
Total Deaths: 112756
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-30 09:52:34+00:00,DE,Germany,,,"Avirup Guha, MBBS, MPH, FICOS, FACC",,False,9582,1266,1218,,Some future prediction of #Omicron #COVID19 
2021-12-29 21:43:28+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 240495
Today Recovery: 48624
Today Deaths: 1021
Total Active Cases: 12184128
Total Cases: 54401112
Total Recovery: 41373734
Total Deaths: 843250
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 08:16:48+00:00,DE,Germany,,,Frank Reinhold,,False,438,176,404,,We have chosen our #Adventwreath this year to match the theme. Merry #Christmas to you all and stay healthy! Stop #COVID19 
2021-12-23 19:15:00+00:00,DE,Germany,,,cliffwood_pres,,False,25,109,104,,"Today's Bible readings: Zech. 4:1-5:11, Rev. 14:1-20, Ps. 142:1-7, Prov. 30:21-23
#dailydevotional #Biblestudy #reformedchurch #fortgordon #loveAugusta #COVID19"
2021-12-23 19:14:43+00:00,DE,Germany,,,Daniel Bläsing,,False,1064,10,61,,"So, today I got my #COVID19 #boostershot
If you have the possibility to, please get vaccinated and also get your boostershot!
Millions of people would swap with you, if they'd the possibility to!"
2021-12-24 08:18:42+00:00,DE,Germany,,,Analyze Genomes,,False,70,169,8,,"#nCoVStats  Daily #COVID19 update: Worldwide #infections reached 278.7M, about 952k new cases reported within the past 24hrs. Trend for the past week shows upwards ↗️ mainly due to #OmicronVarient. #ProtectYourFamilies #MerryChristmas "
2021-12-24 20:00:30+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 55069
Today Recovery: 13219
Today Deaths: 378
Total Active Cases: 11030180
Total Cases: 52843520
Total Recovery: 40978212
Total Deaths: 835128
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-29 20:00:06+00:00,DE,Germany,,,YourTV Northumber,,False,0,782,398,,"**Dec.29**  is reporting #covid19 cases in   The health unit is reporting 56 new cases. The total number of unresolved cases now stands at 288 &amp; the crude rate is now 231.2 cases per 100,000 residents. #yourtv #yourtvnland #trulylocal #northumberland "
2021-12-29 23:43:37+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 438431
Today Recovery: 72713
Today Deaths: 1589
Total Active Cases: 12387251
Total Cases: 54629156
Total Recovery: 41397823
Total Deaths: 844082
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-31 21:07:41+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 118400
Today Recovery: 15696
Today Deaths: 408
Total Active Cases: 13041270
Total Cases: 55371223
Total Recovery: 41483356
Total Deaths: 846597
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 08:34:58+00:00,DE,Germany,,,Ruptly,,True,1386,113026,520,,"The US FDA authorised a second antiviral pill from #Merck &amp; Co to treat #COVID19 on Thursday, #Molnupiravir, a day after giving #Pfizer the green light with their #Paxlovid treatment. The pills were seen being packed for shipping in Haarlem, #Netherlands, Thursday. "
2021-12-29 22:13:30+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #India:
New Cases: 5385
Today Recovery: 7347
Today Deaths: 0
Total Active Cases: 82387
Total Cases: 34814271
Total Recovery: 34251292
Total Deaths: 480592
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2022-01-01 01:38:01+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 357087
Today Recovery: 32926
Today Deaths: 713
Total Active Cases: 13262422
Total Cases: 55609910
Total Recovery: 41500586
Total Deaths: 846902
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 11:20:29+00:00,DE,Germany,,,Kai Kupferschmidt,,True,10014,156450,1831,," But overall, things could have looked bleaker at this point.

(There have been other good news: paxlovid, Novavax) 

The biggest threat to all our health and wellbeing is still our utter failure at making the tools to fight #covid19 available to the most vulnerable everywhere."
2021-12-29 21:18:01+00:00,DE,Germany,,,Meddafore,,False,10375,2892,897,,"Just like  had said on a previous day, I'm here now and there is no line at all. #StaySafe #GetTested #COVID19 #letemknow "
2021-12-24 21:45:40+00:00,DE,Germany,,,Alex R,,False,19781,1329,1300,, Hey Rob! How are you doing right now with #COVID19 ?
2021-12-29 21:13:26+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 229789
Today Recovery: 45219
Today Deaths: 967
Total Active Cases: 12176881
Total Cases: 54390406
Total Recovery: 41370329
Total Deaths: 843196
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 12:22:21+00:00,DE,Germany,,,chip mcdonald,,False,116151,1050,993,,"The responsible thing to do would be for the CDC to recommend locking down.

 Instead - more sociopathic nonsense.   Keep the hospitals open to preserve appearances, while nobody takes precautions at Christmas because ""we have to live with it"".

#COVID19
#lockdown "
2021-12-24 12:19:42+00:00,DE,Germany,,,chip mcdonald,,False,116151,1050,993,,"Peak sociopathy.

 Their deliberate inaction, non-proactive ""response"" to *controlling disease* has resulted in a situation where they have to fo this.  

 Otherwise everyone realizes how bad it is.  Instead we're going to ""live with it"" endlessly.

#COVID19
#lockdown "
2021-12-29 06:49:20+00:00,DE,Germany,,,Alexander Grevel,,False,18057,493,94,,"We're in urgent need for a global solution to fight #COVID19.
This could pave the way 👇 "
2021-12-30 08:41:35+00:00,DE,Germany,,,Analyze Genomes,,False,70,169,8,,"#nCoVstats  Daily #Covid19 update: Worldwide #infections reached 284.6M, about 1.5M new cases reported within the past 24hrs. Three consecutive days 1M+ cases. Short-term trend exceeded 978k, mid-term reached 806k. Effects of #Omicron become visible. "
2021-12-29 20:13:20+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #USA:
New Cases: 104132
Today Recovery: 21752
Today Deaths: 560
Total Active Cases: 12075113
Total Cases: 54264749
Total Recovery: 41346862
Total Deaths: 842774
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-24 19:00:25+00:00,DE,Germany,,,World Alert,,False,9,313,34,,"#Corona Info for #Germany:
New Cases: 25394
Today Recovery: 56000
Today Deaths: 261
Total Active Cases: 820246
Total Cases: 6979943
Total Recovery: 6048800
Total Deaths: 110897
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
2021-12-30 00:19:33+00:00,DE,Germany,,,🇧🇴 oopscene,,False,24023,543,571,,"#berlin #covid19 #stats
20211229: 2652 reported; 2410 recovered; 6 deceased; 39030 active cases (236 more than yesterday). "
2021-12-29 13:10:01+00:00,DE,Germany,,,Arunava Chaudhuri | arunfoot,,True,164,6137,1184,,"#LeagueCommittee holds emergency meeting, suspends #ILeague due to #COVID19 outbreak! 

"
