tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-25 12:52:50+00:00,ZA,South Africa,,,Gabriel Kroes,,False,258,1071,3764,,"It's pathetic that  does not want to refund my flight that I've needed to cancel due to a positive #covid19 test. They don't want me to fly, but they don't want to give back my money either?!?!?! #badservice #customercare #getwiththetimes"
2021-12-24 15:06:21+00:00,ZA,South Africa,,,Steve Hayes,,False,4966,1019,309,,Covid-19 booster shot rollout approved in South Africa — when you can get it  via  #Covid19 #vaccination
2021-12-31 09:25:58+00:00,ZA,South Africa,,,Marianne Valentine 🇿🇦 🐘,,False,11674,2430,5000,,"I thought I was perimenopausal or put into perimenopause via the #COVID19 vaccine after July this year when I got my first vaccine. Thus I got the nastiest, bloodiest #period surprise yesterday."
2021-12-30 08:00:02+00:00,ZA,South Africa,,,@NewFrame_News,,False,136,60698,177,,"2021 Recap: As we mark one year of masking up against Covid-19,   brings you a mixtape brimming with songs to chase away the pandemic blues.
#COVID19 #Mixtape #RadioNewFrame #Recap
"
2021-12-24 16:23:44+00:00,ZA,South Africa,,,ReginaO,,False,392,141,411,,We have to use what we’ve learned in the last two years! #COVID19 
2021-12-25 04:32:48+00:00,ZA,South Africa,,,CaroniseK ❤️❤️❤️,,False,67280,2126,3750,,"Parents tested positive Wednesday
My results came in this morning: positive
😓😓😭😭😭
Can't believe this is what my holiday turned into... 
Thank God we all just have mild flu-like symptoms.
#MerryXmas 
#StaySafe 
#COVID19"
2021-12-29 16:29:45+00:00,ZA,South Africa,,,Chris,,False,1967,176,689,,"Many of us have been working not knowing if we are going to have days off due to mandatory overtime while people who don't believe in the virus, vaccines or science enjoy paid time off. We're sick of it. #CDC #Omicron #COVID19 "
2021-12-29 10:39:36+00:00,ZA,South Africa,,,Robyn,,False,4475,342,316,,Okay so there was a #DaysOfOurLives Christmas story... but No children.. was that a #COVID19 protocol? 
2021-12-29 14:05:27+00:00,ZA,South Africa,,,Mary Gerdt Parler:Alvarita1,,False,118242,3524,4971,,"Viral Particles-tough little asteroid seeds. Not much kills them. Mask? Touch flat surface then scratch your nose. Kids? Snot is Everywhere. Adults? Sneeze, cough, scratch. Vaxx’d? It doesn’t Eliminate Covid, Averts  Death &amp; Long #COVID19 Yeah! Side effects Vaxx-Underreported 🤦‍♀️ "
2021-12-30 17:26:09+00:00,ZA,South Africa,,,Woody,,False,185,1544,89,,‘DO YOUR RESEARCH’: #AdamKinzinger Jabs #TedCruz for Spreading #Covid19 ‘Misinformation’ in Botched Tweet  
2021-12-26 17:38:23+00:00,ZA,South Africa,,,Carmen,,False,46812,2415,3831,,"👇👇Stop taking advice from  and  they're setting you up to fail. Early treatment saves lives. 
#InformedConsent #COVID19 #EarlyTreatment  #CrimesAgainstHumanity "
2021-12-24 18:25:51+00:00,ZA,South Africa,,,MBUGA,,False,100373,7406,5317,,"#Gemwa 

Nothing irritated me like testing + for #COVID19 when I’m already vaccinated 🚮🚮🚮"
2021-12-25 16:17:54+00:00,ZA,South Africa,,,@COSATU Today,,False,104809,163192,71185,, #Solidarity with all families who have lost their loved ones due to #Covid19 complications. May their souls rest in peace  
2021-12-25 16:23:55+00:00,ZA,South Africa,,,Central News,,False,1125,3106,837,,"🟥BREAKING NEWS🟥 South Africa has recorded 14,828 new COVID-19 cases in the past 24 hours. A further 30 #COVID19 related deaths have been reported "
2021-12-29 18:54:54+00:00,ZA,South Africa,,,🆆🅸🅻🅻 🆂🅲🅾🆃🆃 ♿,,False,8658,2437,4223,,"Don't you love seeing  suspend an MD's account for putting out the truth about #COVID19 ...

... but  and their ex-Marxist terrorist man-in-charge  can say whatever they like with impunity.

The guy who covered up a cholera outbreak in his country, Ethiopia. "
2021-12-25 16:19:22+00:00,ZA,South Africa,,,@COSATU Today,,False,104809,163192,71185,, #Solidarity with all families who have lost their loved ones due to #Covid19 complications. May their souls rest in peace 
2021-12-28 13:19:33+00:00,ZA,South Africa,,,Information Resource Centre,,False,1714,2312,551,,"#SouthAfrica has recorded at least 3 782 new #COVID19 infections over the past 24-hour reporting cycle, with 15 more fatalities reported. "
