tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-28 15:24:03+00:00,AT,Austria,,,Monika Bargmann,,False,11669,1937,2414,,"The Impact of COVID-19 on the Careers of Women in Academic Sciences, Engineering, and Medicine  #covid19 #careers #women"
2021-12-30 20:59:31+00:00,AT,Austria,,,Dr Elisa Perego,,False,55461,5741,1633,,"  I think this collective knowledge building on Twitter is really history making 

It afforded to exchange data at the speed of light 

#COVID19 #LongCovid"
2021-12-24 08:12:00+00:00,AT,Austria,,,IAEA - International Atomic Energy Agency,,True,3542,142227,2995,,The pandemic’s indirect health effects have been severe — limiting access to diagnostic tools and treatment facilities as a result of lockdowns and the diversion of health care resources to fight #COVID19. 👉  
2021-12-31 06:24:04+00:00,AT,Austria,,,George OsO,,False,339,23,431,,"after 2 yrs, some still say mild. Same like i got into an accident, was not seat belted and hit my forehead mildly on the windscreen. Naaaah, maybe you don't wanna do that! #longcovid #covid19 #Omicron "
2021-12-25 07:39:26+00:00,AT,Austria,,,Susann Kraeftner,,False,192,47,75,,"The Fallacy of asymptomatic spread  Despite all scientific evidence we are forced into #Quarantine after traveling &amp; go for testing before officially being allowed into the world again. I had #COVID19, have #antibodies better than any #vaccinated, lunatic!"
2021-12-23 18:12:38+00:00,AT,Austria,,,Allergy & Asthma Network,,False,3614,8872,3924,,Today the FDA issued an emergency use authorization for a second pill to treat COVID.  molnupiravir is used for the treatment of mild-to-moderate #COVID19 in adults who test positive for #COVID-19. 
2021-12-30 16:25:02+00:00,AT,Austria,,,CMAA,,False,1502,2950,903,,"#COVID19 has altered the speed and design of #healthcare projects, as healthcare clients want their projects up and running quicker than ever before.   via "
2021-12-26 14:19:44+00:00,AT,Austria,,,𝓗𝓪𝓻𝓪𝓵𝓭 𝓔. 🇦🇹🇪🇺🇺🇳,,False,54298,1426,3309,,"#Covid19 news: Booster #omicron protection wanes within 10 weeks. 

"
2021-12-29 06:30:49+00:00,AT,Austria,,,Franz Woproschalek 🛠,,False,6934,168,518,,"‘Evidence-based medicine is the use of mathematical estimates of the risk of benefit and harm, derived from high-quality research on population samples, to inform clinical decision-making in the diagnosis, investigation or management of individual patients.’ #COVID19"
2021-12-27 21:47:59+00:00,AT,Austria,,,Andrea Schmidt,,False,4768,463,579,,"#Portugal update #COVID19 - getting a proper test before Xmas or NY almost impossible,most people doing (rather unreliable) #selfsampling.I opted for self-quarantining with the family instead (and during first days daily self-test). Well...#wienliebe"
2021-12-28 14:32:25+00:00,AT,Austria,,,Global Drucker Forum,,False,13824,25758,14162,,"Watch out: The “new normal” is more
than just “home office” and “digitization”!
10 conclusions from conversations with top executives, conducted by  effects and issues for companies that will need addressing after #COVID19. 
Read here:  
#Management "
2021-12-25 23:21:03+00:00,AT,Austria,,,Otto Rapp,,False,6709,847,538,,"Omicron, half of common colds  via  #corona #omicron #COVID19 #commoncold #immunity"
2021-12-30 16:33:43+00:00,AT,Austria,,,Johannes Lutz 🌍 🐬 🔴,,False,11658,354,84,,"#COVID19 Nigeria 🇳🇬 : Austria 🇦🇹
⚪ Inhabitants 200M : 9M
⚪ Tests daily 10K : 300K
⚪ Vaccinations (2x) 2% : 72%
The pandemic won’t end anywhere until it’s under control everywhere. 🌐"
2021-12-31 14:15:05+00:00,AT,Austria,,,Gudrun Feuchtner,,False,445,380,394,,"after having seen a 13y girl (un-vacc) w PIMS 6 weeks after mild #COVID19 (3 days common cold sympt), now high fever, trop+, BNP 2900, EF 44% - myocardial injury like after a severe heart attack … there is no reason why not protect kids! #tirolimpft  with kids line bravo👍 "
2021-12-28 05:18:30+00:00,AT,Austria,,,Julia Vierheilig,,False,1237,235,411,,"#IWA webinar on #wastewater based #epidemiology - #WBE, #COVID19, #Omicron with an excellent list of panelists: 
Joan Rose,   Alexandria Boehm,  Co-Chairs: Sudhir Pillay &amp;  

 
 "
2021-12-31 11:04:00+00:00,AT,Austria,,,Ilias Chatzis,,False,1520,1255,90,,"2021 in retrospect

 global programmes &amp;  
✅Assisted 60+ countries 
✅Trained 3000+ experts 
✅Supported hundreds of investigations &amp; prosecutions 
✅Increased focus on victims 
✅Launched new studies on gender #COVID19 human rights 

 "
