tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 13:22:23+00:00,EG,Egypt,,,Zachery Tyson,,True,114976,7789,931,,The hottest club in town this NYE is your own damn house. #Stayhome #staysafe #COVID19
2021-12-23 15:01:15+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217262,527,,"If you’re feeling unwell, stay at home, rest, and look after yourself

Your safety and that of others are valuable to all your loved ones

Have a safe holiday!

👉 
 
#COVID19 "
2021-12-30 15:00:01+00:00,EG,Egypt,,,Canek Aguirre,,True,823,1507,606,,"With the rising number of #COVID19 cases, next week's City Council Installation Ceremony will be different than in past years. Help stop the spread and join us virtually at  or via Zoom. Details:  "
2021-12-30 00:44:02+00:00,EG,Egypt,,,Raymond Ayac,,False,4974,714,1038,,"What’s this #CDC bullshit update of only needing 6 days for #COVID19 quarantine? Makes no sense, did they realize the world pop is growing too fast or smthn? Is there not a single bitch entity we can trust with making good decisions in 1921? I mean 2021? #thatsright"
2021-12-26 10:52:51+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217263,527,,"#COVID19 daily update in the  Region, as of 25 December, 23:59 Cairo time (GMT+2) ⬇ "
2021-12-28 10:41:04+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217266,527,,"#COVID19 daily update in the  Region, as of 27 December, 23:59 Cairo time (GMT+2) ⬇ "
2021-12-31 22:11:36+00:00,EG,Egypt,,,Margot Durkin,,False,141938,2444,3371,,"As  begs  for #COVID19 relief, I am watching a football game from Dallas where thousands are #unmasked."
2021-12-27 16:14:39+00:00,EG,Egypt,,,Margot Durkin,,False,141985,2444,3374,, Go ahead and go. Just don’ expect a bed at the hospital when your #unvaccinated leg shows up with #COVID19 .
2021-12-29 16:56:39+00:00,EG,Egypt,,,Chris Davis,,False,15814,1388,980,,Umm...what does it mean when they just put a big blue dot over the whole country? #Omicron #COVID19 
2021-12-26 15:30:07+00:00,EG,Egypt,,,Ahram Online,,True,31,183469,362,,"#Algeria imposes #VaccinePassports to overcome #vaccine hesitancy 
#coronavirus #COVID19 
"
2021-12-27 18:08:10+00:00,EG,Egypt,,,Ross Hougham,,False,845,227,1363,,"Idk who needs to hear it, but #AmericasFrontlineDoctors is doing the lord's work. Someday when we have someone decent in the WH, these people should get the Medal of Freedom + restitution for all the flak (aka garbage pop science) they've taken for our sake. #COVID19"
2021-12-31 09:38:37+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217265,527,,"Enjoy the holidays and celebrate safely!
 
Remember to celebrate
outdoors or in well-ventilated spaces

💉 get vaccinated
↔️ keep a safe distance
😷 wear a mask
🪟 open windows
🧼 clean your hands
❗️ cough or sneeze into your elbow
 
#COVID19 "
2021-12-30 16:05:18+00:00,EG,Egypt,,,NASDSE,,False,615,927,866,,"Despite #COVID19 Changes, School Districts Say They Are Ready for Students' Return
A lot has changed over the holiday break, from at-home test kits being handed out to rising COVID-19 numbers to changes to CDC quarantine timeline recommendations.   "
2021-12-28 23:42:03+00:00,EG,Egypt,,,David Lapan,,False,13090,11018,829,,"Smart thread.

Use of the term “lockdown” to describe actions to slow the spread of #COVID19 in the US is/was inaccurate or overblown (or both). We had nothing close to the lockdowns other countries instituted. "
2021-12-23 22:48:22+00:00,EG,Egypt,,,Dane Hiser,,False,1842,866,967,,A fitting visual representation of many of us trying to dodge #COVID19 just to make it through #Christmas. #TheMatrix #TheMatrixResurrections 
2021-12-29 17:38:04+00:00,EG,Egypt,,,DrLeslieAnnWilliams,,False,1109,308,256,,The promiscuity of #omicron gets a new name #HOEmicron #COVID19
2021-12-26 14:12:16+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217264,527,,"People with disabilities have the same general healthcare needs as everyone. We can all help improve their experience with healthcare services:

👩‍⚕️health workers
🧍‍♂️disability service providers
🧍‍♀️caregivers 

Scroll down ⬇️

#HealthForAll_ByAll
#COVID19 "
2021-12-30 05:27:10+00:00,EG,Egypt,,,Adam Korengold,,False,16091,1584,2289,," As an  staff member, I’m so grateful for your support of the #COVID19 vaccine!"
2021-12-24 16:45:09+00:00,EG,Egypt,,,Adam Korengold,,False,16092,1584,2289,,"Sometimes, you just have to laugh… #COVID19  "
2021-12-26 14:13:04+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217264,527,,"To support people with disabilities, health workers should:

🔷adapt services to fit needs such as home visits and telehealth
🔷adopt easy methods to deliver information 
🔷deliver sufficient support 

#HealthForAll_ByAll
#COVID19 "
2021-12-31 11:41:58+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217265,527,,"We are working with the Coalition for Epidemic Preparedness Innovations and other partners to improve regional vaccine production, not just for #COVID19 vaccines but, for other vaccines and essential medicines as well
 
 | #COVAX
#2021reflections
#HealthForAll_ByAll "
2021-12-29 07:14:16+00:00,EG,Egypt,,,Jennifer Woodard,,False,4485,108,322,,Need to distance but everyone knows we can’t at school. Take additional precautions but the quarantine period is lower. All I hear is blah..blah…blah (static noise). When someone cares and protects us (teachers) I’ll take notice #Covid19 #teachers  
2021-12-23 13:36:09+00:00,EG,Egypt,,,Sidharth Kumar,,False,933,533,241,, The visuals I saw from yesterday’s market rush will hopefully not contribute to #COVID19 Surge.
2021-12-28 14:16:10+00:00,EG,Egypt,,,Amanda Ford,,False,5134,726,2250,,"It worries me for my family and community here. I’ve been in NC all month and it is drastically different in terms of masks, testing, and education on COVID and the danger of its variants. #COVID19 #CovidTesting"
2021-12-26 14:15:06+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217264,527,,"Disability service providers should:

🔷reduce potential exposure to #COVID19
🔷upskill workers on infection control
🔷develop service continuity plans
🔷provide support for complex needs

#HealthForAll_ByAll
#COVID19 "
2021-12-26 15:41:11+00:00,EG,Egypt,,,Ahram Online,,True,31,183469,362,,"EXPLAINER: New easy-to-use #COVID19 pills come with a catch 
#coronavirus #Pfizer #Paxlovid #Merck #molnupiravir 
"
2022-01-01 02:33:57+00:00,EG,Egypt,,,David Cutler,,False,2373,679,855,,I fixed it for you  No charge this time. #cruise #COVID19 
2021-12-26 14:16:31+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217264,527,,"Caregivers for people with disabilities should:

🔷ensure continuity of care
🔷ensure assistive - and any - products used are regularly cleaned &amp; disinfected
🔷keep a list of relevant public services

#HealthForAll_ByAll
#COVID19 "
2021-12-28 14:38:22+00:00,EG,Egypt,,,هيفاء خلف الله,,False,14143,1080,595,,"Perhaps  tyranny eventually alters chemical balance..?!

Pro- #Sisi Egyptian reports the British (all of’em, acc to tweet👇) demanded that Boris Johnson follows #Egypt govt. in fighting #COVID19 "
2021-12-27 18:02:40+00:00,EG,Egypt,,,"Andrea Hindman, PhD (Dr/she/her)",,False,5005,452,1113,,Whut in the 🔥 hell... Whyy isn't testing figured out⁉️⁉️⁉️⁉️We stayed home for the holidays (thank GAWD🙌) &amp; got notice of TWO POSITIVE cases at our small preschool TODAY... So much for being able to suss this out in a timely way 🤷 #access #testing #COVID19 #covid19testing 
2021-12-26 18:46:15+00:00,EG,Egypt,,,Ahram Online,,True,31,183469,362,,#COVID19's #Omicron disrupts #USA holiday travel but not shopping 
2021-12-28 10:54:47+00:00,EG,Egypt,,,WHO EMRO,,True,2022,217266,527,,"The latest #COVID19 situation report for the  Region covering #COVID19 situation and response from, 5 – 18 December 2021, is now online

👉 "
2021-12-31 01:19:32+00:00,EG,Egypt,,,Sidharth Kumar,,False,933,430,241,,   Will resignation help or make the situation even worse? This is a global problem so all world leaders should #resign. #COVID19
2021-12-30 23:49:43+00:00,EG,Egypt,,,nashwa,,False,15318,130,779,,It was a tough year but had hope for us with available vaccines for everyone even there a challenge #OmicronVirus that we’ll end it if we take all precautions #COVID19 #vaccine #WearADamnMask 
2021-12-27 08:10:00+00:00,EG,Egypt,,,Cooperación Española en Egipto,,False,5414,637,765,,"Today is the #InternationalDayofEpidemicPreparedness In these festivities,it is time to celebrate,but also to stay safe😷These last days of the year,keep social distancing and all other recommended health measures #COVID19👇

"
