tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 09:03:31+00:00,KR,"Korea, Republic of",,,KBS Korea 24,,True,93,4372,66,,"South Korea will focus on reducing critical #COVID19 cases and deaths in 2022. Further distancing guidelines will be determined by ICU occupancy rates, COVID variants, vaccination numbers. We’ll have the latest updates on #NewsBriefing. #코로나19 "
2021-12-27 00:34:54+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77062,24,,"S. Korea reports 4,207 new COVID-19 cases, critical cases at 1,078. S. Korea's daily COVID-19 deaths hit 55, total at 5,300.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-27 00:51:33+00:00,KR,"Korea, Republic of",,,Seoul Village,,False,14362,1783,412,,3/7th of #BTS now positive with #covid19. Get well soon!
2022-01-01 04:54:23+00:00,KR,"Korea, Republic of",,,Arirang News Center,,False,231,96,121,,"#SouthKorean government has decided to extend two more weeks of #SocialDistancing measures. Also, #Pfizer's #covid19 #AntiviralPills have been authorized for #Emergency use

For a deeper analysis, Dr. David Kwak from  Soonchunyang University Hospital  "
2021-12-24 09:35:26+00:00,KR,"Korea, Republic of",,,BTS Forever Happy New Year ^• •^,,False,396,5,150,,"Use this Hashtags!!!😢😢😢
#getwellsoonsuga 
#GetWellSoonMinYoongi 
#GetWellYoongi 
#GetVaccinatedNow 
#COVID19
#covid19fuck "
2021-12-25 07:18:32+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77062,24,,"Medical workers on Wednesday dressed up as Santa Claus at a COVID-19 testing center in Gwangju. 
#Christmas #COVID19 
"
2021-12-27 06:57:58+00:00,KR,"Korea, Republic of",,,KBS Korea 24,,True,93,4372,66,,"On #KoreaTrending, the US chief medical adviser, Anthony Fauci, has warned against complacency over the #omicron variant of the #COVID19 virus, despite recent studies showing that it is less harmful than other variants. #코로나19 #오미크론"
2021-12-29 00:33:15+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77063,24,,"S. Korea reports 5,409 new COVID-19 cases, critical cases at record high of 1,151. S. Korea's daily COVID-19 deaths hit 36, total at 5,382.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-31 00:00:01+00:00,KR,"Korea, Republic of",,,Solutions for Our Climate,,False,1938,796,600,,". also helped with  #CTReport2021, which projected #G20's energy-related CO2 emissions to rebound by 4% in 2021 after dropping by 6% in the 2020 in the #Covid19 pandemic.  

#YearInReview

Read more:  "
2021-12-30 00:33:25+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77065,24,,"S. Korea reports 5,037 new COVID-19 cases, critical cases at record high of 1,145. S. Korea's daily COVID-19 deaths hit 73, total at 5,455.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-28 09:00:01+00:00,KR,"Korea, Republic of",,,KBS Korea 24,,True,93,4372,66,,"South Korea green-lit the use of #Pfizer’s #COVID19 pill on Monday, set to be introduced as early as mid-January. We speak to Dr. Kim Seungtaek from  for #InDepthNewsAnalysis to discuss whether it could be a game changer against the pandemic. #코로나19 #먹는치료제"
2021-12-25 14:05:31+00:00,KR,"Korea, Republic of",,,Chanju Kim,,False,8512,117,211,,More BTS members tested positive for #COVID19 Saturday.  says RM tested positive while in self-quarantine not showing particular symptoms. Jin felt cold-like symptoms and his PCR test result came back positive late Saturday evening. 
2021-12-31 02:32:07+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77065,24,,"New COVID-19 cases below 5,000, distancing curbs extended for 2 weeks
#COVID19 #CoronaVirus #CoronaVirusUpdates "
2021-12-28 08:00:01+00:00,KR,"Korea, Republic of",,,KBS Korea 24,,True,93,4372,66,,"Dr. Ryan Goessl, the founder and conductor  a non-profit music organization in Seoul, joins us for #TouchBaseInSeoul to tell us more about the group and the difficulties of surviving the #COVID19 pandemic, which hit them particularly hard. #카마라타뮤직  "
2021-12-23 12:17:38+00:00,KR,"Korea, Republic of",,,Gully Foyle #UKTrade,,False,3542,428,479,,"Newsflash!

220m Americans have supposedly died in the past year.

This is the vice president of the US everyone.

#COVID19 "
2021-12-27 04:13:49+00:00,KR,"Korea, Republic of",,,Jaehwan Cho 조재환,,True,8266,47355,2605,,Breaking - S.Korean Drug Ministry  approves bringing  first #COVID19 oral antiviral PAXLOVID.
2021-12-28 00:55:39+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77062,24,,"New COVID-19 cases drop below 4,000 for 1st time in nearly a month 
#COVID19 #CoronaVirus #CoronaVirusUpdates
"
2021-12-24 00:31:39+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77061,24,,"S. Korea reports 6,233 new COVID-19 cases, critical cases at 1,084. S. Korea's daily COVID-19 deaths hit all-time high of 56, total at 5,071.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-24 07:37:23+00:00,KR,"Korea, Republic of",,,Chanju Kim,,False,8512,117,211,,#BREAKING: An official statement from   Suga has tested positive for #COVID19 on Friday. Suga has returned to South Korea from the United States on Thursday and was on self-isolation. He has no particular symptoms and undergoing home treatment. 
2021-12-25 12:40:16+00:00,KR,"Korea, Republic of",,,Rob Foudriat,,False,5269,54,147,,Stay #safety from #COVID19 
2021-12-24 07:25:43+00:00,KR,"Korea, Republic of",,,Jaehwan Cho 조재환,,True,8266,47355,2605,,"Breaking - #BTS member SUGA tests positive for #COVID19, according to Yonhap report. He’s now on a staying at home for self-quarantine. I hope he is OK."
2021-12-28 00:32:30+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77062,24,,"S. Korea reports 3,865 new COVID-19 cases, critical cases at 1,102. S. Korea's daily COVID-19 deaths hit 46, total at 5,346.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-25 07:14:42+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77062,24,,"As pandemic continues, Christmas home parties evolve
#COVID19 #Christmas
"
2021-12-31 00:33:25+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77065,24,,"S. Korea reports 4,875 new COVID-19 cases, critical cases at 1,056. S. Korea's daily COVID-19 deaths hit 108, total at 5,563.
#COVID19 #CoronaVirus #Corona #CoronaVirusUpdates "
2021-12-29 07:10:51+00:00,KR,"Korea, Republic of",,,The Korea Herald 코리아헤럴드,,True,169,77063,24,,"People living in shanty towns were hit with a double whammy of deepening poverty and a decline in livelihood assistance, including free briquette deliveries.

#coal #briquette #COVID19 #coldwave

"
2021-12-28 09:45:00+00:00,KR,"Korea, Republic of",,,KBS Korea 24,,True,93,4372,66,,"The government has said that #COVID19 infections in #SouthKorea seems to be on a downward trend, after the daily case count dipped below 4,000 for the first time in 4 weeks. We’ll have the latest updates on #NewsBriefing. #코로나19 #감소세

"
2021-12-31 07:54:03+00:00,KR,"Korea, Republic of",,,Julius,,False,668,57,516,,"Its been a tough year not just for the economy but for humans, #GlobalWarming #COVID19 #BLM 
it's never too late to put all that a side and start it over, #2022NewYear is what we gat💯💯🆓🆓, #HappyNewYear2022 🇺🇬🇺🇬🇺🇬🇺🇬"
2021-12-28 01:51:15+00:00,KR,"Korea, Republic of",,,Seoul Village,,False,14362,1783,412,,"Guys. #Omicron kills.
Had it been the first #covid19 spreading, millions more would have died. 
Get fully #vaxxed &amp; boosted.
And if you're #antivaxxer, please, like so many #antivaxxers before you (way too many way too late), change your mind."
2021-12-29 03:25:45+00:00,KR,"Korea, Republic of",,,🅼🅴🅻🆅🅸🅽🆆🅾🅽🅶,,False,14525,6170,6565,,"YEAR IN REVIEW - How many people did you lose to COVID-19 (family, friend, colleague, etc)?

#covid19 #yearinreview #2022"
2021-12-28 12:07:47+00:00,KR,"Korea, Republic of",,,Finn Harvor,,False,14497,876,2657,,"#covid19 #coronavirus #seoul #subways #전철역 #masking #WearADamnMask 

Wearing masks in South Korean streets is ubiquitous — but every once in a while you’ll see someone who doesn’t comply. On the subways, however, usage is mandatory. Full video here:  "
2021-12-29 02:35:16+00:00,KR,"Korea, Republic of",,,The Korea Times,,True,330,34784,32,,"The resurgence of #COVID19 and additional #ratehikes are expected to pose major downside risks to the Korean #economy in 2022, putting a drag on the long-awaited economic recovery.
"
2021-12-28 04:21:31+00:00,KR,"Korea, Republic of",,,🅼🅴🅻🆅🅸🅽🆆🅾🅽🅶,,False,14525,6170,6565,,"Bringing back restriction actually worked.
#COVID19 "
