,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:15:51,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  2) Let this sink in:  Taiwan w/ 23 mil people, has had ZERO #COVID19 cases in 200 days. Zero cases, not just deaths. #ZeroC…"
2,2020-11-02 16:15:41,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  📍ZERO COVID in Australia in 5 months! And don’t dare say it’s some island like Taiwan—it’s a continent! 🇦🇺 adopted an appro…
3,2020-11-02 16:09:06,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  3) or else this will keep continuing.
4,2020-11-02 16:08:56,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  FOLKS—we found who created the epic “Wear a Mask” Beauty &amp; the Beast video!  Created and sung by Noah Lindquist 
7,2020-11-02 16:08:56,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  FOLKS—we found who created the epic “Wear a Mask” Beauty &amp; the Beast video!  Created and sung by Noah Lindquist 
8,2020-11-02 16:09:06,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  3) or else this will keep continuing.
9,2020-11-02 16:15:41,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  📍ZERO COVID in Australia in 5 months! And don’t dare say it’s some island like Taiwan—it’s a continent! 🇦🇺 adopted an appro…
10,2020-11-02 16:15:51,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  2) Let this sink in:  Taiwan w/ 23 mil people, has had ZERO #COVID19 cases in 200 days. Zero cases, not just deaths. #ZeroC…"
12,2020-11-02 16:08:27,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  Let me be clear:  📍#COVID19 is airborne.   📍Airborne viruses require masks.   📍Masks work. Premium masks (surgical, KN95, K…"
13,2020-11-02 16:08:56,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  FOLKS—we found who created the epic “Wear a Mask” Beauty &amp; the Beast video!  Created and sung by Noah Lindquist 
14,2020-11-02 16:09:06,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  3) or else this will keep continuing.
15,2020-11-02 16:15:41,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  📍ZERO COVID in Australia in 5 months! And don’t dare say it’s some island like Taiwan—it’s a continent! 🇦🇺 adopted an appro…
16,2020-11-02 16:15:51,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  2) Let this sink in:  Taiwan w/ 23 mil people, has had ZERO #COVID19 cases in 200 days. Zero cases, not just deaths. #ZeroC…"
18,2020-11-02 16:08:27,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  Let me be clear:  📍#COVID19 is airborne.   📍Airborne viruses require masks.   📍Masks work. Premium masks (surgical, KN95, K…"
19,2020-11-02 16:08:56,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  FOLKS—we found who created the epic “Wear a Mask” Beauty &amp; the Beast video!  Created and sung by Noah Lindquist 
20,2020-11-02 16:09:06,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  3) or else this will keep continuing.
21,2020-11-02 16:15:41,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  📍ZERO COVID in Australia in 5 months! And don’t dare say it’s some island like Taiwan—it’s a continent! 🇦🇺 adopted an appro…
22,2020-11-02 16:15:51,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  2) Let this sink in:  Taiwan w/ 23 mil people, has had ZERO #COVID19 cases in 200 days. Zero cases, not just deaths. #ZeroC…"
24,2020-11-02 16:08:27,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,"  Let me be clear:  📍#COVID19 is airborne.   📍Airborne viruses require masks.   📍Masks work. Premium masks (surgical, KN95, K…"
25,2020-11-02 16:08:56,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  FOLKS—we found who created the epic “Wear a Mask” Beauty &amp; the Beast video!  Created and sung by Noah Lindquist 
26,2020-11-02 16:09:06,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  3) or else this will keep continuing.
27,2020-11-02 16:15:41,HU,Hungary,251816028.0,13-Feb-2011 (22:29:10.000000),conductorebrio,,False,,1685,,True,  📍ZERO COVID in Australia in 5 months! And don’t dare say it’s some island like Taiwan—it’s a continent! 🇦🇺 adopted an appro…
