,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
14,2020-11-02 17:22:02,SV,El Salvador,718768675.0,26-Jul-2012 (21:07:09.000000),ChelaPerla,,False,,202,,True,  Factbox: Development of AstraZeneca's potential coronavirus vaccine  
27,2020-11-02 22:31:20,SV,El Salvador,1.2168617362986025e+18,13-Jan-2020 (23:17:33.000000),lacarola010,,False,,74,,True,"  'Even Republicans acknowledge that it is the 'coronavirus election'' — Bob Woodward says President Trump's 'serious, negli…"
29,2020-11-03 02:03:46,SV,El Salvador,68750037.0,25-Aug-2009 (17:21:48.000000),jorgeRcenteno,,False,,116,,True,"  Public Health Highlights Increases in Gatherings Connected to Rise in Cases. Public Health Reports 2 New Deaths and 1,4…"
35,2020-11-03 02:03:46,SV,El Salvador,68750037.0,25-Aug-2009 (17:21:48.000000),jorgeRcenteno,,False,,116,,True,"  Public Health Highlights Increases in Gatherings Connected to Rise in Cases. Public Health Reports 2 New Deaths and 1,4…"
36,2020-11-03 02:03:46,SV,El Salvador,68750037.0,25-Aug-2009 (17:21:48.000000),jorgeRcenteno,,False,,116,,True,"  Public Health Highlights Increases in Gatherings Connected to Rise in Cases. Public Health Reports 2 New Deaths and 1,4…"
62,2020-12-10 21:41:35,SV,El Salvador,971253151.0,26-Nov-2012 (03:26:57.000000),Hernandez79X,,False,,682,,True,  We are all tired and have been heavily impacted by #COVID19 but we have to keep going. Follow  guidelines…
63,2020-12-11 01:11:39,SV,El Salvador,68750037.0,25-Aug-2009 (17:21:48.000000),jorgeRcenteno,,False,,1,,True,  China gains stronger global trade position amid COVID-19 crisis: leading US media  
79,2020-12-11 01:11:39,SV,El Salvador,68750037.0,25-Aug-2009 (17:21:48.000000),jorgeRcenteno,,False,,1,,True,  China gains stronger global trade position amid COVID-19 crisis: leading US media  
95,2020-12-11 07:09:37,SV,El Salvador,971253151.0,26-Nov-2012 (03:26:57.000000),Hernandez79X,,False,,682,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
106,2020-12-11 12:14:33,SV,El Salvador,1.240832264461783e+18,20-Mar-2020 (02:47:28.000000),Eduardo15122410,,False,,58,,False,Power!!!!!!!!!!!!!!
