,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:16:39,KE,Kenya,131276682.0,09-Apr-2010 (20:17:31.000000),LeletiLazizi,,False,,323,,False,"An opportunity to participate in innovating solutions for socio-economic problems, post COVID-19 #euafricathejourney       #sttachangemakers"
1,2020-11-02 15:16:52,KE,Kenya,713862428.0,24-Jul-2012 (07:20:38.000000),Nation_Sport,,True,,16883,,False,Covid-19 hits Michael Olunga’s team 
3,2020-11-02 15:44:06,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False, The Trend is your Friend or not in #COVID19 case
4,2020-11-02 16:03:53,KE,Kenya,314514387.0,10-Jun-2011 (11:32:28.000000),salim_garwan,,False,,457,,False,Eh
5,2020-11-02 15:43:16,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False,The  aided abetted and facilitated the dispersal of #COVID19 worldwide 
6,2020-11-02 16:15:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573988,,False,Xi is playing offense. #COVID19 was the first salvo 
7,2020-11-02 15:26:49,KE,Kenya,606207422.0,12-Jun-2012 (10:28:39.000000),darth_H2O,,False,,784,,True,  I see Professor X in Frame 3
8,2020-11-02 16:06:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,True,  Donald Trump rally influence on county #COVID19 cases not apparent for June through August events.    October rallies too rec…
9,2020-11-02 16:03:46,KE,Kenya,2995434251.0,24-Jan-2015 (07:43:24.000000),mugurho,,False,,107,,False,The fight against covid-19 in kenya lacks political will and this makes it hard or the medics!
10,2020-11-02 15:32:40,KE,Kenya,3936569969.0,12-Oct-2015 (11:16:37.000000),carole_gaita,,False,,1010,,True,  Special audit report on the utilization of COVID-19 funds by Kemsa Medical Supplies Authority (KEMSA) See the full report her…
11,2020-11-02 15:50:05,KE,Kenya,1.1210918858026353e+18,24-Apr-2019 (16:41:49.000000),Roby41262525,,False,,581,,False,NB-IoT Chipset Market Worth $3.06 billion by 2027 -Exclusive Report Covering Pre and Post COVID-19 Market Analysis by Meticulous Research® #Sigfox #covid via  
12,2020-11-02 16:27:00,KE,Kenya,3390638475.0,24-Jul-2015 (08:51:44.000000),Tabbykanyungu,,False,,11111,,False,Have you seen this? 
13,2020-11-02 16:11:15,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573988,,False,The supreme art of war is to subdue the enemy without fighting.    Sun Tzu  #COVID19 Xi Jinping
15,2020-11-02 16:06:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573929,,True,  Donald Trump rally influence on county #COVID19 cases not apparent for June through August events.    October rallies too rec…
16,2020-11-02 16:15:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False,Xi is playing offense. #COVID19 was the first salvo 
17,2020-11-02 15:43:16,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573929,,False,The  aided abetted and facilitated the dispersal of #COVID19 worldwide 
18,2020-11-02 15:44:06,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573929,,False, The Trend is your Friend or not in #COVID19 case
19,2020-11-02 16:28:38,KE,Kenya,7.477760595804979e+17,28-Jun-2016 (12:58:00.000000),austinejuma_,,False,,18882,,False,Imagine there are people who managed to remain in Nairobi in covid19 pandemic and they don't have any job #NairobiShambaLaMawe
21,2020-11-02 16:11:15,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573929,,False,The supreme art of war is to subdue the enemy without fighting.    Sun Tzu  #COVID19 Xi Jinping
22,2020-11-02 16:15:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573929,,False,Xi is playing offense. #COVID19 was the first salvo 
23,2020-11-02 15:33:54,KE,Kenya,258822146.0,28-Feb-2011 (15:40:51.000000),GardenofhopeFdn,,False,,1473,,False,"This year, GlobalGiving is availing $ 1 million in matching funds on GivingTuesday.  Your giving on 1st Dec will help us win a share of the matching funds to keep 100 children affected by Covid-19 in school. #givingtuesday2020 #school "
24,2020-11-02 15:19:59,KE,Kenya,86010650.0,29-Oct-2009 (06:54:12.000000),timomwa,,False,,174,,True,  They are currently at a beautiful &amp; luxurious lodge...to debate the coronavirus situation? The economic situation? Nope...…
26,2020-11-02 15:16:14,KE,Kenya,201220566.0,11-Oct-2010 (11:09:03.000000),News_Kenya,,False,,21554,,False,"Kenya grapples with high Covid-19 positivity rate as 724 test positive: Kenya Covid-19 positivity rate declined marginally to stand at 14.2 per cent as 724 more cases reported from a sample size of 5,.. "
28,2020-11-02 15:37:18,KE,Kenya,2987055377.0,20-Jan-2015 (09:40:15.000000),IOMRONairobi,,True,,5137,,False,"Due to border closures resulting from #COVID19, Ethiopian migrants heading to the Gulf often find themselves stranded in #Yemen. To return home they use the same way they came - through #Djibouti. From the coast they usually walk 50km to reach the town of Obock. #AfricaTrustFund "
29,2020-11-02 15:46:57,KE,Kenya,34901156.0,24-Apr-2009 (11:19:27.000000),MashRomeo,,False,,4489,,True,  Nakuru County Assembly closed for two week as COVID-19 cases surge 
30,2020-11-02 16:11:15,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False,The supreme art of war is to subdue the enemy without fighting.    Sun Tzu  #COVID19 Xi Jinping
31,2020-11-02 16:24:15,KE,Kenya,181898344.0,23-Aug-2010 (09:34:30.000000),iampetervic,,False,,1948,,True,  What’s your battle this month? I am fighting Covid-19 after testing positive 7 days ago together with 2 members of my fam…
32,2020-11-02 14:57:43,KE,Kenya,87787561.0,05-Nov-2009 (21:27:56.000000),olivermuia,,False,,1457,,True,  . is calling people out for being the “mask police” yet it’s a directive by the govt of Kenya that we wear masks i…
34,2020-11-02 15:43:16,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573988,,False,The  aided abetted and facilitated the dispersal of #COVID19 worldwide 
35,2020-11-02 16:16:48,KE,Kenya,609126282.0,15-Jun-2012 (12:21:05.000000),Wajoyalex,,False,,595,,False, Teach them instead... You stand out as learned abd aware of the dangers od Covid-19. Teach those Covidiots! 100 deaths in 1 week from Covid-19 aint a joke!
36,2020-11-02 15:46:28,KE,Kenya,609126282.0,15-Jun-2012 (12:21:05.000000),Wajoyalex,,False,,595,,True,  They are currently at a beautiful &amp; luxurious lodge...to debate the coronavirus situation? The economic situation? Nope...…
37,2020-11-02 15:43:16,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573930,,False,The  aided abetted and facilitated the dispersal of #COVID19 worldwide 
38,2020-11-02 16:15:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False,Xi is playing offense. #COVID19 was the first salvo 
39,2020-11-02 16:11:15,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,False,The supreme art of war is to subdue the enemy without fighting.    Sun Tzu  #COVID19 Xi Jinping
41,2020-11-02 16:16:48,KE,Kenya,609126282.0,15-Jun-2012 (12:21:05.000000),Wajoyalex,,False,,595,,False, Teach them instead... You stand out as learned abd aware of the dangers od Covid-19. Teach those Covidiots! 100 deaths in 1 week from Covid-19 aint a joke!
42,2020-11-02 15:46:28,KE,Kenya,609126282.0,15-Jun-2012 (12:21:05.000000),Wajoyalex,,False,,595,,True,  They are currently at a beautiful &amp; luxurious lodge...to debate the coronavirus situation? The economic situation? Nope...…
43,2020-11-02 16:06:13,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573928,,True,  Donald Trump rally influence on county #COVID19 cases not apparent for June through August events.    October rallies too rec…
44,2020-11-02 16:11:15,KE,Kenya,21303464.0,19-Feb-2009 (14:43:40.000000),alykhansatchu,,True,,573930,,False,The supreme art of war is to subdue the enemy without fighting.    Sun Tzu  #COVID19 Xi Jinping
