,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
17,2020-11-02 15:37:45,GT,Guatemala,36848645.0,01-May-2009 (01:51:43.000000),crodriguex,,False,,41,,False,👏🏻
24,2020-11-02 16:06:24,GT,Guatemala,1601520103.0,17-Jul-2013 (17:52:37.000000),RiukShinigami89,,False,,317,,True,  📹 When the covid-19 virus 🦠 is isolating you from the outside world and your sex work will be seriously affected like th…
29,2020-11-02 15:59:51,GT,Guatemala,8.820224730337976e+17,03-Jul-2017 (23:45:19.000000),EstuardoMieres,,False,,150,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
32,2020-11-02 15:04:12,GT,Guatemala,1.2929773611226235e+18,11-Aug-2020 (00:20:23.000000),lopez_lutin,,False,,4,,True,  Algorithm that can identify people with Covid-19 by sound of their coughs achieves 98.5% success rate 
39,2020-11-02 16:14:19,GT,Guatemala,58823917.0,21-Jul-2009 (15:24:18.000000),WalterGudiel,,False,,2559,,True,  Real Madrid's Éder Militão tests positive for COVID-19 ahead of Inter Milan clash. 
40,2020-11-02 16:05:49,GT,Guatemala,2282738017.0,08-Jan-2014 (23:19:00.000000),BrendaH2O66,,False,,8515,,True,"  🌳 Forests house a huge amount of #biodiversity, which is a vital factor in safeguarding against diseases like Covid-19…"
53,2020-11-02 15:34:39,GT,Guatemala,432597553.0,09-Dec-2011 (15:31:21.000000),nanrivera7,,False,,141,,True,  💥Targeting acute kidney injury in COVID-19  📸Mechanisms of #AKI in patients with #COVID19  👉Read full article here:🔓
55,2020-11-02 15:53:12,GT,Guatemala,1029716582.0,23-Dec-2012 (02:48:50.000000),AgarcitaS,,False,,120,,False,Read this interesting blog to know how technology is resolving supply chain challenges for the healthcare industry in times of #COVID-19! 
73,2020-11-02 15:42:38,GT,Guatemala,438933550.0,17-Dec-2011 (05:35:21.000000),stephru21,,False,,212,,True,"  German Chancellor Angela Merkel has defended a new partial lockdown that came into force today, saying it is necessary to…"
77,2020-11-02 16:18:58,GT,Guatemala,480071964.0,01-Feb-2012 (02:59:27.000000),cecideldel,,False,,339,,True,"  We held a summit with physicians from across the country who have treated COVID-19 patients, to provide information direc…"
