,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
4,2020-11-02 16:17:37,DZ,Algeria,17646285.0,26-Nov-2008 (09:33:36.000000),KamalBenkoussa,,False,,5369,,True,  My ⁦ Rescue time first. After comes recovery. Then discussion of more equitable  sustainable &amp; healthy world. E…
5,2020-11-02 15:29:25,DZ,Algeria,9.282484435162112e+17,08-Nov-2017 (13:10:49.000000),unhcralgeria,,True,,3070,,True,"  As Lebanon 🇱🇧 faces a rise in #COVID cases, UNHCR continues to respond by   ✅promoting prevention through awareness raisi…"
13,2020-11-02 18:24:54,DZ,Algeria,9.282484435162112e+17,08-Nov-2017 (13:10:49.000000),unhcralgeria,,True,,3070,,True,  A heartfelt thank you to the more than 2.3 million people worldwide who have raised your voice in support of the  a…
14,2020-11-02 16:46:22,DZ,Algeria,1.2808730539631084e+18,08-Jul-2020 (14:35:41.000000),BelkacemYacin13,,False,,95,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
33,2020-11-02 18:29:20,DZ,Algeria,307579398.0,29-May-2011 (22:16:26.000000),Bloxer78,,False,,43,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
37,2020-11-02 18:54:26,DZ,Algeria,1.0497150095242568e+18,09-Oct-2018 (17:35:35.000000),yannis59552,,False,,114,,False,bon..
40,2020-11-02 18:54:26,DZ,Algeria,1.0497150095242568e+18,09-Oct-2018 (17:35:35.000000),yannis59552,,False,,114,,False,bon..
47,2020-11-02 22:42:31,DZ,Algeria,1.1739842224256369e+18,17-Sep-2019 (15:37:37.000000),WilkoWill1,,False,,108,,True,"  Renaming and rebranding the common cold and seasonal flu as coronavirus was purely a marketing decision for the globalists, n…"
52,2020-11-02 23:10:49,DZ,Algeria,263155382.0,09-Mar-2011 (14:05:22.000000),Fmetaoui,,False,,59237,,True,"  With Election Day just hours away, coronavirus cases are rising in every key political battleground state around the country…"
58,2020-11-03 03:25:31,DZ,Algeria,308622267.0,31-May-2011 (18:29:31.000000),FARAHSoulimane,,False,,85,,True,"    Five years imprisonment and/or a $66,600 fine for refusing coronavirus vaccination?"
60,2020-11-03 03:25:31,DZ,Algeria,308622267.0,31-May-2011 (18:29:31.000000),FARAHSoulimane,,False,,85,,True,"    Five years imprisonment and/or a $66,600 fine for refusing coronavirus vaccination?"
61,2020-11-03 01:33:55,DZ,Algeria,359141492.0,21-Aug-2011 (02:53:51.000000),OMehdi88,,False,,959,,False,environs +30
63,2020-11-03 03:35:52,DZ,Algeria,443805019.0,22-Dec-2011 (15:20:30.000000),GasKip_,,False,,1383,,True,"  Study from Singapore reveals the highest risk of #COVID19 transmission include sharing a bedroom for household contacts,…"
64,2020-11-03 13:19:09,DZ,Algeria,1.2472032327090504e+18,06-Apr-2020 (16:43:25.000000),chkrdz,,False,,97,,False,Ptdrrrrrrrrrr
66,2020-11-03 13:32:48,DZ,Algeria,8.500342491598889e+17,06-Apr-2017 (17:15:32.000000),swart_lara,,False,,63,,True,  Refusing to wear a mask is not rebelling against authority or the state. It is showing a middle finger to fellow citizens
75,2020-12-10 21:21:55,DZ,Algeria,1.282878392921031e+18,14-Jul-2020 (03:24:14.000000),Ducati10982,,False,,19,,False,"Read this...trial patient's sick from va..x  Government cancels UQ/CSL coronavirus vaccine order , more details : "
76,2020-12-10 21:18:03,DZ,Algeria,7.499171266647818e+17,04-Jul-2016 (10:45:50.000000),walidrosikada,,False,,302,,True,"  Today the first vaccinations in the UK against COVID-19 begin. Thank you to our NHS, to all of the scientists who worked…"
