,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
3,2020-11-02 16:42:38,CL,Chile,30394831.0,11-Apr-2009 (04:11:17.000000),_alemania,,False,,157,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
14,2020-11-02 16:10:43,CL,Chile,157121292.0,18-Jun-2010 (22:49:35.000000),moris_ism,,False,,3529,,True,  Honored for #COVIDCalls to be among these creative COVID-19 public history projects selected for funding by the 
24,2020-11-02 15:51:30,CL,Chile,53496093.0,03-Jul-2009 (20:54:36.000000),ticio_,,False,,516,,True,  An annotated timelapse of how the #coronavirus incidence evolved over the last few months across all European countries.  W…
41,2020-11-02 15:07:25,CL,Chile,95548208.0,09-Dec-2009 (01:41:22.000000),jotaiteere,,False,,125,,True,"  Congratulations 🇲🇳 on a successful response to #COVID19, with 0 deaths so far &amp; no local transmission. Thank you to the peopl…"
53,2020-11-02 16:28:17,CL,Chile,1.2254274262908846e+18,06-Feb-2020 (14:35:18.000000),JBilindadus,,False,,2,,False,US terminates Covid-19 cash transfer to Uganda's poor  via 
75,2020-11-02 15:14:21,CL,Chile,2301331848.0,20-Jan-2014 (12:41:41.000000),dvaldivia3,,False,,371,,False,Bajando....
107,2020-11-02 16:55:42,CL,Chile,164132144.0,08-Jul-2010 (03:26:43.000000),juankong_,,False,,199,,False,ESTO
133,2020-11-02 18:16:35,CL,Chile,1732340112.0,05-Sep-2013 (16:09:18.000000),silva_her,,False,,4271,,True,  Multiple studies and analyses have linked Trump’s campaign rallies in recent months to increased COVID-19 cases and deaths…
135,2020-11-02 18:16:35,CL,Chile,1732340112.0,05-Sep-2013 (16:09:18.000000),silva_her,,False,,4271,,True,  Multiple studies and analyses have linked Trump’s campaign rallies in recent months to increased COVID-19 cases and deaths…
258,2020-11-02 17:08:31,CL,Chile,439317794.0,17-Dec-2011 (16:42:57.000000),mrbra312,,False,,535,,True,  It is unbelievable that this guy was the Acting Director of National Intelligence and Ambassador to Germany. 
310,2020-11-02 19:55:11,CL,Chile,96253364.0,12-Dec-2009 (02:03:01.000000),cgonso,,False,,1001,,True,  I have been identified as a contact of someone who has tested positive for #COVID19. I am well and without symptoms but will…
316,2020-11-02 19:57:44,CL,Chile,607330676.0,13-Jun-2012 (16:04:52.000000),BenLyleBedard,,False,,5021,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
344,2020-11-02 18:59:07,CL,Chile,184503747.0,29-Aug-2010 (18:50:04.000000),Mat_Ponxo,,False,,2810,,False,👇👇👇👇👇👇👇👇
375,2020-11-02 19:00:11,CL,Chile,225585582.0,11-Dec-2010 (23:26:42.000000),AldoJaraTadres,,False,,252,,False,...
453,2020-11-02 23:32:40,CL,Chile,39313286.0,11-May-2009 (18:53:50.000000),rodrigowaghorn,,False,,811,,True,  S. Korean Icebreaker Begins Journey to Antarctica amid Coronavirus Pandemic  
459,2020-11-03 00:53:51,CL,Chile,518157228.0,08-Mar-2012 (03:18:33.000000),AlexSepulveda_7,,False,,26,,True,"  😷 He spent 19 days in isolation after contracting #COVID19   💪 Yesterday he scored twice on his comeback, finding the net just…"
474,2020-11-02 23:12:48,CL,Chile,2168443306.0,04-Nov-2013 (19:18:18.000000),nicolasgarridoL,,False,,1051,,False,😢
476,2020-11-02 23:12:48,CL,Chile,2168443306.0,04-Nov-2013 (19:18:18.000000),nicolasgarridoL,,False,,1051,,False,😢
595,2020-11-02 23:08:10,CL,Chile,58261491.0,19-Jul-2009 (18:38:49.000000),serfur08,,False,,631,,False,Thank God you are going back to comedy as of tomorrow. You do much better there.
626,2020-11-02 23:30:35,CL,Chile,41189118.0,19-May-2009 (19:31:21.000000),FranciscaGM,,False,,852,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
718,2020-11-03 01:24:32,CL,Chile,31137276.0,14-Apr-2009 (14:46:26.000000),bioBlogia,,False,,3256,,False,Using Pokémon to unveil predatory journal. The proteomic paper about slowpoke tail and COVID transmisión by Zubat are fantastic.
726,2020-11-03 02:23:46,CL,Chile,39332387.0,11-May-2009 (20:22:58.000000),NJork77,,False,,757,,False,!!
767,2020-11-03 02:35:15,CL,Chile,8.226943946669834e+17,21-Jan-2017 (06:36:43.000000),RUUnmasked,,False,,22924,,False,"Portable hospitals, Comfort &amp; Hope, ventilators, the most tests on the planet, effective therapeutics, PPE, Operation Warp Speed for effective vaccinations.   If You/Biden were in charge COVID-19 would have flooded the USA from China &amp; Europe and we would look like Europe. STFU!"
794,2020-11-03 03:02:52,CL,Chile,411070329.0,12-Nov-2011 (23:27:00.000000),Maurita_V,,False,,206,,False, you can't be so arrogant to pretend that you or  could avoid those deaths.... With a manual... No one could.... It's inherent to a pandemic damage.... Don't use those deaths for campaign.... It's honorless to their memory.... 💔
797,2020-11-03 02:56:18,CL,Chile,108277226.0,25-Jan-2010 (12:25:39.000000),profesortbaker,,False,,18108,,False,The latest The Thomas Baker Daily!  #coronavirus #toddlerinchief
864,2020-11-03 12:39:44,CL,Chile,167689619.0,17-Jul-2010 (06:41:03.000000),alejandro5247,,False,,298,,True,  WHO ‘Quietly Negotiated’ Deal That ‘Sidelined Its Own Experts’ From Investigating Coronavirus Origin In China: Report ht…
865,2020-11-03 12:12:40,CL,Chile,384072941.0,03-Oct-2011 (01:16:28.000000),Lobita972,,False,,42,,False,👏👏👏👏👏👏
882,2020-11-03 14:01:58,CL,Chile,3393036365.0,29-Jul-2015 (01:39:50.000000),NutrSinMarcas,,False,,1987,,False,Covid-19 Vaccine Protocols Reveal That Trials Are Designed To Succeed 🙄🙄😲 ⁦  
920,2020-11-03 11:50:01,CL,Chile,314760130.0,10-Jun-2011 (19:23:47.000000),jugonzalz88,,False,,174,,False,How is COVID-19 impacting international crime and money laundering? - Lexology 
931,2020-12-10 21:48:41,CL,Chile,228559019.0,20-Dec-2010 (02:26:20.000000),FcoCintolesi,,False,,924,,False,Oye pero
934,2020-12-10 22:52:41,CL,Chile,90764569.0,18-Nov-2009 (00:57:48.000000),cristiandoren,,False,,223,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
963,2020-12-10 22:15:13,CL,Chile,119059156.0,02-Mar-2010 (15:03:04.000000),Walteriova,,False,,75,,False,KRADIARIO: CRISIS ECONÓMICA MUNDIAL POR EL COVID-19 SE EXTEND... 
965,2020-12-10 22:15:13,CL,Chile,119059156.0,02-Mar-2010 (15:03:04.000000),Walteriova,,False,,75,,False,KRADIARIO: CRISIS ECONÓMICA MUNDIAL POR EL COVID-19 SE EXTEND... 
971,2020-12-10 22:18:00,CL,Chile,862944919.0,05-Oct-2012 (12:06:21.000000),ECKELLPablo,,False,,4652,,True,  Mexico City abandons compulsory coronavirus track and trace after citizens refuse to be tracked 
972,2020-12-10 22:49:22,CL,Chile,83620984.0,19-Oct-2009 (15:15:37.000000),matifloresc,,False,,326,,True,"  BREAKING: An FDA panel of experts votes that the benefits of Pfizer's Covid-19 vaccine outweigh the risks, bringing it closer…"
980,2020-12-10 22:42:23,CL,Chile,118798887.0,01-Mar-2010 (19:48:23.000000),D4ngl1ngM4n,,False,,970,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
984,2020-12-10 22:43:53,CL,Chile,713422374.0,24-Jul-2012 (01:00:30.000000),Sesynho1,,False,,1151,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
993,2020-12-10 21:49:58,CL,Chile,9787692.0,30-Oct-2007 (02:25:10.000000),bibliotaku,,False,,2254,,True,  Chris Evans self-administers his own COVID-19 test on the Boston set of Don't Look Up 
999,2020-12-10 22:13:00,CL,Chile,87221925.0,03-Nov-2009 (16:07:41.000000),EduardoJerez,,False,,8308,,False,Australian #COVID19 vaccine terminated due to HIV ‘false positives’ 
1001,2020-12-10 20:47:55,CL,Chile,25455350.0,20-Mar-2009 (03:54:19.000000),Cynics_throne,,False,,49,,True,"  More Americans died of COVID19 today than died on 9/11.  After that horrendous attack, we restructured our way of life…"
1013,2020-12-11 00:31:19,CL,Chile,7.819781883103191e+17,30-Sep-2016 (22:05:03.000000),guzimsantiago,,False,,1074,,False,Ave maria
1019,2020-12-11 00:34:38,CL,Chile,1867581830.0,15-Sep-2013 (12:38:28.000000),coria_paulina,,False,,251,,True,  Safety and Efficacy of the BNT162b2 COVID-19 Vaccine   #COVID19 #IDTwitter
1028,2020-12-11 00:21:58,CL,Chile,49066447.0,20-Jun-2009 (17:48:59.000000),DannEpp_,,False,,5474,,False,COMO QUE NO ES POR CULPA DE LA TRIBALERAS? 😧
1041,2020-12-11 01:23:02,CL,Chile,59034826.0,22-Jul-2009 (04:26:36.000000),charliedonosoa,,False,,1532,,True,  Shaming the public into smarter COVID-19 decisions won’t work. This will.  
1043,2020-12-11 01:07:50,CL,Chile,106805156.0,20-Jan-2010 (19:07:10.000000),gngallardo,,False,,1355,,True,  New evidence shows in-person schooling does not appear to be the main driver of #COVID19 infection spikes.  UNICEF and 
