,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:19:18,TR,Turkey,87645208.0,05-Nov-2009 (08:33:04.000000),HDNER,,True,,280421,,False,"#Turkey's #coronavirus  death toll reaches 10,402 as daily patients increase by 2,302  "
2,2020-11-02 16:28:09,TR,Turkey,1.3007891722408714e+18,01-Sep-2020 (13:34:53.000000),ye_crypto,,False,,98,,True,"  At China International Import Expo 2020, infection risk management is a priority due to #COVID19.   #VeChain &amp; DNV GL…"
13,2020-11-02 14:56:48,TR,Turkey,1402400214.0,04-May-2013 (14:03:20.000000),frkangndz21,,False,,182,,True,  We are excited to welcome the latest addition to the BioNTech family: our colleagues in Marburg. The tech transfer is c…
20,2020-11-02 16:05:21,TR,Turkey,2880709816.0,17-Nov-2014 (08:41:18.000000),bar_caglar,,False,,310,,False,Violence and American Elections
42,2020-11-02 15:50:07,TR,Turkey,2231905548.0,05-Dec-2013 (19:08:07.000000),DailySabah,,True,,487023,,False,Trial over 2015 Charlie Hebdo attack delayed for at least a week after 3 defendants test positive for #COVID19   
43,2020-11-02 15:02:50,TR,Turkey,2231905548.0,05-Dec-2013 (19:08:07.000000),DailySabah,,True,,487023,,False,"European nations from Britain to Italy reinstitute restrictions ranging from reduced business hours, curfews to partial or near-total lockdowns to control surge of #COVID19 infections  "
47,2020-11-02 15:50:07,TR,Turkey,2231905548.0,05-Dec-2013 (19:08:07.000000),DailySabah,,True,,487030,,False,Trial over 2015 Charlie Hebdo attack delayed for at least a week after 3 defendants test positive for #COVID19   
58,2020-11-02 15:02:50,TR,Turkey,2231905548.0,05-Dec-2013 (19:08:07.000000),DailySabah,,True,,487030,,False,"European nations from Britain to Italy reinstitute restrictions ranging from reduced business hours, curfews to partial or near-total lockdowns to control surge of #COVID19 infections  "
75,2020-11-02 16:13:04,TR,Turkey,359988812.0,22-Aug-2011 (14:19:39.000000),mzahidcaliskan,,False,,862,,True,"  #TRTWorldForum is back!  Due to the unprecedented #Covid19 situation, this year’s Forum will be held online on the 1st a…"
98,2020-11-02 16:51:19,TR,Turkey,1.109007050548351e+18,22-Mar-2019 (08:20:59.000000),bircepiano,,False,,15,,True,  The need for music has never been greater. But we have to think beyond concert halls and opera houses: 
