,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
19,2020-11-02 20:16:04,SN,Senegal,1.2511228755091497e+18,17-Apr-2020 (12:19:04.000000),Igudutonyeloch1,,False,,132,,True,  The UK is going on a one month lockdown from this week. Italy and france are following suit. The God that saw us through…
22,2020-11-03 02:09:12,SN,Senegal,1547675947.0,26-Jun-2013 (08:28:07.000000),MoshadyBLCKNZ,,False,,3082,,False,"Click here to support Mental health, the impact of Covid &amp; confinement #TL221   #kebetu #mental #health #COVID19 #confinementSaison2"
68,2020-12-11 09:59:54,SN,Senegal,349222526.0,05-Aug-2011 (19:19:35.000000),MeTechsta,,False,,6335,,True,  Fauci wants people to know that one of lead scientists who developed the Covid-19 vaccine is a Black woman  
74,2020-12-11 07:09:38,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2863,,True,  What’s driving the deadly migrant surge from Senegal to the Canary Islands?:  (
88,2020-12-11 07:09:38,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2863,,True,  What’s driving the deadly migrant surge from Senegal to the Canary Islands?:  (
93,2020-12-11 07:44:49,SN,Senegal,1.2511228755091497e+18,17-Apr-2020 (12:19:04.000000),Igudutonyeloch1,,False,,192,,True,"  I got information that Rivers state governor   has contracted Covid-19 . An insider, confidently informed me that Wi…"
96,2020-12-11 07:44:49,SN,Senegal,1.2511228755091497e+18,17-Apr-2020 (12:19:04.000000),Igudutonyeloch1,,False,,192,,True,"  I got information that Rivers state governor   has contracted Covid-19 . An insider, confidently informed me that Wi…"
102,2020-12-11 07:09:38,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2866,,True,  What’s driving the deadly migrant surge from Senegal to the Canary Islands?:  (
112,2020-12-11 07:09:38,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2866,,True,  What’s driving the deadly migrant surge from Senegal to the Canary Islands?:  (
114,2020-12-11 11:09:15,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2863,,True,  127 new cases and 2 new deaths in Senegal   [11:07 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic
116,2020-12-11 11:09:15,SN,Senegal,9.029883005830432e+17,30-Aug-2017 (20:16:02.000000),partageleen,,False,,2863,,True,  127 new cases and 2 new deaths in Senegal   [11:07 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic
124,2020-12-11 11:31:51,SN,Senegal,1.2155839083367547e+18,10-Jan-2020 (10:39:50.000000),IloSenegal,,False,,67,,True,"  🎙️ A new episode of the  podcast is out! Listen in to learn more about how LDCs are using grassroots, innovative so…"
125,2020-12-11 13:55:17,SN,Senegal,1563162907.0,02-Jul-2013 (13:07:50.000000),JamesAWallen,,False,,140,,True,"  At #LivesintheBalance,  connects the dots between the #BlackLivesMatter movement and the health inequi…"
